param_idx,neg_p_value,pos_p_value,neg_shift,pos_shift,max_delta_loss,total_samples,conclusion
0,0.0001,0.0001,-1.5,3.0,0.0018533590909091124,2501090,identified
1,0.0001,0.0001,-1.5,3.0,0.0010223690909091088,2430155,identified
2,0.0001,0.0001,-1.5,3.0,0.0003012190909091328,2575640,identified
3,0.0001,0.0001,-3.0,3.0,0.00039120909090911704,2570180,identified
4,0.0001,0.0001,-3.0,3.0,0.003672399090909134,2595790,identified
5,0.0001,,-1.5,,0.002680359090909107,2624070,practically unidentified
6,0.0001,0.0001,-3.0,1.5,0.0006604090909091143,2745480,identified
7,0.0001,0.0001,-1.5,1.5,0.0019077990909091291,2606895,identified
8,0.0001,,-1.5,,0.0008388390909091215,2782795,practically unidentified
9,0.0001,,-1.5,,0.0004579490909091266,342855,practically unidentified
10,,,,,0.0005316790909091207,121980,unidentified
11,0.0001,,-3.0,,0.0035461990909091134,112575,practically unidentified
12,0.001,,-1.5,,0.0008944590909091277,81240,practically unidentified
13,0.05,0.05,-1.5,3.0,0.0008841990909091157,57825,identified
14,,,,,0.0002155490909091229,35200,unidentified
15,,,,,0.00036634909090912937,19535,unidentified
16,,,,,0.00016607909090912698,10595,unidentified
17,,,,,0.00037394909090912587,6725,unidentified
18,,,,,0.0005551190909091341,3095,unidentified
19,,,,,0.00029997909090911934,135,unidentified
