input_value,relevance
0.0,-4.0375166
0.0010001,-4.039043
0.0020002,-4.040825
0.0030003001,-4.042376
0.0040004,-4.0438676
0.0050005,-4.045503
0.0060006003,-4.0472975
0.0070007006,-4.0488586
0.0080008,-4.050252
0.0090009,-4.0519814
0.010001,-4.053566
0.011001101,-4.0549912
0.012001201,-4.0567217
0.0130013,-4.0583444
0.014001401,-4.0597034
0.015001501,-4.061286
0.0160016,-4.0627394
0.017001702,-4.0643773
0.0180018,-4.0659256
0.019001901,-4.067503
0.020002,-4.0688343
0.0210021,-4.0705256
0.022002202,-4.071845
0.0230023,-4.073268
0.024002401,-4.07492
0.025002502,-4.076514
0.0260026,-4.077806
0.027002702,-4.0794287
0.028002802,-4.0809164
0.029002901,-4.0822487
0.030003002,-4.0837445
0.0310031,-4.085324
0.0320032,-4.086721
0.0330033,-4.0880713
0.034003403,-4.089765
0.035003502,-4.091009
0.0360036,-4.092525
0.037003703,-4.094079
0.038003802,-4.095391
0.0390039,-4.096744
0.040004,-4.0982113
0.041004103,-4.099739
0.0420042,-4.101192
0.0430043,-4.1026516
0.044004403,-4.10395
0.045004502,-4.105325
0.0460046,-4.1068773
0.047004703,-4.1079082
0.048004802,-4.109603
0.0490049,-4.110938
0.050005004,-4.1122813
0.051005103,-4.113556
0.0520052,-4.114987
0.053005304,-4.1163697
0.054005403,-4.1176353
0.055005502,-4.118958
0.056005605,-4.120438
0.057005703,-4.1216702
0.058005802,-4.12289
0.0590059,-4.12445
0.060006004,-4.1256385
0.061006103,-4.1270103
0.0620062,-4.1283946
0.063006304,-4.129716
0.0640064,-4.131111
0.0650065,-4.13224
0.0660066,-4.1335216
0.0670067,-4.134745
0.068006806,-4.1362243
0.069006905,-4.1374426
0.070007004,-4.1388106
0.0710071,-4.1402373
0.0720072,-4.1413565
0.0730073,-4.1426535
0.07400741,-4.1439333
0.075007506,-4.1449094
0.076007605,-4.1462865
0.0770077,-4.147559
0.0780078,-4.1489844
0.0790079,-4.150022
0.080008,-4.151357
0.08100811,-4.1524305
0.082008205,-4.153837
0.083008304,-4.154877
0.0840084,-4.1563697
0.0850085,-4.157559
0.0860086,-4.158708
0.08700871,-4.159862
