input_value,relevance
0.0,-0.9042251
0.0010001,-0.9027013
0.0020002,-0.90139973
0.0030003001,-0.9003368
0.0040004,-0.8989788
0.0050005,-0.8975908
0.0060006003,-0.8962019
0.0070007006,-0.8950804
0.0080008,-0.8937243
0.0090009,-0.8924086
0.010001,-0.89093816
0.011001101,-0.8899137
0.012001201,-0.8885143
0.0130013,-0.8871345
0.014001401,-0.8857969
0.015001501,-0.88477963
0.0160016,-0.8833211
0.017001702,-0.881993
0.0180018,-0.8806368
0.019001901,-0.8795306
0.020002,-0.8781855
0.0210021,-0.8768657
0.022002202,-0.8755459
0.0230023,-0.87441856
0.024002401,-0.8730467
0.025002502,-0.8718339
0.0260026,-0.8704011
0.027002702,-0.8693695
0.028002802,-0.8680096
0.029002901,-0.8665802
0.030003002,-0.8653192
0.0310031,-0.8642966
0.0320032,-0.86292726
0.0330033,-0.8615386
0.034003403,-0.86022025
0.035003502,-0.85923964
0.0360036,-0.85789794
0.037003703,-0.85653335
0.038003802,-0.8551374
0.0390039,-0.85410935
0.040004,-0.8527033
0.041004103,-0.8515092
0.0420042,-0.8500933
0.0430043,-0.8491419
0.044004403,-0.8477575
0.045004502,-0.8464545
0.0460046,-0.8451096
0.047004703,-0.8440948
0.048004802,-0.8427289
0.0490049,-0.8414469
0.050005004,-0.8401065
0.051005103,-0.83909935
0.0520052,-0.83781576
0.053005304,-0.83643734
0.054005403,-0.83511806
0.055005502,-0.8340707
0.056005605,-0.8328095
0.057005703,-0.8314286
0.058005802,-0.8301052
0.0590059,-0.82877564
0.060006004,-0.8277551
0.061006103,-0.82642144
0.0620062,-0.82526
0.063006304,-0.823947
0.0640064,-0.82273644
0.0650065,-0.8214778
0.0660066,-0.820267
0.0670067,-0.81909734
0.068006806,-0.8178761
0.069006905,-0.8166045
0.070007004,-0.81533796
0.0710071,-0.81422263
0.0720072,-0.812673
0.0730073,-0.8116173
0.07400741,-0.8104051
0.075007506,-0.80914706
0.076007605,-0.80793923
0.0770077,-0.8066891
0.0780078,-0.8055315
0.0790079,-0.80429363
0.080008,-0.8029002
0.08100811,-0.80167896
0.082008205,-0.8004784
0.083008304,-0.7991673
0.0840084,-0.798166
0.0850085,-0.7969174
0.0860086,-0.79570514
0.08700871,-0.7943856
0.088008806,-0.7930843
0.089008905,-0.7918725
0.090009004,-0.79075986
0.0910091,-0.78958666
0.0920092,-0.7883711
0.09300931,-0.7871074
0.09400941,-0.7859057
0.095009506,-0.78462356
0.096009605,-0.7833225
0.0970097,-0.7821367
0.0980098,-0.78096634
0.0990099,-0.7797974
0.10001001,-0.77845675
0.10101011,-0.77731967
0.102010205,-0.7761525
0.103010304,-0.7749397
0.1040104,-0.7738257
0.1050105,-0.77249324
0.10601061,-0.77128446
0.10701071,-0.7701243
0.108010806,-0.7688371
0.109010905,-0.7676063
0.110011004,-0.7664961
0.1110111,-0.76527745
0.11201121,-0.76412266
0.11301131,-0.762793
0.11401141,-0.7616363
0.115011506,-0.7604146
0.116011605,-0.7592804
0.1170117,-0.75808865
0.1180118,-0.7567652
0.11901191,-0.75564
0.12001201,-0.754414
0.12101211,-0.7531412
0.122012205,-0.75198364
0.123012304,-0.75081706
0.1240124,-0.74959266
0.1250125,-0.7484189
0.12601261,-0.747359
0.1270127,-0.7462879
0.1280128,-0.74479467
0.12901291,-0.7436039
0.130013,-0.74246484
0.13101311,-0.74131614
0.1320132,-0.7401238
0.13301331,-0.7387877
0.1340134,-0.7377518
0.1350135,-0.73661023
0.13601361,-0.7353235
0.1370137,-0.73417324
0.13801381,-0.73293465
0.1390139,-0.73186755
0.14001401,-0.73064345
0.14101411,-0.72943896
0.1420142,-0.7282866
0.14301431,-0.72695404
0.1440144,-0.7257344
0.14501451,-0.7246686
0.1460146,-0.7235049
0.1470147,-0.72240514
0.14801481,-0.7210515
0.1490149,-0.7199332
0.15001501,-0.71886295
0.1510151,-0.7176763
0.15201521,-0.7164078
0.1530153,-0.71517026
0.1540154,-0.7140724
0.15501551,-0.7128398
0.1560156,-0.7117627
0.15701571,-0.7106256
0.1580158,-0.7093932
0.15901591,-0.70816356
0.160016,-0.70700824
0.1610161,-0.7059498
0.16201621,-0.70478183
0.1630163,-0.70365137
0.16401641,-0.70241565
0.1650165,-0.70115644
0.16601661,-0.700156
0.16701671,-0.6989535
0.1680168,-0.69777596
0.16901691,-0.696547
0.170017,-0.69535893
0.17101711,-0.6942078
0.1720172,-0.6930772
0.17301731,-0.6919801
0.17401741,-0.6906348
0.1750175,-0.6895911
0.17601761,-0.6884286
0.1770177,-0.6874145
0.17801781,-0.6861642
0.1790179,-0.6849542
0.18001801,-0.68371797
0.18101811,-0.6826407
0.1820182,-0.6814863
0.18301831,-0.68045384
0.1840184,-0.6793677
0.18501851,-0.6782469
0.18601862,-0.6770735
0.1870187,-0.6760495
0.18801881,-0.6749884
0.1890189,-0.6739423
0.19001901,-0.6727801
0.1910191,-0.6716774
0.19201921,-0.67060703
0.19301932,-0.6695243
0.1940194,-0.66852033
0.19501951,-0.66743565
0.1960196,-0.66642594
0.19701971,-0.6653355
0.1980198,-0.66437465
0.19901991,-0.66349185
0.20002002,-0.6623127
0.2010201,-0.66134566
0.20202021,-0.6604016
0.2030203,-0.65933794
0.20402041,-0.6584437
0.20502052,-0.6574365
0.20602061,-0.6564603
0.20702071,-0.65555096
0.2080208,-0.6545902
0.20902091,-0.65359014
0.210021,-0.6527304
0.21102111,-0.65170413
0.21202122,-0.6508612
0.21302131,-0.6500346
0.21402141,-0.64910734
0.2150215,-0.64816874
0.21602161,-0.6471784
0.2170217,-0.6463246
0.21802181,-0.6454894
0.21902192,-0.644508
0.22002201,-0.64364684
0.22102211,-0.64266455
0.2220222,-0.64189214
0.22302231,-0.64113826
0.22402242,-0.6404074
0.22502251,-0.6395369
0.22602262,-0.63863283
0.22702271,-0.6377189
0.22802281,-0.6371282
0.2290229,-0.63622814
0.23002301,-0.63538724
0.23102312,-0.6344606
0.23202321,-0.6336963
0.23302332,-0.6329627
0.2340234,-0.632224
0.23502351,-0.63148993
0.2360236,-0.6306136
0.23702371,-0.62979996
0.23802382,-0.629089
0.23902391,-0.6284508
0.24002402,-0.6276834
0.2410241,-0.6269312
0.24202421,-0.626209
0.2430243,-0.6253043
0.24402441,-0.62465644
0.24502452,-0.6242006
0.24602461,-0.62335813
0.24702471,-0.62257093
