input_value,relevance
0.0,-0.9896587
0.0010001,-0.9891279
0.0020002,-0.98866546
0.0030003001,-0.98805773
0.0040004,-0.9875616
0.0050005,-0.9870639
0.0060006003,-0.9865676
0.0070007006,-0.98605084
0.0080008,-0.9854742
0.0090009,-0.9849911
0.010001,-0.9844518
0.011001101,-0.9839854
0.012001201,-0.98343825
0.0130013,-0.9828874
0.014001401,-0.98240805
0.015001501,-0.98187447
0.0160016,-0.98136353
0.017001702,-0.98089814
0.0180018,-0.9803411
0.019001901,-0.9798595
0.020002,-0.9793175
0.0210021,-0.97884595
0.022002202,-0.9783145
0.0230023,-0.9778366
0.024002401,-0.9772942
0.025002502,-0.9767418
0.0260026,-0.9762703
0.027002702,-0.97573787
0.028002802,-0.97522324
0.029002901,-0.9747455
0.030003002,-0.97420335
0.0310031,-0.97376674
0.0320032,-0.97323775
0.0330033,-0.97267234
0.034003403,-0.9721891
0.035003502,-0.97162795
0.0360036,-0.9711951
0.037003703,-0.97061706
0.038003802,-0.9701107
0.0390039,-0.9695852
0.040004,-0.9691179
0.041004103,-0.96854836
0.0420042,-0.96807694
0.0430043,-0.9676305
0.044004403,-0.9670818
0.045004502,-0.9665523
0.0460046,-0.96603656
0.047004703,-0.96554846
0.048004802,-0.9650199
0.0490049,-0.96452343
0.050005004,-0.9639779
0.051005103,-0.96349764
0.0520052,-0.96300685
0.053005304,-0.96243477
0.054005403,-0.96191734
0.055005502,-0.9614247
0.056005605,-0.96096367
0.057005703,-0.9603838
0.058005802,-0.9598969
0.0590059,-0.9593467
0.060006004,-0.9588492
0.061006103,-0.95837843
0.0620062,-0.95781815
0.063006304,-0.9573023
0.0640064,-0.9567913
0.0650065,-0.95626295
0.0660066,-0.9557443
0.0670067,-0.9552415
0.068006806,-0.9547092
0.069006905,-0.9541652
0.070007004,-0.9536809
0.0710071,-0.9531759
0.0720072,-0.9526248
0.0730073,-0.95209146
0.07400741,-0.9515355
0.075007506,-0.95107967
0.076007605,-0.9505617
0.0770077,-0.9499814
0.0780078,-0.94946045
0.0790079,-0.9489212
0.080008,-0.94840854
0.08100811,-0.94787675
0.082008205,-0.94734263
0.083008304,-0.94679415
0.0840084,-0.9462944
0.0850085,-0.94570506
0.0860086,-0.9451871
0.08700871,-0.94460607
0.088008806,-0.94409704
0.089008905,-0.94357735
0.090009004,-0.9430503
0.0910091,-0.94248164
0.0920092,-0.9419409
0.09300931,-0.9413892
0.09400941,-0.9408418
0.095009506,-0.94025123
0.096009605,-0.93972445
0.0970097,-0.93916464
0.0980098,-0.9386054
0.0990099,-0.93806916
0.10001001,-0.9375035
0.10101011,-0.93694586
0.102010205,-0.93639475
0.103010304,-0.93573433
0.1040104,-0.9352223
0.1050105,-0.93466973
0.10601061,-0.9340795
0.10701071,-0.9335386
0.108010806,-0.93295026
0.109010905,-0.9323516
0.110011004,-0.9318073
0.1110111,-0.93118656
0.11201121,-0.9306786
0.11301131,-0.9300372
0.11401141,-0.92947996
0.115011506,-0.92891693
0.116011605,-0.92828643
0.1170117,-0.92775965
0.1180118,-0.92711544
0.11901191,-0.9265442
0.12001201,-0.9259374
0.12101211,-0.9253489
0.122012205,-0.92472243
0.123012304,-0.9241662
0.1240124,-0.9235428
0.1250125,-0.9229627
0.12601261,-0.92236
0.1270127,-0.92177033
0.1280128,-0.9210898
0.12901291,-0.92049086
0.130013,-0.91987497
0.13101311,-0.91929555
0.1320132,-0.918694
0.13301331,-0.91795707
0.1340134,-0.91738003
0.1350135,-0.9167388
0.13601361,-0.916126
0.1370137,-0.91549706
0.13801381,-0.9148029
0.1390139,-0.91418505
0.14001401,-0.91358244
0.14101411,-0.9129242
0.1420142,-0.91232556
0.14301431,-0.9115667
0.1440144,-0.9109645
0.14501451,-0.9103053
0.1460146,-0.9097132
0.1470147,-0.9090174
0.14801481,-0.9082985
0.1490149,-0.9076973
0.15001501,-0.9070146
0.1510151,-0.9064095
0.15201521,-0.90570164
0.1530153,-0.9049606
0.1540154,-0.9043255
0.15501551,-0.9036298
0.1560156,-0.9029616
0.15701571,-0.9022964
0.1580158,-0.9016434
0.15901591,-0.90086645
0.160016,-0.90020126
0.1610161,-0.89950806
0.16201621,-0.89881015
0.1630163,-0.89813864
0.16401641,-0.8973553
0.1650165,-0.8966933
0.16601661,-0.8959707
0.16701671,-0.8952571
0.1680168,-0.8946017
0.16901691,-0.8938159
0.170017,-0.89309233
0.17101711,-0.89239705
0.1720172,-0.891697
0.17301731,-0.89097637
0.17401741,-0.890185
0.1750175,-0.8894808
0.17601761,-0.8887385
0.1770177,-0.88803345
0.17801781,-0.8872889
0.1790179,-0.8864988
0.18001801,-0.8857391
0.18101811,-0.8850198
0.1820182,-0.88429904
0.18301831,-0.8835634
0.1840184,-0.8828651
0.18501851,-0.8819908
0.18601862,-0.881253
0.1870187,-0.8805207
0.18801881,-0.8797244
0.1890189,-0.87896156
0.19001901,-0.8781669
0.1910191,-0.8773976
0.19201921,-0.87663466
0.19301932,-0.8758688
