input_value,relevance
0.0,-3.2196846
0.0010001,-3.2197292
0.0020002,-3.219912
0.0030003001,-3.2202225
0.0040004,-3.220342
0.0050005,-3.2203946
0.0060006003,-3.220522
0.0070007006,-3.2207618
0.0080008,-3.2208955
0.0090009,-3.22092
0.010001,-3.2211757
0.011001101,-3.2213159
0.012001201,-3.2215743
0.0130013,-3.2215257
0.014001401,-3.2217424
0.015001501,-3.2218804
0.0160016,-3.22199
0.017001702,-3.222145
0.0180018,-3.2223113
0.019001901,-3.2223458
0.020002,-3.222579
0.0210021,-3.222619
0.022002202,-3.2228198
0.0230023,-3.2229118
0.024002401,-3.2229762
0.025002502,-3.2230985
0.0260026,-3.223239
0.027002702,-3.2232153
0.028002802,-3.223351
0.029002901,-3.223577
0.030003002,-3.223578
0.0310031,-3.22391
0.0320032,-3.2239695
0.0330033,-3.2239532
0.034003403,-3.2240963
0.035003502,-3.224085
0.0360036,-3.2239711
0.037003703,-3.224199
0.038003802,-3.2242942
0.0390039,-3.2243464
0.040004,-3.224481
0.041004103,-3.224627
0.0420042,-3.224657
0.0430043,-3.2247517
0.044004403,-3.2248335
0.045004502,-3.2247686
0.0460046,-3.2250123
0.047004703,-3.2249374
0.048004802,-3.2250543
0.0490049,-3.2252586
0.050005004,-3.225265
0.051005103,-3.225305
0.0520052,-3.2254853
0.053005304,-3.225498
0.054005403,-3.2255406
0.055005502,-3.2254794
0.056005605,-3.225557
0.057005703,-3.225515
0.058005802,-3.2258568
0.0590059,-3.2257857
0.060006004,-3.2257662
0.061006103,-3.2258568
0.0620062,-3.225949
0.063006304,-3.2258966
0.0640064,-3.2258182
0.0650065,-3.2260127
0.0660066,-3.226033
0.0670067,-3.2259912
0.068006806,-3.225992
0.069006905,-3.2261612
0.070007004,-3.226025
0.0710071,-3.2261934
0.0720072,-3.2263021
0.0730073,-3.2263656
0.07400741,-3.2262459
0.075007506,-3.2261333
0.076007605,-3.2262592
0.0770077,-3.2263417
0.0780078,-3.2263067
0.0790079,-3.2260814
0.080008,-3.226152
0.08100811,-3.2260842
0.082008205,-3.226272
0.083008304,-3.226079
0.0840084,-3.2262416
0.0850085,-3.2260845
0.0860086,-3.2261949
0.08700871,-3.226168
0.088008806,-3.2262192
0.089008905,-3.2261353
0.090009004,-3.2260287
0.0910091,-3.2259953
0.0920092,-3.2263148
0.09300931,-3.2261977
0.09400941,-3.2261314
0.095009506,-3.225981
0.096009605,-3.226047
0.0970097,-3.2259307
0.0980098,-3.22586
0.0990099,-3.2258863
0.10001001,-3.2259789
0.10101011,-3.2259293
0.102010205,-3.2259161
0.103010304,-3.2257917
0.1040104,-3.2256365
0.1050105,-3.225804
0.10601061,-3.2256875
0.10701071,-3.2256622
0.108010806,-3.2254996
0.109010905,-3.225438
0.110011004,-3.2255113
0.1110111,-3.2254791
0.11201121,-3.2254252
0.11301131,-3.2254143
0.11401141,-3.2253132
0.115011506,-3.2252605
0.116011605,-3.2251043
0.1170117,-3.2250054
0.1180118,-3.2249036
0.11901191,-3.2249413
0.12001201,-3.2250028
0.12101211,-3.2247274
0.122012205,-3.2246099
0.123012304,-3.2245474
0.1240124,-3.2244668
0.1250125,-3.2242637
0.12601261,-3.2243717
0.1270127,-3.2241435
0.1280128,-3.2241733
0.12901291,-3.2240782
0.130013,-3.2239738
0.13101311,-3.2238503
0.1320132,-3.2240164
0.13301331,-3.2238607
0.1340134,-3.2238197
0.1350135,-3.2234707
0.13601361,-3.2232475
0.1370137,-3.2232032
0.13801381,-3.2232094
0.1390139,-3.2232735
0.14001401,-3.2232046
0.14101411,-3.2231262
0.1420142,-3.2230146
0.14301431,-3.2230291
0.1440144,-3.222931
0.14501451,-3.2226653
0.1460146,-3.222682
0.1470147,-3.222752
0.14801481,-3.2224793
0.1490149,-3.2224517
0.15001501,-3.2224667
0.1510151,-3.2224216
0.15201521,-3.22254
0.1530153,-3.222342
0.1540154,-3.222314
0.15501551,-3.222076
0.1560156,-3.2220707
0.15701571,-3.2218819
0.1580158,-3.2218814
0.15901591,-3.221929
0.160016,-3.2220798
0.1610161,-3.2218838
0.16201621,-3.221902
0.1630163,-3.2217307
0.16401641,-3.2216048
0.1650165,-3.2214212
0.16601661,-3.2214994
0.16701671,-3.2213826
0.1680168,-3.2212496
0.16901691,-3.2212553
0.170017,-3.2213264
0.17101711,-3.2211647
0.1720172,-3.2212439
0.17301731,-3.221334
0.17401741,-3.2212353
0.1750175,-3.221129
0.17601761,-3.2210093
0.1770177,-3.2209983
0.17801781,-3.2209315
0.1790179,-3.2210824
0.18001801,-3.2210126
0.18101811,-3.2210357
0.1820182,-3.2209659
0.18301831,-3.2209687
0.1840184,-3.2210028
0.18501851,-3.2208476
0.18601862,-3.2209544
0.1870187,-3.2208207
0.18801881,-3.2208304
0.1890189,-3.2209451
0.19001901,-3.2207851
0.1910191,-3.2208061
0.19201921,-3.2208853
0.19301932,-3.220912
0.1940194,-3.2210116
0.19501951,-3.220909
0.1960196,-3.2209013
0.19701971,-3.2209468
0.1980198,-3.2210462
0.19901991,-3.221008
0.20002002,-3.2210722
0.2010201,-3.221119
0.20202021,-3.2212248
0.2030203,-3.2212243
0.20402041,-3.2212026
0.20502052,-3.2211308
0.20602061,-3.2210953
0.20702071,-3.2212415
0.2080208,-3.2213147
0.20902091,-3.2213025
0.210021,-3.2212183
0.21102111,-3.2213688
0.21202122,-3.2213264
0.21302131,-3.2214131
0.21402141,-3.221582
0.2150215,-3.221439
0.21602161,-3.2215657
0.2170217,-3.2216613
0.21802181,-3.2216392
0.21902192,-3.2218032
0.22002201,-3.2218359
0.22102211,-3.2219768
0.2220222,-3.2219572
0.22302231,-3.2220902
0.22402242,-3.2222462
0.22502251,-3.2221165
0.22602262,-3.2222285
0.22702271,-3.222333
0.22802281,-3.222384
0.2290229,-3.2224815
0.23002301,-3.2225938
0.23102312,-3.222646
0.23202321,-3.2227664
0.23302332,-3.2229273
0.2340234,-3.222898
0.23502351,-3.2229471
0.2360236,-3.223061
0.23702371,-3.223054
0.23802382,-3.2232642
0.23902391,-3.2233405
0.24002402,-3.2235708
0.2410241,-3.2236905
0.24202421,-3.2237554
0.2430243,-3.2238736
0.24402441,-3.2240424
0.24502452,-3.22407
0.24602461,-3.224097
0.24702471,-3.2241669
0.2480248,-3.2244396
0.24902491,-3.224481
0.250025,-3.2244413
0.2510251,-3.2247238
0.25202522,-3.224782
0.25302532,-3.2249422
0.2540254,-3.2250142
0.2550255,-3.225065
0.2560256,-3.2252426
0.25702572,-3.2254043
0.25802583,-3.2255716
0.2590259,-3.225618
0.260026,-3.2257667
0.2610261,-3.225925
0.26202622,-3.226147
0.26302633,-3.2263696
0.2640264,-3.226489
0.2650265,-3.2264895
0.26602662,-3.2264512
0.26702672,-3.2269077
0.2680268,-3.2270072
0.2690269,-3.227101
0.270027,-3.227279
0.27102712,-3.2274635
0.27202722,-3.2276027
0.2730273,-3.227629
0.2740274,-3.228064
0.2750275,-3.228059
0.27602762,-3.2281413
0.27702773,-3.2282243
0.2780278,-3.228528
0.2790279,-3.228609
0.28002802,-3.2288966
0.28102812,-3.228979
0.28202823,-3.2292387
0.2830283,-3.2294388
0.2840284,-3.2295363
0.28502852,-3.229701
0.28602862,-3.229974
0.2870287,-3.2299972
0.2880288,-3.2301674
0.2890289,-3.230364
0.29002902,-3.2306194
0.29102913,-3.2306244
0.2920292,-3.230847
0.2930293,-3.231052
0.2940294,-3.23112
0.29502952,-3.2313972
0.29602963,-3.2316723
0.2970297,-3.231703
0.2980298,-3.2317982
0.29902992,-3.232131
0.30003002,-3.232339
0.30103013,-3.2325807
0.3020302,-3.2328491
0.3030303,-3.2328718
0.30403042,-3.2331367
0.30503052,-3.2332573
0.3060306,-3.2334335
0.3070307,-3.2337732
0.3080308,-3.2339401
0.30903092,-3.2340775
0.31003103,-3.234429
0.3110311,-3.2345426
0.3120312,-3.2346933
0.31303132,-3.2348225
0.31403142,-3.2352886
0.31503153,-3.2354732
0.3160316,-3.2355962
0.3170317,-3.2357512
0.31803182,-3.2361093
0.31903192,-3.236168
0.320032,-3.236423
0.3210321,-3.2367506
0.3220322,-3.2369618
0.32303232,-3.237203
0.32403243,-3.2374072
0.3250325,-3.2375987
0.3260326,-3.2375622
0.32703272,-3.2380056
0.32803282,-3.238264
0.32903293,-3.2386146
0.330033,-3.2388983
0.3310331,-3.2387817
0.33203322,-3.2390256
0.33303332,-3.2394767
0.33403343,-3.2396078
0.3350335,-3.2398694
0.3360336,-3.2398386
0.33703372,-3.2401862
0.33803383,-3.240368
0.3390339,-3.240809
0.340034,-3.2408953
0.3410341,-3.2412455
0.34203422,-3.241385
