input_value,relevance
0.0,-3.1338484
0.0010001,-3.1349113
0.0020002,-3.135884
0.0030003001,-3.136733
0.0040004,-3.137761
0.0050005,-3.1385686
0.0060006003,-3.1396034
0.0070007006,-3.1405585
0.0080008,-3.141496
0.0090009,-3.142388
0.010001,-3.1432354
0.011001101,-3.1441343
0.012001201,-3.145034
0.0130013,-3.1458995
0.014001401,-3.146763
0.015001501,-3.1477146
0.0160016,-3.14843
0.017001702,-3.1493847
0.0180018,-3.1502225
0.019001901,-3.1509278
0.020002,-3.151834
0.0210021,-3.152643
0.022002202,-3.1534626
0.0230023,-3.1542413
0.024002401,-3.1550791
0.025002502,-3.1558964
0.0260026,-3.1565802
0.027002702,-3.1574023
0.028002802,-3.1581855
0.029002901,-3.158799
0.030003002,-3.159692
0.0310031,-3.160383
0.0320032,-3.1611931
0.0330033,-3.1618361
0.034003403,-3.1626017
0.035003502,-3.16332
0.0360036,-3.1640856
0.037003703,-3.1647913
0.038003802,-3.1654427
0.0390039,-3.1661937
0.040004,-3.1669042
0.041004103,-3.167623
0.0420042,-3.1682737
0.0430043,-3.168954
0.044004403,-3.1696107
0.045004502,-3.1702502
0.0460046,-3.170922
0.047004703,-3.171533
0.048004802,-3.1722014
0.0490049,-3.172787
0.050005004,-3.173474
0.051005103,-3.1741269
0.0520052,-3.1746511
0.053005304,-3.175308
0.054005403,-3.1760294
0.055005502,-3.1765687
0.056005605,-3.177123
0.057005703,-3.1777267
0.058005802,-3.1782591
0.0590059,-3.1789033
0.060006004,-3.1795304
0.061006103,-3.1801033
0.0620062,-3.1806362
0.063006304,-3.1812155
0.0640064,-3.181825
0.0650065,-3.1823032
0.0660066,-3.182852
0.0670067,-3.1834872
0.068006806,-3.1839774
0.069006905,-3.1844738
0.070007004,-3.1850533
0.0710071,-3.185521
0.0720072,-3.1861465
0.0730073,-3.186565
0.07400741,-3.1871946
0.075007506,-3.1876988
0.076007605,-3.1880744
0.0770077,-3.1887147
0.0780078,-3.1891181
0.0790079,-3.1896017
0.080008,-3.1901648
0.08100811,-3.190588
0.082008205,-3.191108
0.083008304,-3.1916528
0.0840084,-3.192044
0.0850085,-3.192599
0.0860086,-3.1930077
0.08700871,-3.1934493
0.088008806,-3.1938732
0.089008905,-3.1943753
0.090009004,-3.1947598
0.0910091,-3.1952236
0.0920092,-3.1956565
0.09300931,-3.19617
0.09400941,-3.1965265
0.095009506,-3.196953
0.096009605,-3.1973987
0.0970097,-3.197787
0.0980098,-3.1983109
0.0990099,-3.1987243
0.10001001,-3.199085
0.10101011,-3.1995218
0.102010205,-3.1999128
0.103010304,-3.2002726
0.1040104,-3.2006361
0.1050105,-3.2011175
0.10601061,-3.2014663
0.10701071,-3.2017972
0.108010806,-3.2022314
0.109010905,-3.202617
0.110011004,-3.2029579
0.1110111,-3.2032692
0.11201121,-3.2036974
0.11301131,-3.2040498
0.11401141,-3.2044222
0.115011506,-3.2048352
0.116011605,-3.2051628
0.1170117,-3.2054617
0.1180118,-3.205795
0.11901191,-3.206232
0.12001201,-3.2065198
0.12101211,-3.2068884
0.122012205,-3.2071822
0.123012304,-3.2075202
0.1240124,-3.2078254
0.1250125,-3.208134
0.12601261,-3.2084873
0.1270127,-3.208707
0.1280128,-3.209103
0.12901291,-3.2094443
0.130013,-3.2096598
0.13101311,-3.2099032
0.1320132,-3.2102582
0.13301331,-3.2105336
0.1340134,-3.2108905
0.1350135,-3.2111857
0.13601361,-3.2114074
0.1370137,-3.211696
0.13801381,-3.2120323
0.1390139,-3.2122366
0.14001401,-3.2126107
0.14101411,-3.2127275
0.1420142,-3.213063
0.14301431,-3.2133582
0.1440144,-3.2136226
0.14501451,-3.2139075
0.1460146,-3.2141173
0.1470147,-3.2143033
0.14801481,-3.2146606
0.1490149,-3.2149117
0.15001501,-3.215168
0.1510151,-3.215463
0.15201521,-3.2156692
0.1530153,-3.215937
0.1540154,-3.2161205
0.15501551,-3.2163525
0.1560156,-3.216533
0.15701571,-3.216708
0.1580158,-3.2170079
0.15901591,-3.2172215
0.160016,-3.2174656
0.1610161,-3.2176526
0.16201621,-3.21789
0.1630163,-3.218136
