input_value,relevance
0.0,-2.1206262
0.0010001,-2.1190872
0.0020002,-2.117623
0.0030003001,-2.1164567
0.0040004,-2.114945
0.0050005,-2.113322
0.0060006003,-2.1122727
0.0070007006,-2.1107473
0.0080008,-2.1092942
0.0090009,-2.1081626
0.010001,-2.1066847
0.011001101,-2.1051135
0.012001201,-2.1041381
0.0130013,-2.1026726
0.014001401,-2.101232
0.015001501,-2.100119
0.0160016,-2.0987449
0.017001702,-2.097193
0.0180018,-2.0957546
0.019001901,-2.0946558
0.020002,-2.0930133
0.0210021,-2.0919704
0.022002202,-2.0904603
0.0230023,-2.0889862
0.024002401,-2.0875554
0.025002502,-2.0866153
0.0260026,-2.085093
0.027002702,-2.0836682
0.028002802,-2.0825992
0.029002901,-2.0811198
0.030003002,-2.079721
0.0310031,-2.0786037
0.0320032,-2.0773008
0.0330033,-2.0756383
0.034003403,-2.0746644
0.035003502,-2.0732648
0.0360036,-2.0716393
0.037003703,-2.0702493
0.038003802,-2.06908
0.0390039,-2.0677412
0.040004,-2.066552
0.041004103,-2.0652218
0.0420042,-2.0636504
0.0430043,-2.0627644
0.044004403,-2.0614336
0.045004502,-2.059935
0.0460046,-2.0587726
0.047004703,-2.0574098
0.048004802,-2.0560007
0.0490049,-2.0546324
0.050005004,-2.0534692
0.051005103,-2.0521305
0.0520052,-2.0504415
0.053005304,-2.049415
0.054005403,-2.0479774
0.055005502,-2.0465987
0.056005605,-2.0456352
0.057005703,-2.0441666
0.058005802,-2.0427525
0.0590059,-2.0413678
0.060006004,-2.040276
0.061006103,-2.038859
0.0620062,-2.0379317
0.063006304,-2.0363405
0.0640064,-2.034969
0.0650065,-2.0339265
0.0660066,-2.0323522
0.0670067,-2.0310974
0.068006806,-2.029838
0.069006905,-2.0285332
0.070007004,-2.027056
0.0710071,-2.026022
0.0720072,-2.0247211
0.0730073,-2.0231693
0.07400741,-2.021974
0.075007506,-2.0208037
0.076007605,-2.019335
0.0770077,-2.018054
0.0780078,-2.0168674
0.0790079,-2.015274
0.080008,-2.01403
0.08100811,-2.013028
0.082008205,-2.0117056
0.083008304,-2.0102406
0.0840084,-2.00899
0.0850085,-2.0076416
0.0860086,-2.006394
0.08700871,-2.0049233
0.088008806,-2.0038025
0.089008905,-2.0023603
0.090009004,-2.0011053
0.0910091,-1.9998797
0.0920092,-1.998496
0.09300931,-1.9971125
0.09400941,-1.9960426
0.095009506,-1.9947779
0.096009605,-1.9931973
0.0970097,-1.992067
0.0980098,-1.9909012
0.0990099,-1.9894395
0.10001001,-1.9879504
0.10101011,-1.9870484
0.102010205,-1.9859105
0.103010304,-1.9845057
0.1040104,-1.9830173
0.1050105,-1.9820774
0.10601061,-1.9808412
0.10701071,-1.9792266
0.108010806,-1.9778973
0.109010905,-1.9767843
0.110011004,-1.9754165
0.1110111,-1.97413
0.11201121,-1.9726713
0.11301131,-1.971484
0.11401141,-1.9701409
0.115011506,-1.9688842
0.116011605,-1.9674797
0.1170117,-1.966335
0.1180118,-1.9650028
0.11901191,-1.9637359
0.12001201,-1.9624176
0.12101211,-1.9610641
0.122012205,-1.959891
0.123012304,-1.9589115
0.1240124,-1.9575474
0.1250125,-1.956262
0.12601261,-1.9550054
0.1270127,-1.9536874
0.1280128,-1.952319
0.12901291,-1.9511423
0.130013,-1.9497467
0.13101311,-1.948554
0.1320132,-1.9472744
0.13301331,-1.9457566
0.1340134,-1.9445524
0.1350135,-1.9431502
0.13601361,-1.9420139
0.1370137,-1.9409205
0.13801381,-1.9393907
0.1390139,-1.9380181
0.14001401,-1.9369651
0.14101411,-1.935637
0.1420142,-1.9343812
0.14301431,-1.9327998
0.1440144,-1.9318216
0.14501451,-1.9304402
0.1460146,-1.9291692
0.1470147,-1.9279727
0.14801481,-1.9265945
0.1490149,-1.9253333
0.15001501,-1.9239995
0.1510151,-1.9227543
0.15201521,-1.9215328
0.1530153,-1.9201689
0.1540154,-1.918823
0.15501551,-1.9174727
0.1560156,-1.9164585
0.15701571,-1.9151678
0.1580158,-1.9138294
0.15901591,-1.9123557
0.160016,-1.9112408
0.1610161,-1.9100493
0.16201621,-1.9086775
0.1630163,-1.9076564
0.16401641,-1.90602
0.1650165,-1.9047261
0.16601661,-1.9035727
0.16701671,-1.9024389
0.1680168,-1.9012983
0.16901691,-1.8996947
0.170017,-1.898616
0.17101711,-1.8972286
0.1720172,-1.8959751
0.17301731,-1.8946512
