input_value,relevance
0.0,-2.5526152
0.0010001,-2.551133
0.0020002,-2.5495303
0.0030003001,-2.5480034
0.0040004,-2.54652
0.0050005,-2.5450444
0.0060006003,-2.543438
0.0070007006,-2.5418816
0.0080008,-2.540363
0.0090009,-2.5387237
0.010001,-2.5376532
0.011001101,-2.535668
0.012001201,-2.5342097
0.0130013,-2.5328348
0.014001401,-2.5311348
0.015001501,-2.5299532
0.0160016,-2.5283961
0.017001702,-2.5267427
0.0180018,-2.5251768
0.019001901,-2.5235236
0.020002,-2.5219066
0.0210021,-2.5208097
0.022002202,-2.519187
0.0230023,-2.5177062
0.024002401,-2.516303
0.025002502,-2.5144892
0.0260026,-2.5129406
0.027002702,-2.5118332
0.028002802,-2.5101619
0.029002901,-2.508692
0.030003002,-2.5070577
0.0310031,-2.5055354
0.0320032,-2.5038726
0.0330033,-2.5024705
0.034003403,-2.5011535
0.035003502,-2.4997432
0.0360036,-2.4982016
0.037003703,-2.4966204
0.038003802,-2.4953716
0.0390039,-2.4939044
0.040004,-2.4920437
0.041004103,-2.4906092
0.0420042,-2.488901
0.0430043,-2.4875176
0.044004403,-2.4863942
0.045004502,-2.484897
0.0460046,-2.4833674
0.047004703,-2.4815636
0.048004802,-2.4800844
0.0490049,-2.4785674
0.050005004,-2.4775727
0.051005103,-2.4759257
0.0520052,-2.4744086
0.053005304,-2.4728518
0.054005403,-2.4710333
0.055005502,-2.4699402
0.056005605,-2.4683685
0.057005703,-2.466984
0.058005802,-2.4654722
0.0590059,-2.4637487
0.060006004,-2.4623845
0.061006103,-2.4610212
0.0620062,-2.4595623
0.063006304,-2.4578521
0.0640064,-2.4563835
0.0650065,-2.4548223
0.0660066,-2.4536874
0.0670067,-2.4522717
0.068006806,-2.4506943
0.069006905,-2.4491014
0.070007004,-2.447376
0.0710071,-2.4462655
0.0720072,-2.4444318
0.0730073,-2.4432428
0.07400741,-2.4416378
0.075007506,-2.4402554
0.076007605,-2.4384305
0.0770077,-2.436951
0.0780078,-2.43588
0.0790079,-2.4342806
0.080008,-2.4328656
0.08100811,-2.4311821
0.082008205,-2.4296582
0.083008304,-2.4281924
0.0840084,-2.426942
0.0850085,-2.425451
0.0860086,-2.424
0.08700871,-2.4223254
0.088008806,-2.420796
0.089008905,-2.4194298
0.090009004,-2.4178402
0.0910091,-2.4167435
0.0920092,-2.4150562
0.09300931,-2.4135313
0.09400941,-2.411935
0.095009506,-2.4102514
0.096009605,-2.409345
0.0970097,-2.4075913
0.0980098,-2.406038
0.0990099,-2.404528
0.10001001,-2.4030144
0.10101011,-2.4019027
0.102010205,-2.4004476
0.103010304,-2.3989198
0.1040104,-2.397237
0.1050105,-2.3960955
0.10601061,-2.3942106
0.10701071,-2.3929093
0.108010806,-2.3914597
0.109010905,-2.3899052
0.110011004,-2.3882716
0.1110111,-2.386872
0.11201121,-2.3856728
0.11301131,-2.384126
0.11401141,-2.3826485
0.115011506,-2.3810408
0.116011605,-2.3795974
0.1170117,-2.3782213
0.1180118,-2.376548
0.11901191,-2.3751209
0.12001201,-2.3735611
0.12101211,-2.372177
0.122012205,-2.370892
0.123012304,-2.36936
0.1240124,-2.3677683
0.1250125,-2.3664753
0.12601261,-2.365041
0.1270127,-2.3635633
0.1280128,-2.3619614
0.12901291,-2.3604689
0.130013,-2.358947
0.13101311,-2.35756
0.1320132,-2.3561518
0.13301331,-2.3545253
0.1340134,-2.3530843
0.1350135,-2.3516037
0.13601361,-2.3501744
0.1370137,-2.3489645
0.13801381,-2.3472
0.1390139,-2.3456895
0.14001401,-2.3443935
0.14101411,-2.3430054
0.1420142,-2.3412635
0.14301431,-2.3397822
0.1440144,-2.3383029
0.14501451,-2.3367407
0.1460146,-2.335407
0.1470147,-2.3339643
0.14801481,-2.3324401
0.1490149,-2.3310552
0.15001501,-2.329653
0.1510151,-2.3280756
0.15201521,-2.3267133
0.1530153,-2.3249156
0.1540154,-2.3235164
0.15501551,-2.3221617
0.1560156,-2.3209224
0.15701571,-2.3190384
0.1580158,-2.317942
0.15901591,-2.3162944
0.160016,-2.3145983
0.1610161,-2.3133695
0.16201621,-2.311898
0.1630163,-2.3106446
0.16401641,-2.308788
0.1650165,-2.3072274
0.16601661,-2.3060584
0.16701671,-2.3047514
0.1680168,-2.3029423
0.16901691,-2.3016334
0.170017,-2.299949
0.17101711,-2.2986515
0.1720172,-2.2972274
0.17301731,-2.295793
0.17401741,-2.2941566
0.1750175,-2.2926724
0.17601761,-2.2911909
0.1770177,-2.2897809
0.17801781,-2.2885425
0.1790179,-2.2868783
0.18001801,-2.2854013
0.18101811,-2.2838426
0.1820182,-2.2823164
0.18301831,-2.2811415
0.1840184,-2.2795122
0.18501851,-2.2778537
0.18601862,-2.2765167
0.1870187,-2.2750638
0.18801881,-2.2735965
0.1890189,-2.272387
0.19001901,-2.2706032
0.1910191,-2.2693539
0.19201921,-2.2679808
0.19301932,-2.2664793
0.1940194,-2.2648306
0.19501951,-2.2632592
0.1960196,-2.2618299
0.19701971,-2.260394
0.1980198,-2.258945
0.19901991,-2.257423
0.20002002,-2.255911
0.2010201,-2.2545736
0.20202021,-2.2531996
0.2030203,-2.2517245
0.20402041,-2.2501738
0.20502052,-2.2484875
0.20602061,-2.247001
0.20702071,-2.2455738
0.2080208,-2.2442572
0.20902091,-2.2427433
0.210021,-2.2414653
0.21102111,-2.2396743
0.21202122,-2.2381537
0.21302131,-2.2369063
0.21402141,-2.235479
0.2150215,-2.2341292
0.21602161,-2.2325554
0.2170217,-2.2308617
0.21802181,-2.2294817
0.21902192,-2.2280855
0.22002201,-2.226629
0.22102211,-2.2250621
0.2220222,-2.2236698
0.22302231,-2.22205
0.22402242,-2.2205062
0.22502251,-2.2192466
0.22602262,-2.217731
0.22702271,-2.2162154
0.22802281,-2.2148454
0.2290229,-2.2132452
0.23002301,-2.2118752
0.23102312,-2.2101076
0.23202321,-2.2087305
0.23302332,-2.2074432
0.2340234,-2.206141
0.23502351,-2.2047272
0.2360236,-2.2030914
0.23702371,-2.2017186
0.23802382,-2.2002313
0.23902391,-2.198867
0.24002402,-2.1974874
0.2410241,-2.196078
0.24202421,-2.1946614
0.2430243,-2.1933773
0.24402441,-2.1920493
0.24502452,-2.190674
0.24602461,-2.1893377
0.24702471,-2.1879568
0.2480248,-2.186547
0.24902491,-2.1852
0.250025,-2.1839638
0.2510251,-2.1828046
0.25202522,-2.1815498
0.25302532,-2.1803515
0.2540254,-2.178849
0.2550255,-2.1774337
0.2560256,-2.1760533
0.25702572,-2.1748927
0.25802583,-2.1739
0.2590259,-2.1728277
0.260026,-2.171577
0.2610261,-2.1702027
0.26202622,-2.1690254
0.26302633,-2.1678896
0.2640264,-2.1668382
0.2650265,-2.1651866
0.26602662,-2.164146
0.26702672,-2.1630847
0.2680268,-2.1619656
0.2690269,-2.1608317
0.270027,-2.1597407
0.27102712,-2.1585052
0.27202722,-2.1577132
0.2730273,-2.1564941
0.2740274,-2.1552916
0.2750275,-2.153989
0.27602762,-2.153056
0.27702773,-2.1518147
0.2780278,-2.1510105
0.2790279,-2.1498497
0.28002802,-2.1488526
0.28102812,-2.1477573
0.28202823,-2.1469193
0.2830283,-2.1459475
0.2840284,-2.1447446
0.28502852,-2.1437752
0.28602862,-2.1426678
0.2870287,-2.1416519
0.2880288,-2.1410716
0.2890289,-2.140135
0.29002902,-2.139075
0.29102913,-2.1380894
0.2920292,-2.137143
0.2930293,-2.1362984
0.2940294,-2.1354172
0.29502952,-2.1343603
0.29602963,-2.1333537
0.2970297,-2.1324148
0.2980298,-2.1315033
0.29902992,-2.1304407
0.30003002,-2.1299398
0.30103013,-2.1290038
0.3020302,-2.1283076
0.3030303,-2.127377
0.30403042,-2.1264012
0.30503052,-2.1254218
0.3060306,-2.12462
0.3070307,-2.1237993
0.3080308,-2.123151
0.30903092,-2.122305
0.31003103,-2.1214619
0.3110311,-2.1208608
0.3120312,-2.120224
0.31303132,-2.1191044
0.31403142,-2.1184874
0.31503153,-2.1177194
0.3160316,-2.1169922
0.3170317,-2.1158934
0.31803182,-2.1151907
0.31903192,-2.114678
0.320032,-2.11387
0.3210321,-2.1130927
0.3220322,-2.1126819
0.32303232,-2.1118248
0.32403243,-2.1114016
0.3250325,-2.1106625
0.3260326,-2.1098397
0.32703272,-2.1090267
0.32803282,-2.1083026
0.32903293,-2.1074169
0.330033,-2.1067777
0.3310331,-2.1066532
0.33203322,-2.1060126
0.33303332,-2.1053762
0.33403343,-2.1045468
0.3350335,-2.1040928
0.3360336,-2.103795
0.33703372,-2.1029603
0.33803383,-2.1024141
0.3390339,-2.1019292
0.340034,-2.1010153
0.3410341,-2.1002672
0.34203422,-2.0999496
0.34303433,-2.0994954
0.3440344,-2.0989866
0.3450345,-2.0985763
0.34603462,-2.0979993
0.34703472,-2.0973911
0.34803483,-2.0967286
0.3490349,-2.0964522
0.350035,-2.096008
0.35103512,-2.0950997
0.35203522,-2.0946815
0.35303533,-2.0943406
0.3540354,-2.0940719
0.3550355,-2.0939136
0.35603562,-2.093249
0.35703573,-2.0926166
0.3580358,-2.0921261
0.3590359,-2.0917466
0.36003602,-2.0913177
0.36103612,-2.0911539
0.36203623,-2.0907657
0.3630363,-2.0901487
0.3640364,-2.0896838
0.36503652,-2.0893917
0.36603662,-2.0887089
0.36703673,-2.0888488
0.3680368,-2.0884607
0.3690369,-2.0879352
0.37003702,-2.0874054
0.37103713,-2.087113
0.37203723,-2.0867414
0.3730373,-2.0863655
0.3740374,-2.0859635
0.37503752,-2.0857666
0.37603763,-2.0852005
0.3770377,-2.0850508
0.3780378,-2.0846293
0.37903792,-2.0843816
0.38003802,-2.0841043
0.38103813,-2.084278
0.3820382,-2.0836477
0.3830383,-2.0833962
0.38403842,-2.0830534
0.38503852,-2.0831797
0.38603863,-2.0829625
0.3870387,-2.0824904
0.3880388,-2.0819066
0.38903892,-2.0819829
0.39003903,-2.0816443
0.39103913,-2.0816333
0.3920392,-2.0815182
0.39303932,-2.0809126
0.39403942,-2.0805666
0.39503953,-2.080275
0.3960396,-2.0803268
