input_value,relevance
0.0,-1.183939
0.0010001,-1.1827323
0.0020002,-1.181332
0.0030003001,-1.1799313
0.0040004,-1.1786513
0.0050005,-1.1771623
0.0060006003,-1.1756136
0.0070007006,-1.1745033
0.0080008,-1.1730318
0.0090009,-1.1715324
0.010001,-1.1700304
0.011001101,-1.1690162
0.012001201,-1.1675155
0.0130013,-1.165918
0.014001401,-1.1648153
0.015001501,-1.1632435
0.0160016,-1.1619382
0.017001702,-1.1607329
0.0180018,-1.1592712
0.019001901,-1.157716
0.020002,-1.1567348
0.0210021,-1.1552732
0.022002202,-1.1537102
0.0230023,-1.1525376
0.024002401,-1.1509924
0.025002502,-1.1497871
0.0260026,-1.1485531
0.027002702,-1.146981
0.028002802,-1.1454682
0.029002901,-1.1444477
0.030003002,-1.1429458
0.0310031,-1.1416221
0.0320032,-1.1400557
0.0330033,-1.1390134
0.034003403,-1.1375264
0.035003502,-1.1360397
0.0360036,-1.1349723
0.037003703,-1.1335007
0.038003802,-1.1323227
0.0390039,-1.1308749
0.040004,-1.1294448
0.041004103,-1.1279362
0.0420042,-1.1269145
0.0430043,-1.1254679
0.044004403,-1.1240593
0.045004502,-1.1228434
0.0460046,-1.121377
0.047004703,-1.1199543
0.048004802,-1.11893
0.0490049,-1.1175216
0.050005004,-1.1159792
0.051005103,-1.1148438
0.0520052,-1.1133673
0.053005304,-1.112119
0.054005403,-1.1106282
0.055005502,-1.1094909
0.056005605,-1.1080061
0.057005703,-1.1065974
0.058005802,-1.1055595
0.0590059,-1.1041532
0.060006004,-1.1029872
0.061006103,-1.1015478
0.0620062,-1.1001682
0.063006304,-1.0989423
0.0640064,-1.097703
0.0650065,-1.0961438
0.0660066,-1.0950599
0.0670067,-1.0937223
0.068006806,-1.092252
0.069006905,-1.0909129
0.070007004,-1.089748
0.0710071,-1.0883555
0.0720072,-1.086952
0.0730073,-1.0857576
0.07400741,-1.0844582
0.075007506,-1.0829922
0.076007605,-1.0818282
0.0770077,-1.0804771
0.0780078,-1.0789814
0.0790079,-1.07787
0.080008,-1.0763891
0.08100811,-1.0753642
0.082008205,-1.0740206
0.083008304,-1.0726676
0.0840084,-1.0714104
0.0850085,-1.0699832
0.0860086,-1.0687705
0.08700871,-1.0674974
0.088008806,-1.0660708
0.089008905,-1.0647552
0.090009004,-1.0634942
0.0910091,-1.0621217
0.0920092,-1.0609614
0.09300931,-1.0595993
0.09400941,-1.0582327
0.095009506,-1.0568004
0.096009605,-1.0556477
0.0970097,-1.0544353
0.0980098,-1.0530169
0.0990099,-1.0518017
0.10001001,-1.0504025
0.10101011,-1.049
0.102010205,-1.0477158
0.103010304,-1.0464231
0.1040104,-1.0452852
0.1050105,-1.0439086
0.10601061,-1.0425237
0.10701071,-1.0412878
0.108010806,-1.0399736
0.109010905,-1.0386816
0.110011004,-1.0375876
0.1110111,-1.0361502
0.11201121,-1.0347891
0.11301131,-1.0334406
0.11401141,-1.0322007
0.115011506,-1.0310936
0.116011605,-1.0296853
0.1170117,-1.0283687
0.1180118,-1.0271028
0.11901191,-1.0257864
0.12001201,-1.0244797
0.12101211,-1.0231863
0.122012205,-1.0220873
0.123012304,-1.0207225
0.1240124,-1.0193802
0.1250125,-1.0180622
0.12601261,-1.0168024
0.1270127,-1.0157179
0.1280128,-1.0143442
0.12901291,-1.013106
0.130013,-1.0118397
0.13101311,-1.0106703
0.1320132,-1.0093098
0.13301331,-1.0079347
0.1340134,-1.006648
0.1350135,-1.0053465
0.13601361,-1.0040302
0.1370137,-1.0027391
0.13801381,-1.0013741
0.1390139,-1.0001503
0.14001401,-0.9988972
0.14101411,-0.9977093
0.1420142,-0.9964487
0.14301431,-0.99507856
0.1440144,-0.9938082
0.14501451,-0.9925001
0.1460146,-0.9913255
0.1470147,-0.9900589
0.14801481,-0.9886291
0.1490149,-0.98739123
0.15001501,-0.98610824
0.1510151,-0.9848803
0.15201521,-0.98370075
0.1530153,-0.9823552
0.1540154,-0.9809681
0.15501551,-0.9798412
0.1560156,-0.97850716
0.15701571,-0.9772387
0.1580158,-0.9759975
0.15901591,-0.97471106
0.160016,-0.973456
0.1610161,-0.972209
0.16201621,-0.97105765
0.1630163,-0.9697801
0.16401641,-0.96835804
0.1650165,-0.96706885
0.16601661,-0.96589905
0.16701671,-0.96453124
0.1680168,-0.9634726
0.16901691,-0.96203995
0.170017,-0.96075064
0.17101711,-0.9594014
0.1720172,-0.9581319
0.17301731,-0.95686895
0.17401741,-0.9555613
0.1750175,-0.9543744
0.17601761,-0.9530983
0.1770177,-0.9519701
0.17801781,-0.95070606
0.1790179,-0.949288
0.18001801,-0.94795793
0.18101811,-0.9467731
0.1820182,-0.9455681
0.18301831,-0.9443357
0.1840184,-0.94300914
0.18501851,-0.9417678
0.18601862,-0.9403736
0.1870187,-0.93927914
0.18801881,-0.9380328
0.1890189,-0.9366811
0.19001901,-0.93535924
0.1910191,-0.9340245
0.19201921,-0.93283176
0.19301932,-0.9317077
0.1940194,-0.93046117
0.19501951,-0.9290639
0.1960196,-0.9278108
0.19701971,-0.92653674
0.1980198,-0.92537504
0.19901991,-0.9241183
0.20002002,-0.9228097
0.2010201,-0.9216212
0.20202021,-0.9203639
0.2030203,-0.91913223
0.20402041,-0.91789854
0.20502052,-0.91661596
0.20602061,-0.91544247
0.20702071,-0.9143694
0.2080208,-0.9130964
0.20902091,-0.9119418
0.210021,-0.9107756
0.21102111,-0.90940845
0.21202122,-0.9082878
0.21302131,-0.907178
0.21402141,-0.90604377
0.2150215,-0.9049261
0.21602161,-0.9036646
0.2170217,-0.90247184
0.21802181,-0.90142465
0.21902192,-0.90032375
0.22002201,-0.899156
0.22102211,-0.89804727
0.2220222,-0.8969761
0.22302231,-0.895862
0.22402242,-0.89481646
0.22502251,-0.8936367
0.22602262,-0.8925373
0.22702271,-0.8915054
0.22802281,-0.8904731
0.2290229,-0.8894502
0.23002301,-0.888396
0.23102312,-0.8873073
0.23202321,-0.88621193
0.23302332,-0.8851913
0.2340234,-0.88418967
0.23502351,-0.88322496
0.2360236,-0.88211334
0.23702371,-0.8811672
0.23802382,-0.88035464
0.23902391,-0.879429
0.24002402,-0.87849677
0.2410241,-0.87755114
0.24202421,-0.8763601
0.2430243,-0.87538123
0.24402441,-0.8744916
0.24502452,-0.87365746
0.24602461,-0.8726747
0.24702471,-0.8716808
0.2480248,-0.8707252
0.24902491,-0.869836
0.250025,-0.86897564
0.2510251,-0.867969
0.25202522,-0.86719364
0.25302532,-0.8663888
0.2540254,-0.8653977
0.2550255,-0.8643392
0.2560256,-0.86341727
0.25702572,-0.8627692
0.25802583,-0.8617871
0.2590259,-0.86110926
0.260026,-0.86031544
0.2610261,-0.8594577
0.26202622,-0.85870785
0.26302633,-0.8578146
0.2640264,-0.85713655
0.2650265,-0.85597837
0.26602662,-0.8550553
0.26702672,-0.8545158
0.2680268,-0.85368556
