input_value,relevance
0.0,-2.6408458
0.0010001,-2.639493
0.0020002,-2.638068
0.0030003001,-2.6365244
0.0040004,-2.6351027
0.0050005,-2.6337113
0.0060006003,-2.6322827
0.0070007006,-2.630855
0.0080008,-2.6293855
0.0090009,-2.6280599
0.010001,-2.6266208
0.011001101,-2.6251552
0.012001201,-2.6237917
0.0130013,-2.6223698
0.014001401,-2.6209478
0.015001501,-2.6195407
0.0160016,-2.618113
0.017001702,-2.6166997
0.0180018,-2.6153374
0.019001901,-2.6138792
0.020002,-2.6125114
0.0210021,-2.611135
0.022002202,-2.6096926
0.0230023,-2.608326
0.024002401,-2.6068306
0.025002502,-2.605473
0.0260026,-2.604102
0.027002702,-2.6027288
0.028002802,-2.601273
0.029002901,-2.5998344
0.030003002,-2.5985436
0.0310031,-2.5970492
0.0320032,-2.5956695
0.0330033,-2.5943058
0.034003403,-2.592917
0.035003502,-2.5914943
0.0360036,-2.5901618
0.037003703,-2.5887861
0.038003802,-2.5873117
0.0390039,-2.5859475
0.040004,-2.584543
0.041004103,-2.5831332
0.0420042,-2.581831
0.0430043,-2.580418
0.044004403,-2.5789602
0.045004502,-2.577557
0.0460046,-2.5762467
0.047004703,-2.5748515
0.048004802,-2.5734692
0.0490049,-2.5720596
0.050005004,-2.5706315
0.051005103,-2.5693417
0.0520052,-2.5678716
0.053005304,-2.5665326
0.054005403,-2.5651557
0.055005502,-2.563774
0.056005605,-2.5623164
0.057005703,-2.560948
0.058005802,-2.5595708
0.0590059,-2.5581708
0.060006004,-2.5568275
0.061006103,-2.5553427
0.0620062,-2.554009
0.063006304,-2.5526614
0.0640064,-2.5512018
0.0650065,-2.549827
0.0660066,-2.5484266
0.0670067,-2.547024
0.068006806,-2.545609
0.069006905,-2.544221
0.070007004,-2.5428553
0.0710071,-2.5415387
0.0720072,-2.5400767
0.0730073,-2.5387301
0.07400741,-2.5372143
0.075007506,-2.5359464
0.076007605,-2.534582
0.0770077,-2.533134
0.0780078,-2.5316954
0.0790079,-2.5303845
0.080008,-2.528901
0.08100811,-2.527595
0.082008205,-2.5260625
0.083008304,-2.524774
0.0840084,-2.5233235
0.0850085,-2.5219154
0.0860086,-2.5205142
0.08700871,-2.519103
0.088008806,-2.5177386
0.089008905,-2.516327
0.090009004,-2.5148633
0.0910091,-2.5134823
0.0920092,-2.5120606
0.09300931,-2.510683
0.09400941,-2.509301
0.095009506,-2.507863
0.096009605,-2.5064254
0.0970097,-2.505091
0.0980098,-2.503636
0.0990099,-2.5021992
0.10001001,-2.5007346
0.10101011,-2.4993515
0.102010205,-2.4979682
0.103010304,-2.4965248
0.1040104,-2.4951172
0.1050105,-2.4937458
0.10601061,-2.492242
0.10701071,-2.4908776
0.108010806,-2.4894612
0.109010905,-2.4879754
0.110011004,-2.486687
0.1110111,-2.4851394
0.11201121,-2.4837837
0.11301131,-2.482274
0.11401141,-2.4808922
0.115011506,-2.479509
0.116011605,-2.477982
0.1170117,-2.4766114
0.1180118,-2.4751217
0.11901191,-2.4737186
0.12001201,-2.4723158
0.12101211,-2.4708133
0.122012205,-2.4693923
0.123012304,-2.4680321
0.1240124,-2.466549
0.1250125,-2.465186
0.12601261,-2.4637003
0.1270127,-2.4622579
0.1280128,-2.4607213
0.12901291,-2.45927
0.130013,-2.4578292
0.13101311,-2.4565015
0.1320132,-2.4549704
0.13301331,-2.4534242
0.1340134,-2.4520326
0.1350135,-2.4506047
0.13601361,-2.449113
0.1370137,-2.4477897
0.13801381,-2.4460917
0.1390139,-2.444689
0.14001401,-2.4432828
0.14101411,-2.441837
0.1420142,-2.4404454
0.14301431,-2.4388037
0.1440144,-2.4373941
0.14501451,-2.435863
0.1460146,-2.434476
0.1470147,-2.4329963
0.14801481,-2.4313781
0.1490149,-2.4300127
0.15001501,-2.4285085
0.1510151,-2.4270782
0.15201521,-2.425648
0.1530153,-2.4240522
0.1540154,-2.422554
0.15501551,-2.4210687
0.1560156,-2.4196038
0.15701571,-2.4181805
0.1580158,-2.416711
0.15901591,-2.4150639
0.160016,-2.413581
0.1610161,-2.4121673
0.16201621,-2.41067
0.1630163,-2.4091551
0.16401641,-2.4075375
0.1650165,-2.4061027
0.16601661,-2.4046106
0.16701671,-2.4031148
0.1680168,-2.4016771
0.16901691,-2.3999782
0.170017,-2.3984509
0.17101711,-2.3969958
0.1720172,-2.3954988
0.17301731,-2.3940408
0.17401741,-2.3923502
0.1750175,-2.3908873
0.17601761,-2.3893685
0.1770177,-2.3878756
0.17801781,-2.3863149
0.1790179,-2.3846993
0.18001801,-2.383168
0.18101811,-2.381677
0.1820182,-2.3801482
0.18301831,-2.3786402
0.1840184,-2.3771129
0.18501851,-2.3753822
0.18601862,-2.3739238
0.1870187,-2.3723922
0.18801881,-2.3708649
0.1890189,-2.3693743
0.19001901,-2.3676205
0.1910191,-2.3660805
0.19201921,-2.3645458
0.19301932,-2.3630638
0.1940194,-2.3615556
0.19501951,-2.3597982
0.1960196,-2.3582587
0.19701971,-2.356758
0.1980198,-2.3552418
0.19901991,-2.3536878
0.20002002,-2.3519678
0.2010201,-2.3504665
0.20202021,-2.3489094
0.2030203,-2.3473973
0.20402041,-2.3458266
0.20502052,-2.3441708
0.20602061,-2.342607
0.20702071,-2.3410988
0.2080208,-2.3395422
0.20902091,-2.338054
0.210021,-2.3365316
0.21102111,-2.334741
0.21202122,-2.3332572
0.21302131,-2.3317149
0.21402141,-2.330224
0.2150215,-2.3286839
0.21602161,-2.3269205
0.2170217,-2.3254366
0.21802181,-2.3238897
0.21902192,-2.322404
0.22002201,-2.3208542
0.22102211,-2.3190954
0.2220222,-2.3175907
0.22302231,-2.3160806
0.22402242,-2.314547
0.22502251,-2.3130198
0.22602262,-2.3112922
0.22702271,-2.3097267
0.22802281,-2.3081775
0.2290229,-2.306675
0.23002301,-2.3051312
0.23102312,-2.3033903
0.23202321,-2.3018937
0.23302332,-2.3003318
0.2340234,-2.298812
0.23502351,-2.2972443
0.2360236,-2.2955468
0.23702371,-2.2939618
0.23802382,-2.2924802
0.23902391,-2.2909188
0.24002402,-2.2894096
0.2410241,-2.2878408
0.24202421,-2.286133
0.2430243,-2.2846367
0.24402441,-2.2830675
0.24502452,-2.2815447
0.24602461,-2.2800553
0.24702471,-2.278298
0.2480248,-2.276762
0.24902491,-2.2752178
0.250025,-2.273721
0.2510251,-2.2721586
0.25202522,-2.270648
0.25302532,-2.269137
0.2540254,-2.2675796
0.2550255,-2.2656806
0.2560256,-2.2641592
0.25702572,-2.2626305
0.25802583,-2.261088
0.2590259,-2.2595742
0.260026,-2.2580872
0.2610261,-2.2565558
0.26202622,-2.255006
0.26302633,-2.25349
0.2640264,-2.2519941
0.2650265,-2.2500358
0.26602662,-2.2485497
0.26702672,-2.2470198
0.2680268,-2.245521
0.2690269,-2.2440197
0.270027,-2.2424507
0.27102712,-2.2409458
0.27202722,-2.2394314
0.2730273,-2.2379436
0.2740274,-2.2364187
0.2750275,-2.2345734
0.27602762,-2.23304
0.27702773,-2.2315536
0.2780278,-2.2300675
0.2790279,-2.228587
0.28002802,-2.227085
0.28102812,-2.2255561
0.28202823,-2.224087
0.2830283,-2.22263
0.2840284,-2.221117
0.28502852,-2.2196443
0.28602862,-2.2177882
0.2870287,-2.216329
0.2880288,-2.214895
0.2890289,-2.213449
0.29002902,-2.2119868
0.29102913,-2.2105484
0.2920292,-2.209135
0.2930293,-2.2077055
0.2940294,-2.2062912
0.29502952,-2.2048502
0.29602963,-2.203132
0.2970297,-2.201744
0.2980298,-2.2003589
0.29902992,-2.1989818
0.30003002,-2.1976004
0.30103013,-2.1962028
0.3020302,-2.1949196
0.3030303,-2.1935484
0.30403042,-2.192192
0.30503052,-2.1908538
0.3060306,-2.1891909
0.3070307,-2.1879086
0.3080308,-2.1866193
0.30903092,-2.1853228
0.31003103,-2.1841152
0.3110311,-2.1828616
0.3120312,-2.181588
0.31303132,-2.1802764
0.31403142,-2.1790664
0.31503153,-2.177844
0.3160316,-2.1766458
0.3170317,-2.1751714
0.31803182,-2.1739917
0.31903192,-2.172812
0.320032,-2.1717048
0.3210321,-2.170557
0.3220322,-2.169428
0.32303232,-2.1683264
0.32403243,-2.1672213
0.3250325,-2.1661084
0.3260326,-2.1650434
0.32703272,-2.1637025
0.32803282,-2.1626778
0.32903293,-2.1616464
0.330033,-2.1605773
0.3310331,-2.1595473
0.33203322,-2.1585402
0.33303332,-2.1575773
0.33403343,-2.15659
0.3350335,-2.1556158
0.3360336,-2.154645
0.33703372,-2.1536918
0.33803383,-2.1525257
0.3390339,-2.1516392
0.340034,-2.150737
0.3410341,-2.149798
0.34203422,-2.1489477
0.34303433,-2.1480405
0.3440344,-2.147134
0.3450345,-2.1463268
0.34603462,-2.145485
0.34703472,-2.14462
0.34803483,-2.1435554
0.3490349,-2.1427436
0.350035,-2.1418946
0.35103512,-2.1411114
0.35203522,-2.140328
0.35303533,-2.139544
0.3540354,-2.1387432
0.3550355,-2.1380248
0.35603562,-2.137275
0.35703573,-2.1364565
0.3580358,-2.135592
0.3590359,-2.1348312
0.36003602,-2.134118
0.36103612,-2.1333976
0.36203623,-2.1327074
0.3630363,-2.1319976
0.3640364,-2.1313279
0.36503652,-2.1306264
0.36603662,-2.129945
0.36703673,-2.1292803
0.3680368,-2.128646
0.3690369,-2.1278338
0.37003702,-2.1272016
0.37103713,-2.1265988
0.37203723,-2.1259646
0.3730373,-2.125358
0.3740374,-2.124738
0.37503752,-2.1241703
0.37603763,-2.1235375
0.3770377,-2.1229253
0.3780378,-2.122435
0.37903792,-2.121688
0.38003802,-2.1211395
0.38103813,-2.120565
0.3820382,-2.120033
0.3830383,-2.119524
0.38403842,-2.1189594
0.38503852,-2.1184638
0.38603863,-2.1179671
0.3870387,-2.117446
0.3880388,-2.1169252
0.38903892,-2.1163383
0.39003903,-2.1158557
0.39103913,-2.1153455
0.3920392,-2.1149158
0.39303932,-2.1144264
0.39403942,-2.1139946
0.39503953,-2.113515
0.3960396,-2.1130767
0.3970397,-2.1126518
0.39803982,-2.1122522
0.39903992,-2.1118407
0.40004003,-2.111343
0.4010401,-2.1108887
0.4020402,-2.1104794
0.40304032,-2.1100676
0.40404043,-2.1097279
0.40504053,-2.109291
0.4060406,-2.1089327
0.40704072,-2.1086695
0.40804082,-2.1082196
0.40904093,-2.1079051
0.41004103,-2.107463
0.4110411,-2.107098
0.41204122,-2.1067512
0.41304132,-2.1064732
0.41404143,-2.1061726
0.4150415,-2.1057944
0.4160416,-2.105463
0.41704172,-2.1052222
0.41804183,-2.1049023
0.41904193,-2.1046462
0.420042,-2.1043446
0.4210421,-2.104057
0.42204222,-2.1037533
0.42304233,-2.103534
0.42404243,-2.103253
0.4250425,-2.1029975
0.42604262,-2.102731
0.42704272,-2.1025908
0.42804283,-2.1022673
0.42904294,-2.1021304
0.430043,-2.1018221
0.43104312,-2.1016738
0.43204322,-2.1014965
0.43304333,-2.1012096
0.4340434,-2.1010542
0.4350435,-2.100899
0.43604362,-2.1007547
0.43704373,-2.1006074
0.43804383,-2.1003783
0.4390439,-2.1002464
0.44004402,-2.1000695
0.44104412,-2.0999594
0.44204423,-2.0998707
0.44304433,-2.0996757
0.4440444,-2.099584
0.44504452,-2.0994933
0.44604462,-2.0993786
0.44704473,-2.099219
0.44804484,-2.0991595
0.4490449,-2.099043
0.45004502,-2.099016
0.45104513,-2.098965
0.45204523,-2.0988839
0.4530453,-2.098861
0.45404541,-2.0987468
0.45504552,-2.0987873
0.45604563,-2.0986814
0.45704573,-2.0986676
0.4580458,-2.0986567
0.45904592,-2.0986414
0.46004602,-2.0985959
0.46104613,-2.0986845
0.46204624,-2.0986476
0.4630463,-2.098647
0.46404642,-2.0986674
0.46504653,-2.0987306
0.46604663,-2.0987618
0.4670467,-2.0987396
0.4680468,-2.098847
0.46904692,-2.0989099
0.47004703,-2.0990157
0.47104713,-2.0990458
0.4720472,-2.099123
0.47304732,-2.099183
0.47404742,-2.099421
0.47504753,-2.0994525
0.47604764,-2.0995276
0.4770477,-2.0996823
0.47804782,-2.0998316
0.47904792,-2.099963
0.48004803,-2.1001399
0.48104814,-2.100297
0.4820482,-2.1004148
0.48304832,-2.1005774
0.48404843,-2.100851
0.48504853,-2.1010058
0.4860486,-2.101232
0.48704872,-2.1013627
0.48804882,-2.1015503
0.48904893,-2.1017857
0.49004903,-2.1020672
0.4910491,-2.1023104
0.49204922,-2.102573
0.49304932,-2.1028368
0.49404943,-2.1031134
0.49504954,-2.1033528
0.4960496,-2.1036623
0.49704972,-2.1039348
0.49804983,-2.1042616
0.49904993,-2.1045506
0.50005,-2.1048977
0.5010501,-2.1052027
0.5020502,-2.1055818
0.5030503,-2.1059139
0.50405043,-2.1062088
0.50505054,-2.1065807
0.50605065,-2.1069894
0.50705075,-2.1073716
0.5080508,-2.1077433
0.5090509,-2.1083672
0.510051,-2.1087034
0.5110511,-2.10917
0.5120512,-2.1096344
0.51305133,-2.1100717
0.51405144,-2.1105137
0.51505154,-2.1109796
0.51605165,-2.1114836
0.5170517,-2.111961
0.5180518,-2.112471
0.5190519,-2.112941
0.520052,-2.1134372
0.5210521,-2.1139505
0.5220522,-2.114472
0.52305233,-2.115016
0.52405244,-2.1156278
0.52505255,-2.1161976
0.52605265,-2.1168053
0.5270527,-2.1174068
0.5280528,-2.1180487
0.5290529,-2.1189961
0.530053,-2.1195679
0.5310531,-2.1202233
0.53205323,-2.121001
0.53305334,-2.1216772
0.53405344,-2.1223211
0.53505355,-2.12298
0.5360536,-2.1237674
0.5370537,-2.1245008
0.5380538,-2.1252635
0.5390539,-2.125964
0.540054,-2.1267729
0.5410541,-2.1275544
0.54205424,-2.128385
0.54305434,-2.1292467
