input_value,relevance
0.0,-0.9805563
0.0010001,-0.9793879
0.0020002,-0.97824806
0.0030003001,-0.97707635
0.0040004,-0.97588927
0.0050005,-0.9746571
0.0060006003,-0.97356725
0.0070007006,-0.97232217
0.0080008,-0.9712555
0.0090009,-0.9699908
0.010001,-0.9688625
0.011001101,-0.96781075
0.012001201,-0.96655875
0.0130013,-0.9653988
0.014001401,-0.96432316
0.015001501,-0.96316165
0.0160016,-0.96199816
0.017001702,-0.9608676
0.0180018,-0.9597816
0.019001901,-0.95864034
0.020002,-0.95741177
0.0210021,-0.9563593
0.022002202,-0.955191
0.0230023,-0.9540688
0.024002401,-0.9529377
0.025002502,-0.9518588
0.0260026,-0.95076215
0.027002702,-0.9495769
0.028002802,-0.9484637
0.029002901,-0.94735426
0.030003002,-0.9462382
0.0310031,-0.94506556
0.0320032,-0.94408697
0.0330033,-0.94293535
0.034003403,-0.9418431
0.035003502,-0.94077516
0.0360036,-0.93965465
0.037003703,-0.9386055
0.038003802,-0.9374707
0.0390039,-0.9364471
0.040004,-0.93530315
0.041004103,-0.934168
0.0420042,-0.93319994
0.0430043,-0.9320716
0.044004403,-0.9310425
0.045004502,-0.929913
0.0460046,-0.9288985
0.047004703,-0.9277863
0.048004802,-0.9267547
0.0490049,-0.92567545
0.050005004,-0.92466813
0.051005103,-0.923599
0.0520052,-0.92251235
0.053005304,-0.92146605
0.054005403,-0.9204193
0.055005502,-0.91940856
0.056005605,-0.91831434
0.057005703,-0.9172984
0.058005802,-0.91617256
0.0590059,-0.9152127
0.060006004,-0.9141657
0.061006103,-0.91311675
0.0620062,-0.912046
0.063006304,-0.91104966
0.0640064,-0.9099998
0.0650065,-0.9089702
0.0660066,-0.9080264
0.0670067,-0.9068995
0.068006806,-0.9059743
0.069006905,-0.9048341
0.070007004,-0.90391725
0.0710071,-0.9028556
0.0720072,-0.90185386
0.0730073,-0.90085304
0.07400741,-0.8998063
0.075007506,-0.8988208
0.076007605,-0.89781666
0.0770077,-0.8968157
0.0780078,-0.89579123
0.0790079,-0.8947913
0.080008,-0.89378744
0.08100811,-0.8928198
0.082008205,-0.89175874
0.083008304,-0.890791
0.0840084,-0.88982505
0.0850085,-0.8887475
0.0860086,-0.8877837
0.08700871,-0.88682514
0.088008806,-0.8858666
0.089008905,-0.88483924
0.090009004,-0.8838933
0.0910091,-0.8828936
0.0920092,-0.88186157
0.09300931,-0.8809437
0.09400941,-0.8800056
0.095009506,-0.8789746
0.096009605,-0.8780339
0.0970097,-0.87709814
0.0980098,-0.87611264
0.0990099,-0.8751209
0.10001001,-0.8741628
0.10101011,-0.8732503
0.102010205,-0.8722926
0.103010304,-0.8713327
0.1040104,-0.87043107
0.1050105,-0.86945003
0.10601061,-0.86850876
0.10701071,-0.8676271
0.108010806,-0.8666769
0.109010905,-0.8657349
0.110011004,-0.86479485
0.1110111,-0.8638684
0.11201121,-0.8629846
0.11301131,-0.86204314
0.11401141,-0.8611304
0.115011506,-0.8602552
0.116011605,-0.85928804
0.1170117,-0.8584319
0.1180118,-0.85748404
0.11901191,-0.85659724
0.12001201,-0.85572064
0.12101211,-0.8547955
0.122012205,-0.85391694
0.123012304,-0.85307187
0.1240124,-0.8521284
0.1250125,-0.8512835
0.12601261,-0.850432
0.1270127,-0.84958893
0.1280128,-0.84860796
0.12901291,-0.8477376
0.130013,-0.84688854
0.13101311,-0.84606427
0.1320132,-0.84515333
0.13301331,-0.84423965
0.1340134,-0.8434157
0.1350135,-0.8425624
0.13601361,-0.8417493
0.1370137,-0.8409049
0.13801381,-0.8399883
0.1390139,-0.839156
0.14001401,-0.8383182
0.14101411,-0.83750945
0.1420142,-0.83667725
0.14301431,-0.8357633
0.1440144,-0.834946
0.14501451,-0.8341457
0.1460146,-0.83330446
0.1470147,-0.8325107
0.14801481,-0.8316234
0.1490149,-0.830846
0.15001501,-0.8299828
0.1510151,-0.8292108
0.15201521,-0.8283924
0.1530153,-0.82751673
0.1540154,-0.8266824
0.15501551,-0.82589245
0.1560156,-0.8251118
0.15701571,-0.8243479
0.1580158,-0.8235507
0.15901591,-0.8226926
0.160016,-0.8218556
0.1610161,-0.8210942
0.16201621,-0.82031846
0.1630163,-0.81955224
0.16401641,-0.8186617
0.1650165,-0.81791
0.16601661,-0.8170628
0.16701671,-0.8163901
0.1680168,-0.8155772
0.16901691,-0.8147488
0.170017,-0.8139502
0.17101711,-0.81316954
0.1720172,-0.81241524
0.17301731,-0.81166345
0.17401741,-0.8108172
0.1750175,-0.8100712
0.17601761,-0.809279
0.1770177,-0.808541
0.17801781,-0.80780137
0.1790179,-0.8069369
0.18001801,-0.80620176
0.18101811,-0.805482
0.1820182,-0.8046675
0.18301831,-0.8039466
0.1840184,-0.80313927
0.18501851,-0.8023879
0.18601862,-0.8016611
0.1870187,-0.8008837
0.18801881,-0.8001347
0.1890189,-0.7993921
0.19001901,-0.7985935
0.1910191,-0.79783016
0.19201921,-0.7971023
0.19301932,-0.79639846
0.1940194,-0.79567
0.19501951,-0.7948311
0.1960196,-0.79411614
0.19701971,-0.7934179
0.1980198,-0.7926597
0.19901991,-0.7919404
0.20002002,-0.7910927
0.2010201,-0.7904006
0.20202021,-0.7896582
0.2030203,-0.7889276
0.20402041,-0.7882257
0.20502052,-0.78742146
0.20602061,-0.78668946
0.20702071,-0.7859953
0.2080208,-0.7852773
0.20902091,-0.784559
0.210021,-0.78380585
0.21102111,-0.7830348
0.21202122,-0.78233165
0.21302131,-0.78160816
0.21402141,-0.7809091
0.2150215,-0.78017443
0.21602161,-0.7793631
0.2170217,-0.7786931
0.21802181,-0.7779695
0.21902192,-0.77725583
0.22002201,-0.7765429
0.22102211,-0.77574456
0.2220222,-0.77506334
0.22302231,-0.7743587
0.22402242,-0.77365947
0.22502251,-0.7729474
0.22602262,-0.7721489
0.22702271,-0.7714779
0.22802281,-0.77081716
0.2290229,-0.7700998
0.23002301,-0.76942253
0.23102312,-0.7686392
0.23202321,-0.7678913
0.23302332,-0.767208
0.2340234,-0.7665155
0.23502351,-0.76585746
0.2360236,-0.7650497
0.23702371,-0.7643967
0.23802382,-0.76370496
0.23902391,-0.76298255
0.24002402,-0.762283
0.2410241,-0.7616022
0.24202421,-0.7608606
0.2430243,-0.7601914
0.24402441,-0.7594749
0.24502452,-0.75883156
0.24602461,-0.7581361
0.24702471,-0.7573585
0.2480248,-0.7567073
0.24902491,-0.7559959
0.250025,-0.75534075
0.2510251,-0.7546702
0.25202522,-0.7539533
0.25302532,-0.75330347
0.2540254,-0.75264317
0.2550255,-0.75178176
0.2560256,-0.75116676
0.25702572,-0.7504733
0.25802583,-0.7497873
0.2590259,-0.7491271
0.260026,-0.7484606
0.2610261,-0.7477899
0.26202622,-0.7471218
0.26302633,-0.7464393
0.2640264,-0.7457805
0.2650265,-0.744976
0.26602662,-0.7442814
0.26702672,-0.7436701
0.2680268,-0.7429625
0.2690269,-0.74234354
0.270027,-0.74164385
0.27102712,-0.74103695
0.27202722,-0.7403545
0.2730273,-0.73968977
0.2740274,-0.7390515
0.2750275,-0.7382159
0.27602762,-0.73755413
0.27702773,-0.7368995
0.2780278,-0.7362743
0.2790279,-0.7356014
0.28002802,-0.7349561
0.28102812,-0.7342675
0.28202823,-0.7336692
0.2830283,-0.73298943
0.2840284,-0.7323281
0.28502852,-0.7317259
0.28602862,-0.7308968
0.2870287,-0.7302259
0.2880288,-0.7296155
0.2890289,-0.7289245
0.29002902,-0.7283257
0.29102913,-0.7276841
0.2920292,-0.7270387
0.2930293,-0.72639215
0.2940294,-0.7257912
0.29502952,-0.725081
0.29602963,-0.72434324
0.2970297,-0.723726
0.2980298,-0.7230151
0.29902992,-0.72239023
0.30003002,-0.7217956
