input_value,relevance
0.0,-1.342349
0.0010001,-1.3414749
0.0020002,-1.3405484
0.0030003001,-1.3396286
0.0040004,-1.3387474
0.0050005,-1.3377465
0.0060006003,-1.3369132
0.0070007006,-1.3360304
0.0080008,-1.3350786
0.0090009,-1.3342022
0.010001,-1.3332702
0.011001101,-1.3324018
0.012001201,-1.3314782
0.0130013,-1.3305618
0.014001401,-1.3296555
0.015001501,-1.3288044
0.0160016,-1.3279403
0.017001702,-1.3270828
0.0180018,-1.3260118
0.019001901,-1.3252511
0.020002,-1.3244022
0.0210021,-1.3234545
0.022002202,-1.322544
0.0230023,-1.3216888
0.024002401,-1.3207754
0.025002502,-1.319949
0.0260026,-1.3189985
0.027002702,-1.3181709
0.028002802,-1.3172235
0.029002901,-1.3163513
0.030003002,-1.3154233
0.0310031,-1.3145708
0.0320032,-1.3136741
0.0330033,-1.3128277
0.034003403,-1.3119258
0.035003502,-1.3110291
0.0360036,-1.3101352
0.037003703,-1.309177
0.038003802,-1.3084242
0.0390039,-1.3075217
0.040004,-1.3066314
0.041004103,-1.3057445
0.0420042,-1.3048683
0.0430043,-1.3039922
0.044004403,-1.3031386
0.045004502,-1.3022366
0.0460046,-1.3013631
0.047004703,-1.3005881
0.048004802,-1.2996521
0.0490049,-1.2987545
0.050005004,-1.2979623
0.051005103,-1.2970791
0.0520052,-1.2962564
0.053005304,-1.2953619
0.054005403,-1.2944934
0.055005502,-1.2936794
0.056005605,-1.2928767
0.057005703,-1.2919813
0.058005802,-1.2911264
0.0590059,-1.2903078
0.060006004,-1.2894908
0.061006103,-1.2886714
0.0620062,-1.2878183
0.063006304,-1.2869972
0.0640064,-1.2861413
0.0650065,-1.2853577
0.0660066,-1.2845343
0.0670067,-1.2836964
0.068006806,-1.2828649
0.069006905,-1.2819791
0.070007004,-1.2812597
0.0710071,-1.2804283
0.0720072,-1.2796048
0.0730073,-1.2788303
0.07400741,-1.277994
0.075007506,-1.2771921
0.076007605,-1.2764161
0.0770077,-1.2755673
0.0780078,-1.2748188
0.0790079,-1.2739811
0.080008,-1.2731953
0.08100811,-1.2724266
0.082008205,-1.2716541
0.083008304,-1.2708849
0.0840084,-1.2700862
0.0850085,-1.2692307
0.0860086,-1.2685002
0.08700871,-1.2676698
0.088008806,-1.2669626
0.089008905,-1.2661939
0.090009004,-1.2653674
0.0910091,-1.2646441
0.0920092,-1.2639364
0.09300931,-1.2631434
0.09400941,-1.2623245
0.095009506,-1.2616032
0.096009605,-1.2608186
0.0970097,-1.2601703
0.0980098,-1.2593333
0.0990099,-1.2585999
0.10001001,-1.2578106
0.10101011,-1.2570893
0.102010205,-1.2563545
0.103010304,-1.2555691
0.1040104,-1.2548729
0.1050105,-1.2541047
0.10601061,-1.2533188
