input_value,relevance
0.0,-3.0820186
0.0010001,-3.0853584
0.0020002,-3.089661
0.0030003001,-3.09316
0.0040004,-3.097327
0.0050005,-3.101001
0.0060006003,-3.1047404
0.0070007006,-3.1082923
0.0080008,-3.1121523
0.0090009,-3.1154292
0.010001,-3.1191647
0.011001101,-3.122537
0.012001201,-3.1262486
0.0130013,-3.1294992
0.014001401,-3.1330178
0.015001501,-3.13648
0.0160016,-3.1398017
0.017001702,-3.1431696
0.0180018,-3.1467798
0.019001901,-3.1494477
0.020002,-3.1529353
0.0210021,-3.1563327
0.022002202,-3.1587527
0.0230023,-3.1623738
0.024002401,-3.1653135
0.025002502,-3.1684177
0.0260026,-3.1716487
0.027002702,-3.1745608
0.028002802,-3.1775095
0.029002901,-3.1805484
0.030003002,-3.1833608
0.0310031,-3.186402
0.0320032,-3.1889331
0.0330033,-3.1920469
0.034003403,-3.1945474
0.035003502,-3.197214
0.0360036,-3.2003925
0.037003703,-3.2031195
0.038003802,-3.2057855
0.0390039,-3.2082984
0.040004,-3.2105162
0.041004103,-3.2132971
0.0420042,-3.2159555
0.0430043,-3.2187421
0.044004403,-3.2211263
0.045004502,-3.2230713
0.0460046,-3.2261975
0.047004703,-3.2281783
0.048004802,-3.231013
0.0490049,-3.2329504
0.050005004,-3.2357223
0.051005103,-3.237922
0.0520052,-3.2402256
0.053005304,-3.2426383
0.054005403,-3.2447846
0.055005502,-3.2469633
0.056005605,-3.2495348
0.057005703,-3.2510636
0.058005802,-3.2538083
0.0590059,-3.2554796
0.060006004,-3.25797
0.061006103,-3.2596614
0.0620062,-3.2615793
0.063006304,-3.2640264
0.0640064,-3.2658708
0.0650065,-3.2678654
0.0660066,-3.2697718
0.0670067,-3.2716253
0.068006806,-3.2736003
0.069006905,-3.2756193
0.070007004,-3.2775004
0.0710071,-3.2791731
0.0720072,-3.2813404
0.0730073,-3.2830474
0.07400741,-3.2848022
0.075007506,-3.286575
0.076007605,-3.2880218
0.0770077,-3.2902324
0.0780078,-3.291602
0.0790079,-3.2932928
0.080008,-3.2949393
0.08100811,-3.296264
0.082008205,-3.2982748
0.083008304,-3.2997186
0.0840084,-3.3014395
0.0850085,-3.3026135
0.0860086,-3.3042161
0.08700871,-3.3056662
0.088008806,-3.3071887
0.089008905,-3.3088224
0.090009004,-3.3102872
0.0910091,-3.311498
0.0920092,-3.3129814
0.09300931,-3.3142154
0.09400941,-3.3158262
0.095009506,-3.316919
0.096009605,-3.3185408
0.0970097,-3.3194625
0.0980098,-3.320945
0.0990099,-3.3220665
0.10001001,-3.323075
0.10101011,-3.3245509
0.102010205,-3.3257282
0.103010304,-3.3269145
0.1040104,-3.3279946
0.1050105,-3.3289783
0.10601061,-3.3303015
0.10701071,-3.331239
0.108010806,-3.3322875
0.109010905,-3.3334973
0.110011004,-3.3343408
0.1110111,-3.3355653
0.11201121,-3.336582
0.11301131,-3.3375084
0.11401141,-3.338507
0.115011506,-3.3393204
0.116011605,-3.340459
0.1170117,-3.3412569
0.1180118,-3.3423903
0.11901191,-3.3432863
0.12001201,-3.3437917
0.12101211,-3.3448856
0.122012205,-3.345629
0.123012304,-3.3467453
0.1240124,-3.347273
0.1250125,-3.3479607
0.12601261,-3.3489468
0.1270127,-3.3494012
0.1280128,-3.3504908
0.12901291,-3.3510802
0.130013,-3.3514926
0.13101311,-3.352577
0.1320132,-3.3529742
0.13301331,-3.3540585
0.1340134,-3.3544
0.1350135,-3.355222
0.13601361,-3.3559477
0.1370137,-3.3564193
0.13801381,-3.3571851
0.1390139,-3.3575785
0.14001401,-3.3581765
0.14101411,-3.3585312
0.1420142,-3.3591902
0.14301431,-3.3597171
0.1440144,-3.3603795
0.14501451,-3.3605525
0.1460146,-3.3613346
0.1470147,-3.3617566
0.14801481,-3.3623803
0.1490149,-3.362673
0.15001501,-3.3628638
0.1510151,-3.3634317
0.15201521,-3.3637664
0.1530153,-3.3643978
0.1540154,-3.3645823
0.15501551,-3.3650558
0.1560156,-3.3650825
0.15701571,-3.3658693
0.1580158,-3.3659494
0.15901591,-3.366411
0.160016,-3.3666394
0.1610161,-3.367242
0.16201621,-3.3671858
0.1630163,-3.3676078
0.16401641,-3.3677413
0.1650165,-3.368004
0.16601661,-3.368366
0.16701671,-3.3684328
0.1680168,-3.3688653
0.16901691,-3.3688395
0.170017,-3.36915
0.17101711,-3.369106
0.1720172,-3.3694031
0.17301731,-3.3694708
0.17401741,-3.369921
0.1750175,-3.3699677
0.17601761,-3.370165
0.1770177,-3.3702028
0.17801781,-3.3703043
0.1790179,-3.370476
0.18001801,-3.3704178
0.18101811,-3.3707612
0.1820182,-3.3706305
0.18301831,-3.370921
0.1840184,-3.3709648
0.18501851,-3.370962
0.18601862,-3.3710687
0.1870187,-3.3712165
0.18801881,-3.371167
0.1890189,-3.371431
0.19001901,-3.3711898
0.1910191,-3.3716204
0.19201921,-3.3711803
0.19301932,-3.3715198
0.1940194,-3.371299
0.19501951,-3.3714097
0.1960196,-3.3714201
0.19701971,-3.3714411
0.1980198,-3.3714745
0.19901991,-3.3713553
0.20002002,-3.3711889
0.2010201,-3.3712533
0.20202021,-3.371185
0.2030203,-3.3713443
0.20402041,-3.3712556
