input_value,relevance
0.0,-3.9760158
0.0010001,-3.976567
0.0020002,-3.976972
0.0030003001,-3.9776223
0.0040004,-3.9781134
0.0050005,-3.978732
0.0060006003,-3.9793358
0.0070007006,-3.979791
0.0080008,-3.9804528
0.0090009,-3.9809253
0.010001,-3.9815538
0.011001101,-3.9820287
0.012001201,-3.9824235
0.0130013,-3.9830806
0.014001401,-3.9833472
0.015001501,-3.9840205
0.0160016,-3.9843528
0.017001702,-3.9849317
0.0180018,-3.9855132
0.019001901,-3.9858706
0.020002,-3.9865127
0.0210021,-3.9867864
0.022002202,-3.9873106
0.0230023,-3.9879096
0.024002401,-3.988263
0.025002502,-3.9887884
0.0260026,-3.9891994
0.027002702,-3.9897392
0.028002802,-3.9901903
0.029002901,-3.9906898
0.030003002,-3.9910789
0.0310031,-3.9916117
0.0320032,-3.9918356
0.0330033,-3.992356
0.034003403,-3.99276
0.035003502,-3.9931195
0.0360036,-3.9934852
0.037003703,-3.993942
0.038003802,-3.9942398
0.0390039,-3.9948537
0.040004,-3.9951854
0.041004103,-3.9956162
0.0420042,-3.9960077
0.0430043,-3.9965367
0.044004403,-3.9967752
0.045004502,-3.9974105
0.0460046,-3.9975784
0.047004703,-3.9980428
0.048004802,-3.9984221
0.0490049,-3.9986908
0.050005004,-3.9991534
0.051005103,-3.9996274
0.0520052,-3.9998016
0.053005304,-4.000434
0.054005403,-4.0005765
0.055005502,-4.0010495
0.056005605,-4.001165
0.057005703,-4.001539
0.058005802,-4.001936
0.0590059,-4.002189
0.060006004,-4.00276
0.061006103,-4.0029855
0.0620062,-4.0033865
0.063006304,-4.0036306
0.0640064,-4.004116
0.0650065,-4.004375
0.0660066,-4.004745
0.0670067,-4.0048356
0.068006806,-4.005328
0.069006905,-4.0055976
0.070007004,-4.005926
0.0710071,-4.006183
0.0720072,-4.006454
0.0730073,-4.006729
0.07400741,-4.0069814
0.075007506,-4.007407
0.076007605,-4.007606
0.0770077,-4.00769
0.0780078,-4.0082035
0.0790079,-4.0082936
0.080008,-4.0087757
0.08100811,-4.0088325
0.082008205,-4.00924
0.083008304,-4.009507
0.0840084,-4.00966
0.0850085,-4.0099354
0.0860086,-4.0103097
0.08700871,-4.010502
0.088008806,-4.010689
0.089008905,-4.0108724
0.090009004,-4.011135
0.0910091,-4.011453
0.0920092,-4.0115113
0.09300931,-4.0118027
0.09400941,-4.0120926
0.095009506,-4.0123262
0.096009605,-4.0125003
0.0970097,-4.0127892
0.0980098,-4.013022
0.0990099,-4.0131054
0.10001001,-4.013377
0.10101011,-4.0135465
0.102010205,-4.0138164
0.103010304,-4.0138874
0.1040104,-4.014041
0.1050105,-4.01444
0.10601061,-4.0146956
0.10701071,-4.0148373
0.108010806,-4.015079
0.109010905,-4.014993
0.110011004,-4.0152607
0.1110111,-4.0154867
0.11201121,-4.015675
0.11301131,-4.0157337
0.11401141,-4.0159125
0.115011506,-4.016215
0.116011605,-4.0163097
0.1170117,-4.0166078
0.1180118,-4.0167017
0.11901191,-4.0168285
0.12001201,-4.0169144
0.12101211,-4.016935
0.122012205,-4.017128
0.123012304,-4.017202
0.1240124,-4.017476
0.1250125,-4.0176992
0.12601261,-4.017825
0.1270127,-4.0180216
0.1280128,-4.017957
0.12901291,-4.01819
0.130013,-4.0182915
0.13101311,-4.018275
0.1320132,-4.018405
0.13301331,-4.018556
0.1340134,-4.018698
0.1350135,-4.0188346
0.13601361,-4.0189524
0.1370137,-4.019049
0.13801381,-4.0191216
0.1390139,-4.019205
0.14001401,-4.019297
0.14101411,-4.01917
0.1420142,-4.019251
0.14301431,-4.019447
0.1440144,-4.019441
0.14501451,-4.019659
0.1460146,-4.019787
0.1470147,-4.0198593
0.14801481,-4.0198283
0.1490149,-4.0198526
0.15001501,-4.0202
0.1510151,-4.0201163
0.15201521,-4.020214
0.1530153,-4.0202494
0.1540154,-4.0201797
0.15501551,-4.020329
0.1560156,-4.020262
0.15701571,-4.0205026
0.1580158,-4.0205073
0.15901591,-4.0203395
0.160016,-4.0205255
0.1610161,-4.0205064
0.16201621,-4.020645
0.1630163,-4.020574
0.16401641,-4.020425
0.1650165,-4.0208125
0.16601661,-4.0206723
0.16701671,-4.0207973
0.1680168,-4.020783
0.16901691,-4.020733
0.170017,-4.0208607
0.17101711,-4.0208335
0.1720172,-4.020917
0.17301731,-4.020653
0.17401741,-4.020831
0.1750175,-4.020801
0.17601761,-4.0208054
0.1770177,-4.020868
0.17801781,-4.0207143
0.1790179,-4.020868
0.18001801,-4.020787
0.18101811,-4.020754
0.1820182,-4.020782
0.18301831,-4.0208187
0.1840184,-4.0205455
0.18501851,-4.020711
0.18601862,-4.0206957
0.1870187,-4.0206847
0.18801881,-4.0207744
0.1890189,-4.020733
0.19001901,-4.0208516
0.1910191,-4.0208216
0.19201921,-4.0207233
0.19301932,-4.020767
0.1940194,-4.020385
0.19501951,-4.0204844
0.1960196,-4.0204616
0.19701971,-4.0204773
0.1980198,-4.0204678
0.19901991,-4.0203943
0.20002002,-4.0204144
0.2010201,-4.020348
0.20202021,-4.020443
0.2030203,-4.0204277
0.20402041,-4.020467
0.20502052,-4.0203934
0.20602061,-4.0202518
0.20702071,-4.020465
0.2080208,-4.0203147
0.20902091,-4.0204053
0.210021,-4.020434
0.21102111,-4.0202494
0.21202122,-4.0204015
0.21302131,-4.0203414
0.21402141,-4.0202684
0.2150215,-4.0203896
0.21602161,-4.020186
0.2170217,-4.020142
0.21802181,-4.0201025
0.21902192,-4.0201283
