input_value,relevance
0.0,-2.6645758
0.0010001,-2.6672928
0.0020002,-2.6707351
0.0030003001,-2.6737986
0.0040004,-2.6768887
0.0050005,-2.680077
0.0060006003,-2.6828544
0.0070007006,-2.6861212
0.0080008,-2.6885397
0.0090009,-2.6914327
0.010001,-2.6943133
0.011001101,-2.6974654
0.012001201,-2.6998947
0.0130013,-2.7026455
0.014001401,-2.706008
0.015001501,-2.708353
0.0160016,-2.7109096
0.017001702,-2.7136147
0.0180018,-2.716712
0.019001901,-2.7189674
0.020002,-2.7218451
0.0210021,-2.7244475
0.022002202,-2.7270381
0.0230023,-2.7293556
0.024002401,-2.7322683
0.025002502,-2.7345796
0.0260026,-2.7367258
0.027002702,-2.7392786
0.028002802,-2.7416773
0.029002901,-2.7446115
0.030003002,-2.746496
0.0310031,-2.7490594
0.0320032,-2.751319
0.0330033,-2.7536404
0.034003403,-2.7557461
0.035003502,-2.7582605
0.0360036,-2.7604012
0.037003703,-2.7623594
0.038003802,-2.7648904
0.0390039,-2.7669208
0.040004,-2.769124
0.041004103,-2.7712328
0.0420042,-2.773349
0.0430043,-2.7754867
0.044004403,-2.777631
0.045004502,-2.7797606
0.0460046,-2.781872
0.047004703,-2.7836607
0.048004802,-2.7856982
0.0490049,-2.7878964
0.050005004,-2.789861
0.051005103,-2.7914073
0.0520052,-2.7933803
0.053005304,-2.7954924
0.054005403,-2.7971222
0.055005502,-2.7990487
0.056005605,-2.8008945
0.057005703,-2.802733
0.058005802,-2.8046472
0.0590059,-2.8063097
0.060006004,-2.8079374
0.061006103,-2.8098466
0.0620062,-2.8112879
0.063006304,-2.8130014
0.0640064,-2.814854
0.0650065,-2.8164184
0.0660066,-2.8177648
0.0670067,-2.8197412
0.068006806,-2.8210745
0.069006905,-2.8226492
0.070007004,-2.8243403
0.0710071,-2.8259118
0.0720072,-2.827286
0.0730073,-2.8288538
0.07400741,-2.8302846
0.075007506,-2.8316357
0.076007605,-2.833227
0.0770077,-2.834723
0.0780078,-2.8362792
0.0790079,-2.8375146
0.080008,-2.8389273
0.08100811,-2.8400335
0.082008205,-2.841665
0.083008304,-2.8426874
0.0840084,-2.8441093
0.0850085,-2.8453815
0.0860086,-2.846618
0.08700871,-2.8478577
0.088008806,-2.8490474
0.089008905,-2.850246
0.090009004,-2.8515475
0.0910091,-2.8526466
0.0920092,-2.8536355
0.09300931,-2.8550532
0.09400941,-2.8558629
0.095009506,-2.8569958
0.096009605,-2.8581808
0.0970097,-2.8592532
0.0980098,-2.8602195
0.0990099,-2.8613245
0.10001001,-2.8624907
0.10101011,-2.8633645
0.102010205,-2.864295
0.103010304,-2.8653824
0.1040104,-2.8662102
0.1050105,-2.8673427
0.10601061,-2.8681107
0.10701071,-2.8692548
0.108010806,-2.86999
0.109010905,-2.8710034
0.110011004,-2.8715286
0.1110111,-2.8725553
0.11201121,-2.8733037
0.11301131,-2.874204
0.11401141,-2.8750966
0.115011506,-2.8760893
0.116011605,-2.876685
0.1170117,-2.8775127
0.1180118,-2.8780506
0.11901191,-2.8786738
0.12001201,-2.8795488
0.12101211,-2.880357
0.122012205,-2.8809986
0.123012304,-2.8816817
0.1240124,-2.882334
0.1250125,-2.8830914
0.12601261,-2.8834968
0.1270127,-2.8842294
0.1280128,-2.8850548
0.12901291,-2.8856654
0.130013,-2.8858883
0.13101311,-2.8867116
0.1320132,-2.887131
0.13301331,-2.8874953
0.1340134,-2.8881457
0.1350135,-2.8887231
0.13601361,-2.8892653
0.1370137,-2.889715
0.13801381,-2.8901374
0.1390139,-2.8904338
0.14001401,-2.8911083
0.14101411,-2.8913739
0.1420142,-2.8919184
0.14301431,-2.892508
0.1440144,-2.8926363
0.14501451,-2.8932087
0.1460146,-2.8935196
0.1470147,-2.893925
0.14801481,-2.8941767
0.1490149,-2.894617
0.15001501,-2.8949463
0.1510151,-2.8950431
0.15201521,-2.8954175
0.1530153,-2.8958285
0.1540154,-2.8961685
0.15501551,-2.8962638
0.1560156,-2.8965037
0.15701571,-2.8967705
0.1580158,-2.8969796
0.15901591,-2.8971894
0.160016,-2.8974507
0.1610161,-2.8977082
0.16201621,-2.8976712
0.1630163,-2.897982
0.16401641,-2.8981242
0.1650165,-2.898374
0.16601661,-2.898259
0.16701671,-2.8987024
0.1680168,-2.898591
0.16901691,-2.8987772
0.170017,-2.8988092
0.17101711,-2.898991
0.1720172,-2.8991897
0.17301731,-2.8991814
0.17401741,-2.899147
0.1750175,-2.8993628
0.17601761,-2.899177
0.1770177,-2.899263
0.17801781,-2.8992412
0.1790179,-2.899347
0.18001801,-2.8991797
0.18101811,-2.8992414
0.1820182,-2.899361
0.18301831,-2.8992786
0.1840184,-2.8991807
0.18501851,-2.8990533
0.18601862,-2.8991296
0.1870187,-2.8989694
0.18801881,-2.8989613
0.1890189,-2.898754
0.19001901,-2.8987186
0.1910191,-2.8985674
0.19201921,-2.8984358
0.19301932,-2.8983705
0.1940194,-2.8983006
0.19501951,-2.8979774
0.1960196,-2.8980439
0.19701971,-2.897855
0.1980198,-2.8976307
0.19901991,-2.8975255
0.20002002,-2.8972576
0.2010201,-2.8970168
0.20202021,-2.8969133
0.2030203,-2.8967168
0.20402041,-2.896513
0.20502052,-2.896385
0.20602061,-2.8960807
0.20702071,-2.8959892
0.2080208,-2.8956664
0.20902091,-2.8955748
0.210021,-2.8952243
0.21102111,-2.8951495
0.21202122,-2.8946645
0.21302131,-2.894535
0.21402141,-2.8941987
0.2150215,-2.8940923
0.21602161,-2.8936303
0.2170217,-2.8934875
0.21802181,-2.8932314
0.21902192,-2.8929632
0.22002201,-2.892773
0.22102211,-2.892166
0.2220222,-2.8920972
0.22302231,-2.891641
0.22402242,-2.8914056
0.22502251,-2.8910484
0.22602262,-2.8905172
0.22702271,-2.890369
0.22802281,-2.8900592
0.2290229,-2.8897316
0.23002301,-2.8893602
0.23102312,-2.888898
0.23202321,-2.8886352
0.23302332,-2.8883727
0.2340234,-2.8878913
0.23502351,-2.8876824
0.2360236,-2.8871386
0.23702371,-2.886792
0.23802382,-2.886274
0.23902391,-2.886021
0.24002402,-2.8855755
0.2410241,-2.885227
0.24202421,-2.8845859
0.2430243,-2.8843875
0.24402441,-2.8838224
0.24502452,-2.883638
0.24602461,-2.883234
0.24702471,-2.882684
0.2480248,-2.8820114
0.24902491,-2.8816483
0.250025,-2.881336
0.2510251,-2.8808246
0.25202522,-2.880496
0.25302532,-2.8798711
0.2540254,-2.8795707
0.2550255,-2.8790653
0.2560256,-2.8784034
0.25702572,-2.877968
0.25802583,-2.8775692
0.2590259,-2.8770516
0.260026,-2.8765013
0.2610261,-2.8761876
0.26202622,-2.8756173
0.26302633,-2.8751204
0.2640264,-2.8747785
0.2650265,-2.8740933
0.26602662,-2.8736155
0.26702672,-2.8730588
0.2680268,-2.872631
0.2690269,-2.8719928
0.270027,-2.8716185
0.27102712,-2.8709185
0.27202722,-2.8704777
0.2730273,-2.8696826
0.2740274,-2.869406
0.2750275,-2.8687851
0.27602762,-2.8681097
0.27702773,-2.8676143
0.2780278,-2.8669724
0.2790279,-2.8662903
0.28002802,-2.8658102
0.28102812,-2.8653414
0.28202823,-2.8645885
0.2830283,-2.8642166
0.2840284,-2.8637307
0.28502852,-2.8630965
0.28602862,-2.8623934
0.2870287,-2.8616621
0.2880288,-2.8613021
0.2890289,-2.860435
0.29002902,-2.8601422
0.29102913,-2.8595107
0.2920292,-2.8587205
0.2930293,-2.8582578
0.2940294,-2.8575995
0.29502952,-2.8569863
0.29602963,-2.8561442
0.2970297,-2.8555589
0.2980298,-2.8550138
0.29902992,-2.85426
0.30003002,-2.8536427
0.30103013,-2.853275
0.3020302,-2.8525655
0.3030303,-2.851917
0.30403042,-2.8512425
0.30503052,-2.850702
0.3060306,-2.8499415
0.3070307,-2.8490148
0.3080308,-2.8484256
0.30903092,-2.8478782
0.31003103,-2.8471406
0.3110311,-2.8465776
0.3120312,-2.845923
0.31303132,-2.8453562
0.31403142,-2.844779
0.31503153,-2.8438098
0.3160316,-2.8432646
0.3170317,-2.8425777
0.31803182,-2.8418305
0.31903192,-2.841099
0.320032,-2.840443
0.3210321,-2.8397563
0.3220322,-2.839012
0.32303232,-2.8382604
0.32403243,-2.8375442
0.3250325,-2.8369648
0.3260326,-2.8364112
0.32703272,-2.835263
0.32803282,-2.834628
0.32903293,-2.8339474
0.330033,-2.8332098
0.3310331,-2.8327036
0.33203322,-2.8320463
0.33303332,-2.8312461
0.33403343,-2.8305027
0.3350335,-2.8298798
0.3360336,-2.8291707
0.33703372,-2.8284752
0.33803383,-2.8276458
0.3390339,-2.8267882
0.340034,-2.8262255
0.3410341,-2.8254015
0.34203422,-2.8246002
0.34303433,-2.8239539
0.3440344,-2.822903
0.3450345,-2.8223355
0.34603462,-2.821502
0.34703472,-2.8209314
0.34803483,-2.8198607
0.3490349,-2.8192723
0.350035,-2.8186233
0.35103512,-2.8178132
0.35203522,-2.8169913
0.35303533,-2.8163896
0.3540354,-2.8156283
0.3550355,-2.8147776
0.35603562,-2.8138618
0.35703573,-2.8132904
0.3580358,-2.812556
0.3590359,-2.8115695
0.36003602,-2.8107903
0.36103612,-2.810027
0.36203623,-2.8094573
0.3630363,-2.8087726
0.3640364,-2.807839
0.36503652,-2.8071575
0.36603662,-2.8060253
0.36703673,-2.805322
0.3680368,-2.8046901
0.3690369,-2.8037548
0.37003702,-2.803159
0.37103713,-2.8022726
0.37203723,-2.8015542
0.3730373,-2.800762
0.3740374,-2.7999303
0.37503752,-2.7992342
0.37603763,-2.798257
0.3770377,-2.7974923
0.3780378,-2.7967799
0.37903792,-2.795783
0.38003802,-2.7949688
0.38103813,-2.7941892
0.3820382,-2.7934551
0.3830383,-2.7927113
0.38403842,-2.7917657
0.38503852,-2.7910397
0.38603863,-2.7901154
0.3870387,-2.789474
0.3880388,-2.7887747
0.38903892,-2.787515
0.39003903,-2.7870538
0.39103913,-2.7862637
0.3920392,-2.7855172
0.39303932,-2.7845912
0.39403942,-2.7837749
0.39503953,-2.7830722
0.3960396,-2.78223
0.3970397,-2.7814224
0.39803982,-2.7808573
0.39903992,-2.779937
0.40004003,-2.7789404
0.4010401,-2.7782085
0.4020402,-2.7773082
0.40304032,-2.776489
0.40404043,-2.7759268
0.40504053,-2.774985
0.4060406,-2.7742207
0.40704072,-2.7733738
0.40804082,-2.7725372
0.40904093,-2.7716794
0.41004103,-2.7710378
0.4110411,-2.7699945
0.41204122,-2.7690928
0.41304132,-2.768391
0.41404143,-2.7676933
0.4150415,-2.7668355
0.4160416,-2.7660565
0.41704172,-2.7653563
0.41804183,-2.7644587
0.41904193,-2.7639017
0.420042,-2.7628906
0.4210421,-2.7619617
0.42204222,-2.7610128
0.42304233,-2.7603264
0.42404243,-2.7594411
0.4250425,-2.7589548
0.42604262,-2.757986
0.42704272,-2.7571175
0.42804283,-2.756655
0.42904294,-2.7557104
0.430043,-2.7550874
0.43104312,-2.7539704
0.43204322,-2.7530978
0.43304333,-2.752608
0.4340434,-2.751665
0.4350435,-2.7510154
0.43604362,-2.7503204
0.43704373,-2.749736
0.43804383,-2.7490034
0.4390439,-2.7483935
0.44004402,-2.7479048
0.44104412,-2.7468257
0.44204423,-2.7464328
0.44304433,-2.7459757
0.4440444,-2.7453847
0.44504452,-2.7447267
0.44604462,-2.7440603
0.44704473,-2.743793
0.44804484,-2.7430742
0.4490449,-2.7426512
0.45004502,-2.7421675
0.45104513,-2.7418318
0.45204523,-2.7413075
0.4530453,-2.7405376
0.45404541,-2.7403169
0.45504552,-2.7398345
0.45604563,-2.7393563
0.45704573,-2.7390053
0.4580458,-2.738493
0.45904592,-2.7382853
0.46004602,-2.7380357
0.46104613,-2.7375755
0.46204624,-2.7370708
0.4630463,-2.7368553
0.46404642,-2.736654
0.46504653,-2.736208
0.46604663,-2.7361996
0.4670467,-2.7357414
0.4680468,-2.7355835
0.46904692,-2.735379
0.47004703,-2.7349646
0.47104713,-2.7347527
0.4720472,-2.7345765
0.47304732,-2.734314
0.47404742,-2.7341292
0.47504753,-2.7340033
0.47604764,-2.733923
0.4770477,-2.7339678
0.47804782,-2.733695
0.47904792,-2.733486
0.48004803,-2.7331526
0.48104814,-2.7332153
0.4820482,-2.733166
0.48304832,-2.7330167
0.48404843,-2.7328668
0.48504853,-2.7326753
0.4860486,-2.7328892
0.48704872,-2.7327836
0.48804882,-2.732742
0.48904893,-2.7329366
0.49004903,-2.7327936
0.4910491,-2.732688
0.49204922,-2.7327862
0.49304932,-2.7328339
0.49404943,-2.73263
0.49504954,-2.7328553
0.4960496,-2.7330868
0.49704972,-2.73304
0.49804983,-2.7331288
0.49904993,-2.7332907
0.50005,-2.7332723
0.5010501,-2.733515
0.5020502,-2.7336206
0.5030503,-2.7336578
0.50405043,-2.7336094
0.50505054,-2.7337675
0.50605065,-2.733868
0.50705075,-2.7341344
0.5080508,-2.734316
0.5090509,-2.7343502
0.510051,-2.7348292
0.5110511,-2.734987
0.5120512,-2.7350771
0.51305133,-2.7354524
0.51405144,-2.7357178
0.51505154,-2.735905
0.51605165,-2.7361772
0.5170517,-2.7364106
0.5180518,-2.7364433
0.5190519,-2.7369769
0.520052,-2.73721
0.5210521,-2.7372656
0.5220522,-2.737815
0.52305233,-2.7379963
0.52405244,-2.7384398
0.52505255,-2.7388275
0.52605265,-2.7392025
0.5270527,-2.739333
0.5280528,-2.7397068
0.5290529,-2.7401462
0.530053,-2.7405608
0.5310531,-2.741028
0.53205323,-2.741319
0.53305334,-2.74184
0.53405344,-2.7420218
0.53505355,-2.7425027
0.5360536,-2.7429745
0.5370537,-2.7434542
0.5380538,-2.74378
0.5390539,-2.7442646
0.540054,-2.7445936
0.5410541,-2.745211
0.54205424,-2.7456956
0.54305434,-2.7458386
0.54405445,-2.746474
0.54505455,-2.7469814
0.5460546,-2.7475162
0.5470547,-2.7478328
0.5480548,-2.7484522
0.5490549,-2.74921
0.550055,-2.74989
0.55105513,-2.7503016
0.55205524,-2.7510185
0.55305535,-2.751552
0.55405545,-2.7517061
0.5550555,-2.752599
0.5560556,-2.7530239
0.5570557,-2.7533448
0.5580558,-2.7540863
0.5590559,-2.7548468
0.56005603,-2.755229
0.56105614,-2.7559373
0.56205624,-2.756442
0.56305635,-2.7571402
0.56405646,-2.7577798
0.5650565,-2.758388
0.5660566,-2.7587557
0.5670567,-2.759693
0.5680568,-2.760284
0.5690569,-2.7609653
0.57005703,-2.761345
0.57105714,-2.7624905
0.57205725,-2.763322
0.57305735,-2.764109
0.5740574,-2.76455
0.5750575,-2.7651527
0.5760576,-2.7661495
