input_value,relevance
0.0,-2.8498602
0.0010001,-2.858902
0.0020002,-2.8677402
0.0030003001,-2.8761067
0.0040004,-2.8842816
0.0050005,-2.892142
0.0060006003,-2.899932
0.0070007006,-2.9073603
0.0080008,-2.9144354
0.0090009,-2.9215412
0.010001,-2.9281363
0.011001101,-2.9345698
0.012001201,-2.940806
0.0130013,-2.946859
0.014001401,-2.9527826
0.015001501,-2.9582715
0.0160016,-2.96385
0.017001702,-2.9691055
0.0180018,-2.9741
0.019001901,-2.9789197
0.020002,-2.9836645
0.0210021,-2.988224
0.022002202,-2.9927793
0.0230023,-2.9969373
0.024002401,-3.0011213
0.025002502,-3.0051007
0.0260026,-3.0090296
0.027002702,-3.0128098
0.028002802,-3.0164194
0.029002901,-3.019981
0.030003002,-3.02327
0.0310031,-3.0265315
0.0320032,-3.0298474
0.0330033,-3.0328379
0.034003403,-3.0358021
0.035003502,-3.0388422
0.0360036,-3.0415828
0.037003703,-3.044305
0.038003802,-3.0468864
0.0390039,-3.0495076
0.040004,-3.0520139
0.041004103,-3.054407
0.0420042,-3.056799
0.0430043,-3.0590734
0.044004403,-3.0612516
0.045004502,-3.0634184
0.0460046,-3.0654225
0.047004703,-3.0674639
0.048004802,-3.0694318
0.0490049,-3.0713851
0.050005004,-3.0732508
0.051005103,-3.074989
0.0520052,-3.076733
0.053005304,-3.0784004
0.054005403,-3.0800157
0.055005502,-3.0815291
0.056005605,-3.0831947
0.057005703,-3.084647
0.058005802,-3.0861166
0.0590059,-3.0875425
0.060006004,-3.088793
0.061006103,-3.0902479
0.0620062,-3.0914621
0.063006304,-3.0926802
0.0640064,-3.093943
0.0650065,-3.0950255
0.0660066,-3.09621
0.0670067,-3.0974107
0.068006806,-3.0984285
0.069006905,-3.099544
0.070007004,-3.100545
0.0710071,-3.1014628
0.0720072,-3.1024947
0.0730073,-3.103393
0.07400741,-3.1043243
0.075007506,-3.1051602
0.076007605,-3.1060457
0.0770077,-3.1069195
0.0780078,-3.107636
0.0790079,-3.108413
0.080008,-3.1091533
0.08100811,-3.1099713
0.082008205,-3.1105928
0.083008304,-3.1113648
0.0840084,-3.1120129
0.0850085,-3.1126661
0.0860086,-3.1132667
0.08700871,-3.1139278
0.088008806,-3.1145058
0.089008905,-3.1150205
0.090009004,-3.1155987
0.0910091,-3.1162012
0.0920092,-3.1166282
0.09300931,-3.117262
0.09400941,-3.117674
0.095009506,-3.1181612
0.096009605,-3.118711
0.0970097,-3.1190925
0.0980098,-3.1196196
0.0990099,-3.1199493
0.10001001,-3.120421
0.10101011,-3.120781
0.102010205,-3.1212072
0.103010304,-3.121542
0.1040104,-3.121924
0.1050105,-3.1222448
0.10601061,-3.1225848
0.10701071,-3.1229687
