input_value,relevance
0.0,-1.5098053
0.0010001,-1.5082947
0.0020002,-1.5061929
0.0030003001,-1.5040432
0.0040004,-1.5020021
0.0050005,-1.4998854
0.0060006003,-1.4978925
0.0070007006,-1.496127
0.0080008,-1.4940771
0.0090009,-1.4920084
0.010001,-1.4899079
0.011001101,-1.4878355
0.012001201,-1.4858018
0.0130013,-1.4842036
0.014001401,-1.4821038
0.015001501,-1.4799947
0.0160016,-1.4779524
0.017001702,-1.4759461
0.0180018,-1.4739071
0.019001901,-1.4721524
0.020002,-1.4700426
0.0210021,-1.4679158
0.022002202,-1.4659399
0.0230023,-1.4639376
0.024002401,-1.4618188
0.025002502,-1.4597462
0.0260026,-1.4578724
0.027002702,-1.4559495
0.028002802,-1.4539768
0.029002901,-1.4519216
0.030003002,-1.4500562
0.0310031,-1.447968
0.0320032,-1.4459147
0.0330033,-1.4440578
0.034003403,-1.4419833
0.035003502,-1.4398817
0.0360036,-1.4381403
0.037003703,-1.4360036
0.038003802,-1.4340757
0.0390039,-1.4320046
0.040004,-1.4300098
0.041004103,-1.4280968
0.0420042,-1.4260432
0.0430043,-1.42411
0.044004403,-1.4220146
0.045004502,-1.4201013
0.0460046,-1.4180093
0.047004703,-1.4161566
0.048004802,-1.4141778
0.0490049,-1.4120811
0.050005004,-1.4100147
0.051005103,-1.4080778
0.0520052,-1.406093
0.053005304,-1.4040042
0.054005403,-1.4021499
0.055005502,-1.4000655
0.056005605,-1.3982283
0.057005703,-1.3962324
0.058005802,-1.39431
0.0590059,-1.3922242
0.060006004,-1.3901768
0.061006103,-1.388214
0.0620062,-1.3861662
0.063006304,-1.3841636
0.0640064,-1.3823197
0.0650065,-1.3802539
0.0660066,-1.3783343
0.0670067,-1.3763851
0.068006806,-1.3744735
0.069006905,-1.3721913
0.070007004,-1.3703017
0.0710071,-1.3683411
0.0720072,-1.3662705
0.0730073,-1.3644389
0.07400741,-1.3624042
0.075007506,-1.360447
0.076007605,-1.3583397
0.0770077,-1.356489
0.0780078,-1.3545555
0.0790079,-1.3526785
0.080008,-1.3504673
0.08100811,-1.3486208
0.082008205,-1.3466207
0.083008304,-1.3444581
0.0840084,-1.3425535
0.0850085,-1.3405799
0.0860086,-1.3385981
0.08700871,-1.3366723
0.088008806,-1.3346645
0.089008905,-1.3327998
0.090009004,-1.3307103
0.0910091,-1.3286954
0.0920092,-1.326831
0.09300931,-1.3247854
0.09400941,-1.3229078
0.095009506,-1.3208126
0.096009605,-1.3189591
0.0970097,-1.3169187
0.0980098,-1.3148745
0.0990099,-1.3129855
0.10001001,-1.3109118
0.10101011,-1.3090869
0.102010205,-1.3071147
0.103010304,-1.3051077
0.1040104,-1.3031634
0.1050105,-1.301252
0.10601061,-1.2991319
0.10701071,-1.2971338
0.108010806,-1.2952207
0.109010905,-1.2931556
0.110011004,-1.291329
0.1110111,-1.2891734
0.11201121,-1.2873336
0.11301131,-1.2853028
0.11401141,-1.2832887
0.115011506,-1.2813829
0.116011605,-1.2794224
0.1170117,-1.2775253
0.1180118,-1.2754229
0.11901191,-1.2735354
0.12001201,-1.2715269
0.12101211,-1.2695976
0.122012205,-1.2676166
0.123012304,-1.2656945
0.1240124,-1.2636582
0.1250125,-1.2617099
0.12601261,-1.2598335
0.1270127,-1.2579702
0.1280128,-1.2557142
0.12901291,-1.2538453
0.130013,-1.2519253
0.13101311,-1.250093
0.1320132,-1.2480767
0.13301331,-1.2459797
0.1340134,-1.2440021
0.1350135,-1.2421381
0.13601361,-1.2401518
0.1370137,-1.2382718
0.13801381,-1.2361108
0.1390139,-1.2343355
0.14001401,-1.2322527
0.14101411,-1.230395
0.1420142,-1.2285178
0.14301431,-1.2263616
0.1440144,-1.2245392
0.14501451,-1.2227093
0.1460146,-1.220781
0.1470147,-1.2188656
0.14801481,-1.21681
0.1490149,-1.2149593
0.15001501,-1.2131479
0.1510151,-1.2112247
0.15201521,-1.2094425
0.1530153,-1.2073398
0.1540154,-1.2055991
0.15501551,-1.2039133
0.1560156,-1.2020322
0.15701571,-1.2002474
0.1580158,-1.1984143
0.15901591,-1.1965443
0.160016,-1.1947389
0.1610161,-1.1929799
0.16201621,-1.1912986
0.1630163,-1.1894498
0.16401641,-1.1875486
0.1650165,-1.1859082
0.16601661,-1.1840421
0.16701671,-1.1824181
0.1680168,-1.1807002
0.16901691,-1.1789027
0.170017,-1.1770837
0.17101711,-1.1754771
0.1720172,-1.1737596
0.17301731,-1.1720008
0.17401741,-1.1703229
0.1750175,-1.1685523
0.17601761,-1.1670195
0.1770177,-1.1654541
0.17801781,-1.163591
0.1790179,-1.1619449
0.18001801,-1.1604594
0.18101811,-1.1587008
0.1820182,-1.1571704
0.18301831,-1.1555778
0.1840184,-1.1538283
0.18501851,-1.1521698
0.18601862,-1.1506349
0.1870187,-1.1490377
0.18801881,-1.1475233
0.1890189,-1.1460062
0.19001901,-1.1443826
0.1910191,-1.1427408
0.19201921,-1.1412187
0.19301932,-1.139844
0.1940194,-1.138425
0.19501951,-1.1367606
0.1960196,-1.1353868
0.19701971,-1.1339873
0.1980198,-1.1328005
0.19901991,-1.1314453
0.20002002,-1.1300141
0.2010201,-1.1286278
0.20202021,-1.1273751
0.2030203,-1.1261677
0.20402041,-1.125049
0.20502052,-1.123686
0.20602061,-1.12245
0.20702071,-1.1212989
0.2080208,-1.120068
0.20902091,-1.1190796
0.210021,-1.1180366
0.21102111,-1.1169881
0.21202122,-1.1158153
0.21302131,-1.1147894
0.21402141,-1.1137487
0.2150215,-1.1126252
0.21602161,-1.1115996
0.2170217,-1.1107416
0.21802181,-1.1096638
0.21902192,-1.108978
0.22002201,-1.1080526
0.22102211,-1.1070622
0.2220222,-1.1060871
0.22302231,-1.1054779
0.22402242,-1.1045051
0.22502251,-1.1036619
0.22602262,-1.1029593
0.22702271,-1.1021656
0.22802281,-1.1014086
0.2290229,-1.1006677
0.23002301,-1.0998856
0.23102312,-1.0991743
0.23202321,-1.0985672
0.23302332,-1.0981053
0.2340234,-1.0974278
0.23502351,-1.096824
0.2360236,-1.0961481
0.23702371,-1.0955867
0.23802382,-1.0950481
0.23902391,-1.094454
0.24002402,-1.0939021
0.2410241,-1.0934552
0.24202421,-1.0927217
0.2430243,-1.092449
0.24402441,-1.09191
0.24502452,-1.0916823
0.24602461,-1.091106
0.24702471,-1.090645
0.2480248,-1.0902575
0.24902491,-1.0899571
0.250025,-1.0895127
0.2510251,-1.0895306
0.25202522,-1.0890474
0.25302532,-1.088666
0.2540254,-1.0885043
0.2550255,-1.0880319
0.2560256,-1.0877914
0.25702572,-1.0874904
0.25802583,-1.0873679
0.2590259,-1.0869805
0.260026,-1.0869246
0.2610261,-1.0865479
0.26202622,-1.0865674
0.26302633,-1.0865513
0.2640264,-1.0863272
0.2650265,-1.0861895
0.26602662,-1.0860875
0.26702672,-1.0862297
0.2680268,-1.085901
0.2690269,-1.0858582
0.270027,-1.0856608
0.27102712,-1.0857126
0.27202722,-1.0857458
