input_value,relevance
0.0,-0.71003985
0.0010001,-0.70682555
0.0020002,-0.70326674
0.0030003001,-0.69999737
0.0040004,-0.69708294
0.0050005,-0.69350827
0.0060006003,-0.6904154
0.0070007006,-0.6872183
0.0080008,-0.6837198
0.0090009,-0.68069184
0.010001,-0.67735153
0.011001101,-0.6739478
0.012001201,-0.67074645
0.0130013,-0.66761744
0.014001401,-0.6641433
0.015001501,-0.6609766
0.0160016,-0.657726
0.017001702,-0.6542547
0.0180018,-0.65120006
0.019001901,-0.64803135
0.020002,-0.6445387
0.0210021,-0.6415285
0.022002202,-0.6384432
0.0230023,-0.6347012
0.024002401,-0.6316313
0.025002502,-0.6280644
0.0260026,-0.6251311
0.027002702,-0.62209123
0.028002802,-0.61883765
0.029002901,-0.61531603
0.030003002,-0.61227214
0.0310031,-0.6087766
0.0320032,-0.60575914
0.0330033,-0.6027203
0.034003403,-0.5991536
0.035003502,-0.59602153
0.0360036,-0.5928891
0.037003703,-0.5895183
0.038003802,-0.586344
0.0390039,-0.58337665
0.040004,-0.57981896
0.041004103,-0.5767932
0.0420042,-0.5736928
0.0430043,-0.5704448
0.044004403,-0.5671361
0.045004502,-0.56390536
0.0460046,-0.56076354
0.047004703,-0.55758905
0.048004802,-0.5542424
0.0490049,-0.5511599
0.050005004,-0.54799473
0.051005103,-0.54454404
0.0520052,-0.5415221
0.053005304,-0.53830606
0.054005403,-0.535226
0.055005502,-0.53211373
0.056005605,-0.52884513
0.057005703,-0.52552336
0.058005802,-0.52235764
0.0590059,-0.51915723
0.060006004,-0.5159897
0.061006103,-0.51271826
0.0620062,-0.5097072
0.063006304,-0.50648993
0.0640064,-0.5033301
0.0650065,-0.5002235
0.0660066,-0.49703166
0.0670067,-0.49359345
0.068006806,-0.49074602
0.069006905,-0.48725152
0.070007004,-0.4843347
0.0710071,-0.4813125
0.0720072,-0.47769818
0.0730073,-0.47489426
0.07400741,-0.4716494
0.075007506,-0.46846092
0.076007605,-0.46539158
0.0770077,-0.46212754
0.0780078,-0.45903248
0.0790079,-0.45593414
0.080008,-0.4524952
0.08100811,-0.4496009
0.082008205,-0.44615197
0.083008304,-0.44328734
0.0840084,-0.4403667
0.0850085,-0.43685207
0.0860086,-0.4338383
0.08700871,-0.43077558
0.088008806,-0.4277261
0.089008905,-0.42430493
0.090009004,-0.42133847
0.0910091,-0.41828907
0.0920092,-0.4151041
0.09300931,-0.4119135
0.09400941,-0.4088042
0.095009506,-0.40554485
0.096009605,-0.4026402
0.0970097,-0.39954156
0.0980098,-0.3964117
0.0990099,-0.3930547
0.10001001,-0.39001304
0.10101011,-0.38696253
0.102010205,-0.38390338
0.103010304,-0.38073388
0.1040104,-0.377635
0.1050105,-0.3745497
0.10601061,-0.37136158
0.10701071,-0.36838934
0.108010806,-0.36510572
0.109010905,-0.36210883
0.110011004,-0.35910583
0.1110111,-0.3558097
0.11201121,-0.35270596
0.11301131,-0.34955877
0.11401141,-0.34650487
0.115011506,-0.34357992
0.116011605,-0.34032196
0.1170117,-0.33718428
0.1180118,-0.33416796
0.11901191,-0.33123136
0.12001201,-0.328006
0.12101211,-0.32498366
0.122012205,-0.3220358
0.123012304,-0.31899896
0.1240124,-0.3156638
0.1250125,-0.31266814
0.12601261,-0.3097316
0.1270127,-0.30692357
0.1280128,-0.303541
0.12901291,-0.3005741
0.130013,-0.29768345
0.13101311,-0.29480147
0.1320132,-0.2916946
0.13301331,-0.28845382
0.1340134,-0.28558677
0.1350135,-0.28257042
0.13601361,-0.27952513
0.1370137,-0.27668563
0.13801381,-0.27318305
0.1390139,-0.2703496
0.14001401,-0.2673663
0.14101411,-0.26442584
0.1420142,-0.26148573
0.14301431,-0.2584288
0.1440144,-0.25542942
0.14501451,-0.25267038
0.1460146,-0.24971414
0.1470147,-0.24663037
0.14801481,-0.24354714
0.1490149,-0.24064311
0.15001501,-0.23787397
0.1510151,-0.23494947
0.15201521,-0.23202935
0.1530153,-0.22883204
0.1540154,-0.22591478
0.15501551,-0.2231335
0.1560156,-0.22040766
0.15701571,-0.21749914
0.1580158,-0.21479434
0.15901591,-0.21181053
0.160016,-0.20902541
0.1610161,-0.206171
0.16201621,-0.20338404
0.1630163,-0.20053318
0.16401641,-0.19750026
0.1650165,-0.1948959
0.16601661,-0.19232118
0.16701671,-0.18955219
0.1680168,-0.18696418
0.16901691,-0.18374318
0.170017,-0.18113649
0.17101711,-0.17835909
0.1720172,-0.17594072
0.17301731,-0.17331007
0.17401741,-0.17029244
0.1750175,-0.16764534
0.17601761,-0.16498697
0.1770177,-0.16259709
0.17801781,-0.16011286
