feature,relevance
0,2.6491444
1,0.3035786
2,0.33916637
3,-2.463914
4,1.1120664
5,-2.1098402
6,-1.1866726
7,-6.3023024
8,-1.1323187
9,-0.20769215
10,-2.2525153
11,-4.6087623
12,-1.5497109
13,0.40247503
14,1.4958831
15,-2.2615645
16,0.067826904
17,-1.4778858
18,-1.8361471
19,-7.4535303
20,1.5873226
21,1.945459
22,-1.8309216
23,0.47770402
24,-1.909639
25,-6.8237896
26,-1.8595687
27,-1.0237421
28,2.615873
29,-2.289408
30,-3.9979858
31,-1.3722259
32,-1.0850738
33,-2.2337217
34,-7.1443453
35,-1.5765153
36,-0.6865062
37,0.4847757
38,-1.4596397
39,3.0470877
40,-0.50695187
41,-0.24795038
42,-2.4333375
43,-2.6809888
44,2.5892181
45,-4.799102
46,-1.1701196
47,-2.1765816
48,-7.7589912
49,0.2470304
50,1.1185298
51,-0.98798805
52,-0.7017846
53,-1.7609174
54,-3.3911722
55,-0.17428866
56,0.26979017
57,-7.35874
58,-0.45746008
59,2.059137
60,1.4709548
61,-0.3577706
62,-1.550557
63,1.2991914
64,-0.78328377
65,-7.39294
66,-2.3594303
67,-4.5981073
68,-0.53505296
69,-0.99741143
70,1.2691468
71,0.4433714
72,-3.1283512
73,-1.955433
74,-1.5605592
75,-2.6699204
76,-1.9429427
77,1.0499071
78,-7.2148933
79,-0.80369014
80,-0.5960989
81,1.6659008
82,1.9794935
83,-6.483008
84,-1.4814911
85,1.8726344
86,-1.0362598
87,-0.039507292
88,-1.6100883
89,-2.0886068
90,-2.402619
91,-1.7395159
92,-7.518697
93,-1.51626
94,-1.4778886
95,0.3920212
96,3.0650141
97,-3.736433
98,-2.5123134
99,-1.5493227
