feature,relevance
0,2.2719872
1,0.19556427
2,0.116877615
3,-2.6254187
4,2.095622
5,-2.3397453
6,-1.3917978
7,-6.2436237
8,-1.3884306
9,-0.450065
10,-2.448682
11,-4.8810635
12,-1.8755078
13,0.23586369
14,2.4049637
15,-2.5747836
16,-0.20985734
17,-1.7928979
18,-1.9263191
19,-7.3085537
20,1.3134534
21,1.7882087
22,-2.2290049
23,0.26851416
24,-2.0743942
25,-6.6545973
26,-2.2817273
27,-1.6821027
28,3.412392
29,-2.420131
30,-3.958397
31,-1.5440764
32,-1.2124395
33,-2.4999971
34,-6.9295297
35,-1.7782242
36,-0.8310185
37,0.088532224
38,-1.7325354
39,4.016033
40,-0.8922433
41,-0.55038595
42,-2.7132487
43,-2.9826539
44,3.467254
45,-4.853055
46,-1.3282001
47,-2.3354094
48,-7.3104863
49,0.093685806
50,0.80403215
51,-1.1871526
52,-1.0824964
53,-1.775902
54,-3.6198869
55,-0.26206955
56,-0.11396279
57,-7.057137
58,-0.9665366
59,2.9448617
60,1.3187425
61,-0.6033977
62,-1.7913175
63,2.275187
64,-1.0452352
65,-7.427078
66,-2.6868489
67,-5.1756825
68,-0.7535166
69,-1.219718
70,1.0593708
71,-0.10638617
72,-3.3998399
73,-2.2002504
74,-1.8881168
75,-2.808726
76,-2.212283
77,1.9507878
78,-7.2022543
79,-1.1427383
80,-0.8625054
81,1.4201331
82,1.6301355
83,-6.2502584
84,-1.8066008
85,2.709348
86,-0.972413
87,-0.055698156
88,-1.9148257
89,-2.2363868
90,-2.28397
91,-1.7842021
92,-7.4296103
93,-1.8571594
94,-2.0604403
95,0.033441894
96,4.0333548
97,-4.095556
98,-2.955437
99,-1.6434011
