feature,relevance
0,2.6442914
1,1.6028631
2,0.72156936
3,-1.5200125
4,0.6015834
5,-1.8665116
6,0.7761035
7,-2.1427557
8,0.029234342
9,0.06344598
10,-2.0375912
11,-3.8822706
12,-2.622196
13,0.9434646
14,0.81166166
15,-1.5513949
16,1.4276562
17,-1.561188
18,-0.6367884
19,-3.8810825
20,1.6481693
21,2.6048036
22,-0.47759238
23,1.7223823
24,-0.86481225
25,-2.9499938
26,-1.6008105
27,-1.0729656
28,2.037572
29,-1.3954781
30,-2.9380937
31,-0.06408497
32,0.08685867
33,-1.5484307
34,-3.108041
35,-0.9256832
36,-1.3615267
37,0.76713616
38,-1.7068038
39,2.6319046
40,-0.6348259
41,1.0255213
42,-1.9191394
43,-2.778381
44,2.1991227
45,-4.016843
46,0.1634211
47,-3.3166525
48,-3.85978
49,0.84410965
50,2.4119518
51,0.46674424
52,-1.3143516
53,-1.8491507
54,-2.4606237
55,0.22194064
56,1.0902693
57,-3.7847202
58,0.7111826
59,1.4802258
60,2.037133
61,0.532702
62,-1.7651126
63,0.6654455
64,0.4133497
65,-4.0372696
66,-3.6870017
67,-3.7792232
68,0.63806593
69,0.3649642
70,2.591515
71,-0.09034237
72,-1.8317133
73,-1.4370137
74,-1.8501341
75,-2.1481698
76,-1.3776393
77,0.26459646
78,-3.473223
79,-0.650874
80,-0.62301755
81,1.6394622
82,2.5461917
83,-2.4391854
84,-0.5292122
85,1.2396629
86,0.9463106
87,1.35094
88,-0.62523514
89,-1.6407198
90,-1.7887566
91,-1.6202953
92,-3.8010066
93,-1.8347465
94,-2.631157
95,1.7124326
96,2.6510456
97,-3.0495558
98,-1.9469194
99,-0.26232135
