input_value,relevance
0.0,-2.8236976
0.0010001,-2.821622
0.0020002,-2.819547
0.0030003001,-2.8174727
0.0040004,-2.8153994
0.0050005,-2.8133268
0.0060006003,-2.811255
0.0070007006,-2.8091838
0.0080008,-2.807114
0.0090009,-2.8050447
0.010001,-2.8029761
0.011001101,-2.8009086
0.012001201,-2.7988415
0.0130013,-2.7967753
0.014001401,-2.79471
0.015001501,-2.7926457
0.0160016,-2.790582
0.017001702,-2.788519
0.0180018,-2.786457
0.019001901,-2.784396
0.020002,-2.7823353
0.0210021,-2.7802756
0.022002202,-2.7782168
0.0230023,-2.7761588
0.024002401,-2.7741017
0.025002502,-2.7720451
0.0260026,-2.7699895
0.027002702,-2.7679348
0.028002802,-2.765881
0.029002901,-2.7638278
0.030003002,-2.7617755
0.0310031,-2.7597241
0.0320032,-2.7576733
0.0330033,-2.7556233
0.034003403,-2.7535744
0.035003502,-2.7515259
0.0360036,-2.7494786
0.037003703,-2.747432
0.038003802,-2.7453861
0.0390039,-2.743341
0.040004,-2.7412965
0.041004103,-2.7392523
0.0420042,-2.7372093
0.0430043,-2.7351663
0.044004403,-2.7331243
0.045004502,-2.7310824
0.0460046,-2.7290413
0.047004703,-2.7270012
0.048004802,-2.7249613
0.0490049,-2.7229218
0.050005004,-2.720883
0.051005103,-2.7188444
0.0520052,-2.716807
0.053005304,-2.7147698
0.054005403,-2.7127333
0.055005502,-2.7106972
0.056005605,-2.708662
0.057005703,-2.706627
0.058005802,-2.7045927
0.0590059,-2.702559
0.060006004,-2.7005258
0.061006103,-2.6984932
0.0620062,-2.6964614
0.063006304,-2.6944299
0.0640064,-2.692399
0.0650065,-2.6903687
0.0660066,-2.6883388
0.0670067,-2.6863098
0.068006806,-2.6842813
0.069006905,-2.6822534
0.070007004,-2.6802258
0.0710071,-2.678199
0.0720072,-2.6761723
0.0730073,-2.674147
0.07400741,-2.6721215
0.075007506,-2.6700969
0.076007605,-2.668073
0.0770077,-2.6660495
0.0780078,-2.6640265
0.0790079,-2.6620042
0.080008,-2.6599822
0.08100811,-2.6579611
0.082008205,-2.6559405
0.083008304,-2.6539207
0.0840084,-2.6519012
0.0850085,-2.6498818
0.0860086,-2.6478636
0.08700871,-2.645846
0.088008806,-2.6438286
0.089008905,-2.6418118
0.090009004,-2.6397958
0.0910091,-2.6377802
0.0920092,-2.6357653
0.09300931,-2.633751
0.09400941,-2.631737
0.095009506,-2.6297238
0.096009605,-2.627711
0.0970097,-2.6256988
0.0980098,-2.6236873
0.0990099,-2.6216764
0.10001001,-2.619666
0.10101011,-2.6176562
0.102010205,-2.6156468
0.103010304,-2.613638
0.1040104,-2.6116297
0.1050105,-2.6096225
0.10601061,-2.6076152
0.10701071,-2.605609
0.108010806,-2.603603
0.109010905,-2.6015975
0.110011004,-2.5995927
0.1110111,-2.5975885
0.11201121,-2.5955849
0.11301131,-2.5935817
0.11401141,-2.5915794
0.115011506,-2.5895772
0.116011605,-2.587576
0.1170117,-2.585575
0.1180118,-2.5835752
0.11901191,-2.5815754
0.12001201,-2.5795763
0.12101211,-2.5775776
0.122012205,-2.5755796
0.123012304,-2.5735822
0.1240124,-2.5715854
0.1250125,-2.5695891
0.12601261,-2.5675936
0.1270127,-2.5655985
0.1280128,-2.5636039
0.12901291,-2.56161
0.130013,-2.559616
0.13101311,-2.5576234
0.1320132,-2.5556312
0.13301331,-2.5536394
0.1340134,-2.5516481
0.1350135,-2.5496576
0.13601361,-2.5476675
0.1370137,-2.5456781
0.13801381,-2.5436893
0.1390139,-2.5417008
0.14001401,-2.539713
0.14101411,-2.537726
0.1420142,-2.5357392
0.14301431,-2.5337532
0.1440144,-2.5317674
0.14501451,-2.5297828
0.1460146,-2.5277982
