input_value,relevance
0.0,-2.6521883
0.0010001,-2.6557236
0.0020002,-2.6594453
0.0030003001,-2.663107
0.0040004,-2.6666362
0.0050005,-2.6702363
0.0060006003,-2.6738882
0.0070007006,-2.6774297
0.0080008,-2.6810846
0.0090009,-2.6845756
0.010001,-2.6881137
0.011001101,-2.6919527
0.012001201,-2.6953526
0.0130013,-2.6989107
0.014001401,-2.702473
0.015001501,-2.7059286
0.0160016,-2.7096815
0.017001702,-2.7131467
0.0180018,-2.7167294
0.019001901,-2.7202008
0.020002,-2.723701
0.0210021,-2.7271116
0.022002202,-2.7306519
0.0230023,-2.7341547
0.024002401,-2.7376614
0.025002502,-2.7412667
0.0260026,-2.7445061
0.027002702,-2.748073
0.028002802,-2.7514753
0.029002901,-2.7550216
0.030003002,-2.7584124
0.0310031,-2.7618463
0.0320032,-2.7651644
0.0330033,-2.7688622
0.034003403,-2.7720609
0.035003502,-2.7755654
0.0360036,-2.778943
0.037003703,-2.7823493
0.038003802,-2.7855735
0.0390039,-2.78893
0.040004,-2.7923727
0.041004103,-2.7956972
0.0420042,-2.799066
0.0430043,-2.8023853
0.044004403,-2.8057332
0.045004502,-2.8091426
0.0460046,-2.8124387
0.047004703,-2.8156924
0.048004802,-2.8190675
0.0490049,-2.822592
0.050005004,-2.8258646
0.051005103,-2.8289685
0.0520052,-2.8325176
0.053005304,-2.8358884
0.054005403,-2.839141
0.055005502,-2.8421502
0.056005605,-2.8454783
0.057005703,-2.8488183
0.058005802,-2.8519669
0.0590059,-2.8554235
0.060006004,-2.858578
0.061006103,-2.8617775
0.0620062,-2.8650239
0.063006304,-2.868309
0.0640064,-2.871592
0.0650065,-2.8747535
0.0660066,-2.8777204
0.0670067,-2.8812706
0.068006806,-2.8842878
0.069006905,-2.8876486
0.070007004,-2.8907857
0.0710071,-2.8937984
0.0720072,-2.8971133
0.0730073,-2.9004035
0.07400741,-2.903524
0.075007506,-2.9065442
0.076007605,-2.9097967
0.0770077,-2.9129033
0.0780078,-2.916133
0.0790079,-2.9190948
0.080008,-2.922377
0.08100811,-2.9253547
0.082008205,-2.9284906
0.083008304,-2.9316506
0.0840084,-2.9348025
0.0850085,-2.9378932
0.0860086,-2.9411097
0.08700871,-2.9440556
0.088008806,-2.9470644
0.089008905,-2.9501927
0.090009004,-2.9533882
0.0910091,-2.9563508
0.0920092,-2.9592009
0.09300931,-2.9624696
0.09400941,-2.965635
0.095009506,-2.9686954
0.096009605,-2.9715738
0.0970097,-2.9745083
0.0980098,-2.9776444
0.0990099,-2.9806995
0.10001001,-2.9838953
0.10101011,-2.9866362
0.102010205,-2.9896722
0.103010304,-2.992715
0.1040104,-2.9958253
0.1050105,-2.9987926
0.10601061,-3.0018382
0.10701071,-3.0046384
0.108010806,-3.007867
0.109010905,-3.0106945
0.110011004,-3.0136242
0.1110111,-3.0165925
0.11201121,-3.0194566
0.11301131,-3.0225482
0.11401141,-3.0254576
0.115011506,-3.0283256
0.116011605,-3.0313835
0.1170117,-3.0341134
0.1180118,-3.037464
0.11901191,-3.0401058
0.12001201,-3.0430021
0.12101211,-3.045885
0.122012205,-3.0489855
0.123012304,-3.051649
0.1240124,-3.0547848
0.1250125,-3.057426
0.12601261,-3.060389
0.1270127,-3.0631561
0.1280128,-3.0662558
0.12901291,-3.0690696
0.130013,-3.0718637
0.13101311,-3.074627
0.1320132,-3.0775974
0.13301331,-3.0804913
0.1340134,-3.0832295
0.1350135,-3.0861735
0.13601361,-3.0888286
0.1370137,-3.0915327
0.13801381,-3.0948386
0.1390139,-3.0974245
0.14001401,-3.100153
0.14101411,-3.102951
0.1420142,-3.1056833
0.14301431,-3.108859
0.1440144,-3.1115675
0.14501451,-3.1141043
0.1460146,-3.116838
0.1470147,-3.119585
0.14801481,-3.1226764
0.1490149,-3.1252398
0.15001501,-3.1281312
0.1510151,-3.130753
0.15201521,-3.1334693
0.1530153,-3.1364686
0.1540154,-3.1392245
0.15501551,-3.1415706
0.1560156,-3.1444643
0.15701571,-3.1470811
0.1580158,-3.1498365
0.15901591,-3.1528516
0.160016,-3.1554186
0.1610161,-3.1579678
0.16201621,-3.1607172
0.1630163,-3.1633816
0.16401641,-3.166337
0.1650165,-3.1689146
0.16601661,-3.1716027
0.16701671,-3.1741843
0.1680168,-3.176772
0.16901691,-3.1797156
0.170017,-3.1825
0.17101711,-3.1848598
0.1720172,-3.1874518
0.17301731,-3.190185
0.17401741,-3.19307
0.1750175,-3.1955717
0.17601761,-3.1981535
0.1770177,-3.2008734
0.17801781,-3.2033298
0.1790179,-3.20618
0.18001801,-3.2088814
0.18101811,-3.2115173
0.1820182,-3.2139463
0.18301831,-3.216251
0.1840184,-3.2191806
0.18501851,-3.2217813
0.18601862,-3.2243838
0.1870187,-3.226789
0.18801881,-3.2295418
0.1890189,-3.2318835
0.19001901,-3.2347722
0.1910191,-3.2373414
0.19201921,-3.2398245
0.19301932,-3.2423549
0.1940194,-3.2448752
0.19501951,-3.2475605
0.1960196,-3.2500982
0.19701971,-3.2525485
0.1980198,-3.255004
0.19901991,-3.2574975
0.20002002,-3.2605138
0.2010201,-3.2628527
0.20202021,-3.2653048
0.2030203,-3.2676375
0.20402041,-3.2702205
0.20502052,-3.2729483
0.20602061,-3.2753978
0.20702071,-3.277802
0.2080208,-3.2804413
0.20902091,-3.2827988
0.210021,-3.2851272
0.21102111,-3.2878838
0.21202122,-3.2903647
0.21302131,-3.2928967
0.21402141,-3.2952278
0.2150215,-3.2977262
0.21602161,-3.300365
0.2170217,-3.3026495
0.21802181,-3.3052092
0.21902192,-3.3076057
0.22002201,-3.3098743
0.22102211,-3.3126066
0.2220222,-3.3149207
0.22302231,-3.3172479
0.22402242,-3.3197465
0.22502251,-3.322142
0.22602262,-3.3248181
0.22702271,-3.3272634
0.22802281,-3.3295212
0.2290229,-3.3320396
0.23002301,-3.334247
0.23102312,-3.3367383
0.23202321,-3.3392005
0.23302332,-3.3413863
0.2340234,-3.343865
0.23502351,-3.3462858
0.2360236,-3.348784
0.23702371,-3.3510652
0.23802382,-3.3534746
0.23902391,-3.3557854
0.24002402,-3.358108
0.2410241,-3.3604531
0.24202421,-3.362881
0.2430243,-3.3652477
0.24402441,-3.367713
0.24502452,-3.3701828
0.24602461,-3.3722296
0.24702471,-3.3748956
0.2480248,-3.3770218
0.24902491,-3.3793526
0.250025,-3.3817194
0.2510251,-3.3840685
0.25202522,-3.3861203
0.25302532,-3.3884764
0.2540254,-3.3906631
0.2550255,-3.393764
0.2560256,-3.3957787
0.25702572,-3.3981948
0.25802583,-3.4002624
0.2590259,-3.4025335
0.260026,-3.4047546
0.2610261,-3.4070847
0.26202622,-3.409338
0.26302633,-3.4114206
0.2640264,-3.4137447
0.2650265,-3.4166179
0.26602662,-3.4188805
0.26702672,-3.420979
0.2680268,-3.4231443
0.2690269,-3.425467
0.270027,-3.4275594
0.27102712,-3.4299192
0.27202722,-3.4320567
0.2730273,-3.434219
0.2740274,-3.4363065
0.2750275,-3.4390285
0.27602762,-3.4412074
0.27702773,-3.4434671
0.2780278,-3.4455934
0.2790279,-3.447824
0.28002802,-3.449985
0.28102812,-3.4522228
0.28202823,-3.4543777
0.2830283,-3.4565933
0.2840284,-3.4585063
0.28502852,-3.4609299
