input_value,relevance
0.0,-0.79920894
0.0010001,-0.8000389
0.0020002,-0.80089515
0.0030003001,-0.8014342
0.0040004,-0.80222553
0.0050005,-0.8029434
0.0060006003,-0.8036948
0.0070007006,-0.8043199
0.0080008,-0.8050979
0.0090009,-0.80571204
0.010001,-0.80656916
0.011001101,-0.8073364
0.012001201,-0.80808336
0.0130013,-0.8089178
0.014001401,-0.8095477
0.015001501,-0.8103116
0.0160016,-0.81099564
0.017001702,-0.81183916
0.0180018,-0.8124046
0.019001901,-0.8133699
0.020002,-0.8140499
0.0210021,-0.8149521
0.022002202,-0.81546944
0.0230023,-0.8164126
0.024002401,-0.81711
0.025002502,-0.8180346
0.0260026,-0.81868833
0.027002702,-0.81948966
0.028002802,-0.8202414
0.029002901,-0.82114726
0.030003002,-0.8217632
0.0310031,-0.82244295
0.0320032,-0.8232966
0.0330033,-0.82389325
0.034003403,-0.8247605
0.035003502,-0.8256087
0.0360036,-0.82642883
0.037003703,-0.8272074
0.038003802,-0.8280756
0.0390039,-0.8287062
0.040004,-0.8296166
0.041004103,-0.8303328
0.0420042,-0.83111364
0.0430043,-0.8318853
0.044004403,-0.8326786
0.045004502,-0.83334523
0.0460046,-0.834392
0.047004703,-0.8350888
0.048004802,-0.8360234
0.0490049,-0.8367354
0.050005004,-0.83742005
0.051005103,-0.8382265
0.0520052,-0.8389072
0.053005304,-0.83979267
0.054005403,-0.84049326
0.055005502,-0.84144264
0.056005605,-0.8421679
0.057005703,-0.8431055
0.058005802,-0.8437138
0.0590059,-0.84480363
0.060006004,-0.8454595
0.061006103,-0.8462592
0.0620062,-0.8470828
0.063006304,-0.8479014
0.0640064,-0.8487802
0.0650065,-0.8496029
0.0660066,-0.8502868
0.0670067,-0.8512699
0.068006806,-0.85197765
0.069006905,-0.8527196
0.070007004,-0.85358614
0.0710071,-0.85450345
0.0720072,-0.8552272
0.0730073,-0.8559888
0.07400741,-0.8569488
0.075007506,-0.8576464
0.076007605,-0.8585045
0.0770077,-0.8592858
0.0780078,-0.860143
0.0790079,-0.8607566
0.080008,-0.86176306
0.08100811,-0.8624067
0.082008205,-0.8634761
0.083008304,-0.86408335
0.0840084,-0.86497897
0.0850085,-0.8657865
0.0860086,-0.8666061
0.08700871,-0.8673716
0.088008806,-0.8682193
0.089008905,-0.8688958
0.090009004,-0.86958426
0.0910091,-0.87061316
0.0920092,-0.87139654
0.09300931,-0.87223166
0.09400941,-0.8731269
0.095009506,-0.8737993
0.096009605,-0.87452054
0.0970097,-0.87532115
0.0980098,-0.876085
0.0990099,-0.8769211
0.10001001,-0.87777334
0.10101011,-0.878727
0.102010205,-0.87929815
0.103010304,-0.8803052
0.1040104,-0.88090384
0.1050105,-0.8817682
0.10601061,-0.88247865
0.10701071,-0.8833734
0.108010806,-0.8841621
0.109010905,-0.8850434
0.110011004,-0.8856773
0.1110111,-0.88651013
0.11201121,-0.8874225
0.11301131,-0.8880656
0.11401141,-0.88896525
0.115011506,-0.8897735
0.116011605,-0.8906427
0.1170117,-0.8913531
0.1180118,-0.89235634
0.11901191,-0.89299196
0.12001201,-0.89386815
0.12101211,-0.89464164
0.122012205,-0.89548683
0.123012304,-0.896136
0.1240124,-0.897171
0.1250125,-0.89775646
0.12601261,-0.8987617
0.1270127,-0.8995176
0.1280128,-0.9004157
0.12901291,-0.9011702
0.130013,-0.9021053
0.13101311,-0.9028351
0.1320132,-0.9036708
0.13301331,-0.9045718
0.1340134,-0.90526134
0.1350135,-0.9063188
0.13601361,-0.90710175
0.1370137,-0.90781456
0.13801381,-0.90878636
0.1390139,-0.90954554
0.14001401,-0.9102759
0.14101411,-0.91120386
0.1420142,-0.9119454
0.14301431,-0.9128547
0.1440144,-0.91374505
0.14501451,-0.9145845
0.1460146,-0.9154989
0.1470147,-0.91628677
0.14801481,-0.917203
0.1490149,-0.9179711
0.15001501,-0.91878927
0.1510151,-0.919655
0.15201521,-0.92046726
0.1530153,-0.92147166
0.1540154,-0.92227525
0.15501551,-0.9230757
0.1560156,-0.9240267
0.15701571,-0.92474943
0.1580158,-0.92556185
0.15901591,-0.9264673
0.160016,-0.9273371
0.1610161,-0.9281865
0.16201621,-0.9290984
0.1630163,-0.9298877
0.16401641,-0.9307586
0.1650165,-0.931739
0.16601661,-0.93255967
0.16701671,-0.93338305
0.1680168,-0.9342714
0.16901691,-0.9352705
0.170017,-0.9361761
0.17101711,-0.9368735
0.1720172,-0.9377
0.17301731,-0.9385494
0.17401741,-0.93947583
0.1750175,-0.9403735
0.17601761,-0.9412102
0.1770177,-0.9420284
0.17801781,-0.94293123
0.1790179,-0.9438821
0.18001801,-0.9447294
0.18101811,-0.9455906
0.1820182,-0.9465838
0.18301831,-0.9474281
0.1840184,-0.9481188
0.18501851,-0.94913834
0.18601862,-0.94997233
0.1870187,-0.9508573
0.18801881,-0.9516775
0.1890189,-0.9525524
0.19001901,-0.95353967
0.1910191,-0.9544397
0.19201921,-0.9551655
0.19301932,-0.95604616
0.1940194,-0.95693266
0.19501951,-0.9578461
0.1960196,-0.95875496
0.19701971,-0.95965976
0.1980198,-0.96044093
0.19901991,-0.96119124
0.20002002,-0.9622308
0.2010201,-0.9631292
0.20202021,-0.96402556
0.2030203,-0.96483976
0.20402041,-0.9657689
0.20502052,-0.96671635
0.20602061,-0.96744835
0.20702071,-0.96832716
0.2080208,-0.96923107
0.20902091,-0.97006863
0.210021,-0.97090536
0.21102111,-0.9719052
0.21202122,-0.9726665
0.21302131,-0.97351766
0.21402141,-0.97432476
0.2150215,-0.97522324
0.21602161,-0.9763309
0.2170217,-0.97709715
0.21802181,-0.97785014
0.21902192,-0.97871155
0.22002201,-0.9795837
0.22102211,-0.9803569
0.2220222,-0.9812811
0.22302231,-0.9823448
0.22402242,-0.9830339
0.22502251,-0.9840135
0.22602262,-0.9848524
0.22702271,-0.98569506
0.22802281,-0.98657256
0.2290229,-0.9874334
0.23002301,-0.9883079
0.23102312,-0.98926955
0.23202321,-0.99017274
0.23302332,-0.99094594
0.2340234,-0.9917652
0.23502351,-0.99257106
0.2360236,-0.99364805
0.23702371,-0.9945475
0.23802382,-0.9951433
0.23902391,-0.99605346
0.24002402,-0.99688935
0.2410241,-0.9977399
0.24202421,-0.9985198
0.2430243,-0.99945706
0.24402441,-1.0003403
0.24502452,-1.0012063
0.24602461,-1.0021008
0.24702471,-1.0030359
0.2480248,-1.0037282
0.24902491,-1.0047771
0.250025,-1.0055496
0.2510251,-1.0064797
0.25202522,-1.0071725
0.25302532,-1.0081103
0.2540254,-1.0089695
0.2550255,-1.0099597
0.2560256,-1.0108151
0.25702572,-1.0118029
0.25802583,-1.0125856
0.2590259,-1.0132176
0.260026,-1.0141847
0.2610261,-1.0149391
0.26202622,-1.0158478
0.26302633,-1.0167624
0.2640264,-1.0175989
0.2650265,-1.0186114
0.26602662,-1.0194267
0.26702672,-1.0203793
0.2680268,-1.0211781
0.2690269,-1.0218904
0.270027,-1.0228728
0.27102712,-1.0237786
0.27202722,-1.0245056
0.2730273,-1.0253667
0.2740274,-1.0261209
0.2750275,-1.027192
0.27602762,-1.0280119
0.27702773,-1.0288265
0.2780278,-1.0297661
0.2790279,-1.0305423
0.28002802,-1.0311992
0.28102812,-1.0321628
0.28202823,-1.032974
0.2830283,-1.0338106
0.2840284,-1.0347687
0.28502852,-1.03563
0.28602862,-1.0367016
0.2870287,-1.0372589
0.2880288,-1.0383004
0.2890289,-1.0390537
0.29002902,-1.039945
0.29102913,-1.0409535
0.2920292,-1.041677
0.2930293,-1.0423572
0.2940294,-1.0433984
0.29502952,-1.0440812
0.29602963,-1.0450929
0.2970297,-1.0460793
0.2980298,-1.0469013
0.29902992,-1.0477488
0.30003002,-1.0485207
0.30103013,-1.0494034
0.3020302,-1.0502007
0.3030303,-1.0510038
0.30403042,-1.0517765
0.30503052,-1.0528181
0.3060306,-1.0537703
0.3070307,-1.0546918
0.3080308,-1.0552794
0.30903092,-1.0563017
0.31003103,-1.0569497
0.3110311,-1.0578108
0.3120312,-1.058825
0.31303132,-1.0595385
0.31403142,-1.0603025
0.31503153,-1.0611736
0.3160316,-1.0620965
0.3170317,-1.0629964
0.31803182,-1.0639904
0.31903192,-1.0647619
0.320032,-1.0656552
0.3210321,-1.0666549
0.3220322,-1.0673244
0.32303232,-1.0681411
0.32403243,-1.0688534
0.3250325,-1.0699123
0.3260326,-1.0706135
0.32703272,-1.0717417
0.32803282,-1.0724843
0.32903293,-1.0732409
0.330033,-1.0741947
0.3310331,-1.07493
0.33203322,-1.0758333
0.33303332,-1.0768213
0.33403343,-1.0775461
0.3350335,-1.0783188
0.3360336,-1.0790973
0.33703372,-1.0799425
0.33803383,-1.0810499
0.3390339,-1.0818616
0.340034,-1.082778
0.3410341,-1.0836073
0.34203422,-1.0843302
0.34303433,-1.0852033
0.3440344,-1.0860192
0.3450345,-1.0869426
0.34603462,-1.0877177
0.34703472,-1.0886347
0.34803483,-1.0897322
0.3490349,-1.090404
0.350035,-1.0912585
0.35103512,-1.0920156
0.35203522,-1.0930272
0.35303533,-1.093661
0.3540354,-1.0946329
0.3550355,-1.0953938
0.35603562,-1.0962613
0.35703573,-1.0971045
0.3580358,-1.0980632
0.3590359,-1.0988669
0.36003602,-1.0997235
0.36103612,-1.1007333
0.36203623,-1.1016009
0.3630363,-1.1021795
0.3640364,-1.1030264
0.36503652,-1.1038871
0.36603662,-1.104709
0.36703673,-1.1057115
0.3680368,-1.1064756
0.3690369,-1.1074281
0.37003702,-1.1081789
0.37103713,-1.1090292
0.37203723,-1.1098218
0.3730373,-1.1107105
0.3740374,-1.1116496
0.37503752,-1.1124936
0.37603763,-1.1133292
0.3770377,-1.1141058
0.3780378,-1.1149054
0.37903792,-1.1156764
0.38003802,-1.1168239
0.38103813,-1.1175572
0.3820382,-1.1184263
0.3830383,-1.1192174
0.38403842,-1.120003
0.38503852,-1.1207209
0.38603863,-1.1218472
0.3870387,-1.122659
0.3880388,-1.1234212
0.38903892,-1.124467
0.39003903,-1.1253437
0.39103913,-1.126126
0.3920392,-1.1268103
0.39303932,-1.127645
0.39403942,-1.1286813
0.39503953,-1.1295197
0.3960396,-1.1301967
0.3970397,-1.1311587
0.39803982,-1.131731
0.39903992,-1.1325517
0.40004003,-1.1335851
0.4010401,-1.1348131
0.4020402,-1.13556
0.40304032,-1.1364748
0.40404043,-1.1371347
0.40504053,-1.1379144
0.4060406,-1.1385996
0.40704072,-1.139758
0.40804082,-1.1404437
0.40904093,-1.1413274
0.41004103,-1.1423523
0.4110411,-1.1433551
0.41204122,-1.1439865
0.41304132,-1.1446974
0.41404143,-1.1455266
0.4150415,-1.1466261
0.4160416,-1.1473105
0.41704172,-1.1483965
0.41804183,-1.1490792
0.41904193,-1.1498563
0.420042,-1.1506138
0.4210421,-1.151777
0.42204222,-1.1526154
0.42304233,-1.1534706
0.42404243,-1.1543742
0.4250425,-1.1550481
0.42604262,-1.1559155
0.42704272,-1.1568007
0.42804283,-1.1578909
0.42904294,-1.1585542
0.430043,-1.1591456
0.43104312,-1.1603593
0.43204322,-1.1611803
0.43304333,-1.1620321
0.4340434,-1.162848
0.4350435,-1.1639202
0.43604362,-1.1644435
0.43704373,-1.1654587
0.43804383,-1.1661072
0.4390439,-1.1671406
0.44004402,-1.1677126
0.44104412,-1.1688248
0.44204423,-1.1698648
0.44304433,-1.17071
0.4440444,-1.1714115
0.44504452,-1.1724845
0.44604462,-1.1731
0.44704473,-1.1739367
0.44804484,-1.1747919
0.4490449,-1.1759391
0.45004502,-1.1765501
0.45104513,-1.1773775
0.45204523,-1.178423
0.4530453,-1.179504
0.45404541,-1.1800781
0.45504552,-1.1811011
0.45604563,-1.1819997
0.45704573,-1.182724
0.4580458,-1.1837834
0.45904592,-1.1845144
0.46004602,-1.1852555
0.46104613,-1.1861172
0.46204624,-1.187046
0.4630463,-1.1880971
0.46404642,-1.1890541
0.46504653,-1.189932
0.46604663,-1.1907508
0.4670467,-1.1914552
0.4680468,-1.1924378
0.46904692,-1.193233
0.47004703,-1.1943876
0.47104713,-1.1949393
0.4720472,-1.1962113
0.47304732,-1.1971097
0.47404742,-1.1978841
0.47504753,-1.1986771
0.47604764,-1.1996119
0.4770477,-1.2007592
0.47804782,-1.201323
0.47904792,-1.2023789
0.48004803,-1.203028
0.48104814,-1.2041826
0.4820482,-1.2048424
0.48304832,-1.2059937
0.48404843,-1.2070231
0.48504853,-1.2077975
0.4860486,-1.2086154
0.48704872,-1.2096511
0.48804882,-1.2103721
0.48904893,-1.2112097
0.49004903,-1.2124424
0.4910491,-1.213088
0.49204922,-1.2139864
0.49304932,-1.215276
0.49404943,-1.215864
0.49504954,-1.2167475
0.4960496,-1.2176877
0.49704972,-1.2186943
0.49804983,-1.219577
0.49904993,-1.2204792
0.50005,-1.2213618
0.5010501,-1.2222021
0.5020502,-1.223031
0.5030503,-1.2239419
0.50405043,-1.2250285
0.50505054,-1.2259142
0.50605065,-1.2266985
0.50705075,-1.2276664
0.5080508,-1.2284186
0.5090509,-1.2299283
0.510051,-1.2306461
0.5110511,-1.2318246
0.5120512,-1.2322775
0.51305133,-1.2336384
0.51405144,-1.2344112
0.51505154,-1.2352389
0.51605165,-1.2362138
0.5170517,-1.2369621
0.5180518,-1.2379562
0.5190519,-1.2390004
0.520052,-1.2397591
0.5210521,-1.2408811
0.5220522,-1.2415798
0.52305233,-1.2425642
0.52405244,-1.2432703
0.52505255,-1.2447311
0.52605265,-1.2453845
0.5270527,-1.2461189
0.5280528,-1.2471287
0.5290529,-1.2485402
0.530053,-1.2493818
0.5310531,-1.2501297
0.53205323,-1.251378
0.53305334,-1.252265
0.53405344,-1.2530057
0.53505355,-1.2540032
0.5360536,-1.254881
0.5370537,-1.2558892
0.5380538,-1.2565675
0.5390539,-1.2576319
0.540054,-1.2586253
0.5410541,-1.2595127
0.54205424,-1.2605467
0.54305434,-1.2611938
0.54405445,-1.2621443
0.54505455,-1.2630627
0.5460546,-1.2643238
0.5470547,-1.2650517
0.5480548,-1.2659087
0.5490549,-1.2670991
0.550055,-1.2680823
0.55105513,-1.2692325
0.55205524,-1.2699444
0.55305535,-1.271085
0.55405545,-1.2720654
0.5550555,-1.2730043
0.5560556,-1.2738435
0.5570557,-1.2747855
0.5580558,-1.2756807
0.5590559,-1.2766659
0.56005603,-1.2777437
0.56105614,-1.2788095
0.56205624,-1.2793756
0.56305635,-1.2802734
0.56405646,-1.2812023
0.5650565,-1.2820508
0.5660566,-1.2834268
0.5670567,-1.284123
0.5680568,-1.2851379
0.5690569,-1.2859519
0.57005703,-1.2869308
0.57105714,-1.288466
0.57205725,-1.289264
0.57305735,-1.2903154
0.5740574,-1.2911347
0.5750575,-1.2924714
0.5760576,-1.2929689
0.5770577,-1.2941772
0.5780578,-1.2949486
0.57905793,-1.2959845
0.58005804,-1.2967794
0.58105814,-1.298172
0.58205825,-1.2987655
0.58305836,-1.299732
0.5840584,-1.3006003
0.5850585,-1.3014903
0.5860586,-1.3023559
0.5870587,-1.303772
0.5880588,-1.3042227
0.58905894,-1.3053547
0.59005904,-1.3061042
0.59105915,-1.3073344
0.59205925,-1.308552
0.5930593,-1.3095325
0.5940594,-1.3104882
0.5950595,-1.3114196
0.5960596,-1.3123693
0.5970597,-1.31324
0.59805983,-1.3143466
0.59905994,-1.3153677
0.60006005,-1.3161252
0.60106015,-1.3172164
0.60206026,-1.3182706
0.6030603,-1.3193355
0.6040604,-1.3197669
0.6050605,-1.3210106
0.6060606,-1.3216763
0.60706073,-1.3229678
0.60806084,-1.324041
0.60906094,-1.3246284
0.61006105,-1.3258054
0.61106116,-1.3264767
0.6120612,-1.3281538
0.6130613,-1.3290687
0.6140614,-1.3299911
0.6150615,-1.3308486
0.6160616,-1.3319547
0.61706173,-1.3329682
0.61806184,-1.3339052
0.61906195,-1.334611
0.62006205,-1.335667
0.62106216,-1.336761
0.6220622,-1.3375492
0.6230623,-1.3388155
0.6240624,-1.3395375
0.6250625,-1.3403318
0.62606263,-1.341629
0.62706274,-1.3421125
0.62806284,-1.3434024
0.62906295,-1.3445263
0.63006306,-1.3453132
0.6310631,-1.3463345
0.6320632,-1.3470442
0.6330633,-1.3486385
0.6340634,-1.3496475
0.6350635,-1.3509017
0.63606364,-1.3513445
0.63706374,-1.3524747
0.63806385,-1.3536093
0.63906395,-1.3541865
0.640064,-1.3552544
0.6410641,-1.3559886
0.6420642,-1.3573912
0.6430643,-1.3581855
0.6440644,-1.3591613
0.64506453,-1.3600228
0.64606464,-1.3613131
0.64706475,-1.3619848
0.64806485,-1.3629708
0.64906496,-1.3639293
0.650065,-1.3650267
0.6510651,-1.3657751
0.6520652,-1.3668323
0.6530653,-1.3673875
0.65406543,-1.3691776
0.65506554,-1.3702223
0.65606564,-1.371285
0.65706575,-1.3720462
0.65806586,-1.3732297
0.6590659,-1.3740633
0.660066,-1.3746562
0.6610661,-1.3758502
0.6620662,-1.3769753
0.6630663,-1.3778766
0.66406643,-1.3784133
0.66506654,-1.3797479
0.66606665,-1.3809682
0.66706675,-1.3815062
0.66806686,-1.3823972
0.6690669,-1.3835434
0.670067,-1.3844967
0.6710671,-1.3856068
0.6720672,-1.386471
0.67306733,-1.387584
0.67406744,-1.3883281
0.67506754,-1.3898864
0.67606765,-1.3908491
0.67706776,-1.3918538
0.6780678,-1.3924162
0.6790679,-1.3938205
0.680068,-1.3947489
0.6810681,-1.3955542
0.6820682,-1.3965037
0.68306834,-1.3974452
0.68406844,-1.3985872
0.68506855,-1.3996108
0.68606865,-1.4001544
0.68706876,-1.4012803
0.6880688,-1.4022768
0.6890689,-1.4035103
0.690069,-1.4041598
0.6910691,-1.4055011
0.69206923,-1.4063714
0.69306934,-1.4071705
0.69406945,-1.4081228
0.69506955,-1.4092295
0.69606966,-1.4105126
0.6970697,-1.4115627
0.6980698,-1.4126484
0.6990699,-1.4133437
0.70007,-1.4141246
0.70107013,-1.4152434
0.70207024,-1.4161122
0.70307034,-1.4175818
0.70407045,-1.418267
0.70507056,-1.4191496
0.70607066,-1.4204142
0.7070707,-1.4209485
0.7080708,-1.4219428
0.7090709,-1.4229958
0.710071,-1.424396
0.71107113,-1.4255481
