input_value,relevance
0.0,-3.1853843
0.0010001,-3.1850944
0.0020002,-3.184623
0.0030003001,-3.18444
0.0040004,-3.184252
0.0050005,-3.1838205
0.0060006003,-3.1836271
0.0070007006,-3.1833637
0.0080008,-3.183169
0.0090009,-3.1828444
0.010001,-3.182721
0.011001101,-3.1824164
0.012001201,-3.1822429
0.0130013,-3.1817665
0.014001401,-3.1813886
0.015001501,-3.18098
0.0160016,-3.1808488
0.017001702,-3.1805036
0.0180018,-3.1803296
0.019001901,-3.1801288
0.020002,-3.17979
0.0210021,-3.179506
0.022002202,-3.1792388
0.0230023,-3.1788137
0.024002401,-3.1782825
0.025002502,-3.1779869
0.0260026,-3.1776729
0.027002702,-3.1775835
0.028002802,-3.1771507
0.029002901,-3.1768043
0.030003002,-3.1764219
0.0310031,-3.176291
0.0320032,-3.1758678
0.0330033,-3.175598
0.034003403,-3.174995
0.035003502,-3.174751
0.0360036,-3.1743808
0.037003703,-3.1740527
0.038003802,-3.173924
0.0390039,-3.173395
0.040004,-3.1731281
0.041004103,-3.1728117
0.0420042,-3.1725903
0.0430043,-3.1721342
0.044004403,-3.1717746
0.045004502,-3.171155
0.0460046,-3.170873
0.047004703,-3.1705997
0.048004802,-3.1702979
0.0490049,-3.1700058
0.050005004,-3.1696932
0.051005103,-3.1693485
0.0520052,-3.168875
0.053005304,-3.1684325
0.054005403,-3.1681561
0.055005502,-3.1678517
0.056005605,-3.1673465
0.057005703,-3.1670434
0.058005802,-3.1667895
0.0590059,-3.16635
0.060006004,-3.1660526
0.061006103,-3.1655838
0.0620062,-3.165109
0.063006304,-3.1648974
0.0640064,-3.1644967
0.0650065,-3.1643286
0.0660066,-3.1638927
0.0670067,-3.163389
0.068006806,-3.1630812
0.069006905,-3.1627882
0.070007004,-3.1624286
0.0710071,-3.1621354
0.0720072,-3.1617422
0.0730073,-3.1615083
0.07400741,-3.161102
0.075007506,-3.160788
0.076007605,-3.16056
0.0770077,-3.1598847
0.0780078,-3.1597164
0.0790079,-3.1593647
0.080008,-3.159206
0.08100811,-3.1587613
0.082008205,-3.1583622
0.083008304,-3.1580775
0.0840084,-3.1578705
0.0850085,-3.1576169
0.0860086,-3.1572654
0.08700871,-3.1570265
0.088008806,-3.1564243
0.089008905,-3.15618
0.090009004,-3.1557276
0.0910091,-3.155432
0.0920092,-3.1552196
0.09300931,-3.1548452
