input_value,relevance
0.0,-2.8743122
0.0010001,-2.8738627
0.0020002,-2.873264
0.0030003001,-2.8721714
0.0040004,-2.8711548
0.0050005,-2.8704362
0.0060006003,-2.8697486
0.0070007006,-2.8690996
0.0080008,-2.868062
0.0090009,-2.867148
0.010001,-2.8664727
0.011001101,-2.8655572
0.012001201,-2.8648417
0.0130013,-2.8640966
0.014001401,-2.8631377
0.015001501,-2.8624692
0.0160016,-2.8615174
0.017001702,-2.8607128
0.0180018,-2.8598723
0.019001901,-2.8589368
0.020002,-2.8584464
0.0210021,-2.8574772
0.022002202,-2.8564162
0.0230023,-2.8558412
0.024002401,-2.8548548
0.025002502,-2.8538806
0.0260026,-2.8532605
0.027002702,-2.8524652
0.028002802,-2.8518624
0.029002901,-2.8508945
0.030003002,-2.8499687
0.0310031,-2.8493505
0.0320032,-2.8481011
0.0330033,-2.8478112
0.034003403,-2.8467462
0.035003502,-2.845974
0.0360036,-2.8453658
0.037003703,-2.8444989
0.038003802,-2.843686
0.0390039,-2.8426063
0.040004,-2.8419242
0.041004103,-2.8413873
0.0420042,-2.840386
0.0430043,-2.839232
0.044004403,-2.8388286
0.045004502,-2.8378577
0.0460046,-2.8372498
0.047004703,-2.8363438
0.048004802,-2.8354554
0.0490049,-2.8347955
0.050005004,-2.833804
0.051005103,-2.833156
0.0520052,-2.83217
0.053005304,-2.8313055
0.054005403,-2.8307786
0.055005502,-2.8297353
0.056005605,-2.8288877
0.057005703,-2.8282273
0.058005802,-2.8273165
0.0590059,-2.8263638
0.060006004,-2.8257325
0.061006103,-2.8249192
0.0620062,-2.824296
0.063006304,-2.8232388
0.0640064,-2.8223393
0.0650065,-2.8216097
0.0660066,-2.8208494
0.0670067,-2.8200948
0.068006806,-2.8192153
0.069006905,-2.818356
0.070007004,-2.8177497
0.0710071,-2.8166213
0.0720072,-2.8157086
0.0730073,-2.8152533
0.07400741,-2.8143725
0.075007506,-2.8135448
0.076007605,-2.8126166
0.0770077,-2.8117356
0.0780078,-2.811256
0.0790079,-2.8101444
0.080008,-2.8096662
0.08100811,-2.8086648
0.082008205,-2.8077161
0.083008304,-2.807248
0.0840084,-2.806031
0.0850085,-2.8052256
0.0860086,-2.8045108
0.08700871,-2.8037267
0.088008806,-2.8031068
0.089008905,-2.8020284
0.090009004,-2.8013897
0.0910091,-2.8005986
0.0920092,-2.7995732
0.09300931,-2.7990918
0.09400941,-2.7979803
0.095009506,-2.7972167
0.096009605,-2.7965145
0.0970097,-2.795639
0.0980098,-2.7945406
0.0990099,-2.793991
0.10001001,-2.7929988
0.10101011,-2.7925048
0.102010205,-2.7914934
0.103010304,-2.7905917
0.1040104,-2.7898567
0.1050105,-2.7890193
0.10601061,-2.7882874
0.10701071,-2.7874293
0.108010806,-2.7864926
0.109010905,-2.7859015
0.110011004,-2.784865
0.1110111,-2.783999
0.11201121,-2.7834656
0.11301131,-2.7825341
0.11401141,-2.7817538
0.115011506,-2.780767
0.116011605,-2.7798977
0.1170117,-2.7792976
0.1180118,-2.7784529
0.11901191,-2.7775502
0.12001201,-2.7766495
0.12101211,-2.7759933
0.122012205,-2.775101
0.123012304,-2.7744899
0.1240124,-2.77373
0.1250125,-2.7726657
0.12601261,-2.7718663
0.1270127,-2.770999
0.1280128,-2.7700937
0.12901291,-2.769474
0.130013,-2.7688432
0.13101311,-2.7677379
0.1320132,-2.76698
