input_value,relevance
0.0,-2.6941261
0.0010001,-2.6944215
0.0020002,-2.6946535
0.0030003001,-2.6950462
0.0040004,-2.6953666
0.0050005,-2.695822
0.0060006003,-2.6960692
0.0070007006,-2.6963754
0.0080008,-2.696616
0.0090009,-2.6970441
0.010001,-2.6972916
0.011001101,-2.6976604
0.012001201,-2.697899
0.0130013,-2.6981351
0.014001401,-2.6984448
0.015001501,-2.6985648
0.0160016,-2.6989224
0.017001702,-2.6993828
0.0180018,-2.699663
0.019001901,-2.6999495
0.020002,-2.7000842
0.0210021,-2.7003412
0.022002202,-2.7006528
0.0230023,-2.7010226
0.024002401,-2.701219
0.025002502,-2.7015054
0.0260026,-2.7016714
0.027002702,-2.7020328
0.028002802,-2.7023757
0.029002901,-2.7025316
0.030003002,-2.7028384
0.0310031,-2.7029989
0.0320032,-2.7032347
0.0330033,-2.703532
0.034003403,-2.7038126
0.035003502,-2.7039697
0.0360036,-2.7042978
0.037003703,-2.7045686
0.038003802,-2.7046685
0.0390039,-2.7048717
0.040004,-2.705139
0.041004103,-2.7052681
0.0420042,-2.7056608
0.0430043,-2.7058287
0.044004403,-2.7059963
0.045004502,-2.7062037
0.0460046,-2.7064488
0.047004703,-2.7066185
0.048004802,-2.7069118
0.0490049,-2.7070782
0.050005004,-2.7071595
0.051005103,-2.7073526
0.0520052,-2.7077196
0.053005304,-2.707816
0.054005403,-2.7080872
0.055005502,-2.7081919
0.056005605,-2.7083323
0.057005703,-2.7084262
0.058005802,-2.70878
0.0590059,-2.7088196
0.060006004,-2.7091653
0.061006103,-2.709204
0.0620062,-2.7094786
0.063006304,-2.7094767
0.0640064,-2.7097213
0.0650065,-2.7098653
0.0660066,-2.7101133
0.0670067,-2.7101796
0.068006806,-2.710212
0.069006905,-2.7104907
0.070007004,-2.7106488
0.0710071,-2.7108932
0.0720072,-2.7109668
0.0730073,-2.7110631
0.07400741,-2.7111628
0.075007506,-2.7114196
0.076007605,-2.7114503
0.0770077,-2.7117498
0.0780078,-2.7116854
0.0790079,-2.7116926
0.080008,-2.7120085
0.08100811,-2.7120554
0.082008205,-2.7122245
0.083008304,-2.7124085
0.0840084,-2.7124765
0.0850085,-2.7125108
0.0860086,-2.7126877
0.08700871,-2.7127912
0.088008806,-2.7129114
0.089008905,-2.7132041
0.090009004,-2.7132533
0.0910091,-2.7132208
0.0920092,-2.7133987
0.09300931,-2.7134056
0.09400941,-2.713606
0.095009506,-2.7137148
0.096009605,-2.7137733
0.0970097,-2.7137842
0.0980098,-2.7138102
0.0990099,-2.7141478
0.10001001,-2.714102
0.10101011,-2.7142043
0.102010205,-2.7143846
0.103010304,-2.7142918
0.1040104,-2.714368
0.1050105,-2.7145603
0.10601061,-2.7145765
0.10701071,-2.7147636
0.108010806,-2.7147691
0.109010905,-2.7148116
0.110011004,-2.7148578
0.1110111,-2.7148812
0.11201121,-2.7148266
0.11301131,-2.7149882
0.11401141,-2.7150786
0.115011506,-2.714947
0.116011605,-2.7150974
0.1170117,-2.7151666
0.1180118,-2.715359
0.11901191,-2.7153594
0.12001201,-2.715369
0.12101211,-2.715413
0.122012205,-2.7153556
0.123012304,-2.7154427
0.1240124,-2.7156105
0.1250125,-2.7155926
0.12601261,-2.715587
0.1270127,-2.7156804
0.1280128,-2.7156935
0.12901291,-2.7155337
0.130013,-2.71564
0.13101311,-2.7156174
0.1320132,-2.7156932
0.13301331,-2.7156532
0.1340134,-2.715671
0.1350135,-2.7156794
0.13601361,-2.7157776
0.1370137,-2.715822
0.13801381,-2.7158024
0.1390139,-2.715782
0.14001401,-2.71578
0.14101411,-2.715762
0.1420142,-2.7158673
0.14301431,-2.7158318
0.1440144,-2.7158053
0.14501451,-2.7156167
0.1460146,-2.7157304
0.1470147,-2.715751
0.14801481,-2.7157333
0.1490149,-2.7157342
0.15001501,-2.7157671
0.1510151,-2.7155597
0.15201521,-2.7156463
0.1530153,-2.7156632
0.1540154,-2.715654
0.15501551,-2.7156312
0.1560156,-2.7156184
0.15701571,-2.7156005
0.1580158,-2.715579
0.15901591,-2.715493
0.160016,-2.7155159
0.1610161,-2.7155924
0.16201621,-2.7155282
0.1630163,-2.7154348
0.16401641,-2.7153833
0.1650165,-2.7153718
0.16601661,-2.715296
0.16701671,-2.715254
0.1680168,-2.715283
0.16901691,-2.7151282
0.170017,-2.715035
0.17101711,-2.715122
0.1720172,-2.7150986
0.17301731,-2.7150638
0.17401741,-2.715007
0.1750175,-2.714828
0.17601761,-2.7148046
0.1770177,-2.7148032
0.17801781,-2.7147076
0.1790179,-2.7145958
0.18001801,-2.7146032
0.18101811,-2.7145097
0.1820182,-2.7144911
0.18301831,-2.7143848
0.1840184,-2.7142808
0.18501851,-2.714278
0.18601862,-2.7142732
0.1870187,-2.7140856
0.18801881,-2.7140367
0.1890189,-2.7139728
0.19001901,-2.7139719
0.1910191,-2.7139795
0.19201921,-2.713765
0.19301932,-2.713627
0.1940194,-2.7135947
0.19501951,-2.7134778
0.1960196,-2.7134578
0.19701971,-2.7133768
0.1980198,-2.7132614
0.19901991,-2.7130797
0.20002002,-2.7131546
0.2010201,-2.7130249
0.20202021,-2.7129347
0.2030203,-2.7128255
0.20402041,-2.7127893
0.20502052,-2.7126439
0.20602061,-2.712596
0.20702071,-2.7124746
0.2080208,-2.7123697
0.20902091,-2.7122943
0.210021,-2.7122366
0.21102111,-2.7120502
0.21202122,-2.7120087
0.21302131,-2.7118928
0.21402141,-2.7118635
0.2150215,-2.7117817
0.21602161,-2.7118018
0.2170217,-2.711489
0.21802181,-2.7114706
0.21902192,-2.7114027
0.22002201,-2.7112663
0.22102211,-2.7111423
0.2220222,-2.711058
0.22302231,-2.710914
0.22402242,-2.7108793
0.22502251,-2.7107706
0.22602262,-2.7106051
0.22702271,-2.7105
0.22802281,-2.71038
0.2290229,-2.710296
0.23002301,-2.7102113
0.23102312,-2.7101169
0.23202321,-2.7099931
0.23302332,-2.7099981
0.2340234,-2.709695
0.23502351,-2.7096238
0.2360236,-2.70952
0.23702371,-2.7094142
0.23802382,-2.7094266
0.23902391,-2.7092006
0.24002402,-2.709007
0.2410241,-2.7088163
0.24202421,-2.7086833
0.2430243,-2.7087095
0.24402441,-2.7085142
0.24502452,-2.7084563
0.24602461,-2.7082012
0.24702471,-2.7081287
0.2480248,-2.7080796
0.24902491,-2.7079828
0.250025,-2.7078624
0.2510251,-2.7077405
0.25202522,-2.7075732
0.25302532,-2.7074559
0.2540254,-2.7073243
0.2550255,-2.7071888
0.2560256,-2.7070687
0.25702572,-2.7069416
0.25802583,-2.706734
