input_value,relevance
0.0,-1.1998583
0.0010001,-1.1982459
0.0020002,-1.1967263
0.0030003001,-1.1951344
0.0040004,-1.1936057
0.0050005,-1.1920942
0.0060006003,-1.1903539
0.0070007006,-1.1888827
0.0080008,-1.1872808
0.0090009,-1.1856675
0.010001,-1.1841639
0.011001101,-1.1825758
0.012001201,-1.1810678
0.0130013,-1.179469
0.014001401,-1.1778513
0.015001501,-1.1764456
0.0160016,-1.1747124
0.017001702,-1.173159
0.0180018,-1.1716812
0.019001901,-1.1700104
0.020002,-1.1684216
0.0210021,-1.1669586
0.022002202,-1.1653516
0.0230023,-1.1638047
0.024002401,-1.1622244
0.025002502,-1.1606015
0.0260026,-1.1589991
0.027002702,-1.1574183
0.028002802,-1.1559094
0.029002901,-1.1543099
0.030003002,-1.152871
0.0310031,-1.1512223
0.0320032,-1.1494416
0.0330033,-1.1480497
0.034003403,-1.1464347
0.035003502,-1.1448011
0.0360036,-1.1432865
0.037003703,-1.1415323
0.038003802,-1.1401683
0.0390039,-1.1385642
0.040004,-1.1369524
0.041004103,-1.1353332
0.0420042,-1.1338115
0.0430043,-1.1322621
0.044004403,-1.1306196
0.045004502,-1.1290455
0.0460046,-1.1274488
0.047004703,-1.1258463
0.048004802,-1.1242716
0.0490049,-1.122707
0.050005004,-1.1210626
0.051005103,-1.1196275
0.0520052,-1.117905
0.053005304,-1.1163594
0.054005403,-1.114791
0.055005502,-1.1132157
0.056005605,-1.111678
0.057005703,-1.1101254
0.058005802,-1.1083894
0.0590059,-1.1068543
0.060006004,-1.1053258
0.061006103,-1.1037564
0.0620062,-1.1021577
0.063006304,-1.1005808
0.0640064,-1.0989913
0.0650065,-1.0973685
0.0660066,-1.0957866
0.0670067,-1.0941712
0.068006806,-1.0926739
0.069006905,-1.0912038
0.070007004,-1.0895944
0.0710071,-1.0880429
0.0720072,-1.0864725
0.0730073,-1.0849552
0.07400741,-1.0835541
0.075007506,-1.0820452
0.076007605,-1.0804099
0.0770077,-1.0789462
0.0780078,-1.0775188
0.0790079,-1.0760068
0.080008,-1.0745835
0.08100811,-1.0730827
0.082008205,-1.0716423
0.083008304,-1.0702844
0.0840084,-1.0688349
0.0850085,-1.0672846
0.0860086,-1.0659655
0.08700871,-1.0645634
0.088008806,-1.0630906
0.089008905,-1.0617363
0.090009004,-1.0603057
0.0910091,-1.0589229
0.0920092,-1.0576538
0.09300931,-1.0561715
0.09400941,-1.054721
0.095009506,-1.0534685
0.096009605,-1.052007
0.0970097,-1.050725
0.0980098,-1.049312
0.0990099,-1.0479325
0.10001001,-1.0466124
0.10101011,-1.0453069
0.102010205,-1.0439188
0.103010304,-1.0426222
0.1040104,-1.0413071
0.1050105,-1.0400206
0.10601061,-1.0386156
0.10701071,-1.0373745
0.108010806,-1.0359892
0.109010905,-1.0347054
0.110011004,-1.0334994
0.1110111,-1.0320622
0.11201121,-1.0307343
0.11301131,-1.029624
0.11401141,-1.0282911
0.115011506,-1.0269427
0.116011605,-1.0257505
0.1170117,-1.024534
0.1180118,-1.0231763
0.11901191,-1.0219426
0.12001201,-1.0206531
0.12101211,-1.0194123
0.122012205,-1.0182368
0.123012304,-1.0170729
0.1240124,-1.0157094
0.1250125,-1.0144929
0.12601261,-1.0133404
0.1270127,-1.0121735
0.1280128,-1.0107799
0.12901291,-1.0096446
0.130013,-1.0085258
0.13101311,-1.0072688
0.1320132,-1.0060865
0.13301331,-1.0047581
0.1340134,-1.0036412
0.1350135,-1.0024322
0.13601361,-1.0013978
0.1370137,-1.0000728
0.13801381,-0.9987755
0.1390139,-0.99784285
0.14001401,-0.9965486
0.14101411,-0.9954209
0.1420142,-0.99434435
0.14301431,-0.9930952
0.1440144,-0.9918673
0.14501451,-0.9908735
0.1460146,-0.9897274
0.1470147,-0.9886568
0.14801481,-0.9874048
0.1490149,-0.9863575
0.15001501,-0.9851594
0.1510151,-0.98417526
0.15201521,-0.98306787
0.1530153,-0.9818462
0.1540154,-0.980818
0.15501551,-0.979769
0.1560156,-0.9787607
0.15701571,-0.9776963
0.1580158,-0.97657377
0.15901591,-0.9753698
0.160016,-0.9744826
0.1610161,-0.97342646
0.16201621,-0.9723559
0.1630163,-0.9713383
0.16401641,-0.9701888
0.1650165,-0.96915495
0.16601661,-0.9682807
0.16701671,-0.9672102
0.1680168,-0.9661646
0.16901691,-0.96512043
0.170017,-0.96406907
0.17101711,-0.9631319
0.1720172,-0.9622081
0.17301731,-0.96116143
0.17401741,-0.9600394
0.1750175,-0.9591432
0.17601761,-0.9581808
0.1770177,-0.9572673
0.17801781,-0.95634377
0.1790179,-0.9551722
0.18001801,-0.95438063
0.18101811,-0.95334595
0.1820182,-0.9523963
0.18301831,-0.95155156
0.1840184,-0.9506521
0.18501851,-0.9494618
0.18601862,-0.94868994
0.1870187,-0.9477585
0.18801881,-0.9468292
0.1890189,-0.9458963
0.19001901,-0.94491285
0.1910191,-0.9440259
