feature,relevance
0,3.0755525
1,0.38481447
2,0.41388512
3,-2.4186842
4,1.6324261
5,-2.1826851
6,-1.1231115
7,-6.116203
8,-1.2163969
9,-0.057979535
10,-2.3149173
11,-4.963238
12,-1.491889
13,0.6522433
14,1.7759014
15,-2.3576243
16,0.06696828
17,-1.5539228
18,-1.7573438
19,-7.2579055
20,1.9453983
21,2.3095806
22,-2.0691593
23,0.6734757
24,-1.7871152
25,-6.7283387
26,-1.9425371
27,-1.170314
28,3.1710236
29,-2.080659
30,-3.566211
31,-1.3183252
32,-1.128435
33,-2.8761363
34,-6.650306
35,-1.6495095
36,-0.4416192
37,0.5526737
38,-1.6630749
39,3.5077953
40,-0.7426255
41,-0.18656951
42,-2.7506
43,-2.9758484
44,3.3272018
45,-4.8884964
46,-0.99512357
47,-2.0253556
48,-7.2904696
49,0.24876475
50,1.2779887
51,-1.0710377
52,-0.464856
53,-1.5081648
54,-3.5535388
55,-0.022158459
56,0.012778837
57,-7.109458
58,-0.81091535
59,2.4750402
60,1.6058068
61,-0.35316116
62,-1.2093099
63,1.6638758
64,-1.084119
65,-7.092045
66,-2.6135814
67,-5.0838747
68,-0.38947588
69,-0.8872585
70,1.6231041
71,0.26118344
72,-3.4180267
73,-2.0741518
74,-1.1427068
75,-2.3422575
76,-1.8278568
77,1.4531263
78,-6.9521017
79,-0.670067
80,-0.22205253
81,1.8888471
82,2.2582114
83,-6.2983975
84,-1.2713984
85,2.0851078
86,-0.80019575
87,0.2509802
88,-1.5736862
89,-1.8681763
90,-1.9493173
91,-1.5905102
92,-7.060784
93,-1.5344332
94,-1.9416016
95,0.43475473
96,3.3792946
97,-4.0271635
98,-2.7006502
99,-1.1626793
