feature,relevance
0,3.1780236
1,0.8037844
2,0.42769942
3,-2.1898086
4,1.6428229
5,-1.8792373
6,-0.79278916
7,-6.1513944
8,-5.237633
9,0.07162074
10,-2.1805277
11,-4.7705655
12,-1.4403268
13,0.8360142
14,1.7436736
15,-2.0987697
16,-3.9967294
17,-1.5134903
18,-1.5702972
19,-7.589883
20,2.1784983
21,2.4470997
22,-1.8506354
23,0.9671811
24,-6.040292
25,-7.096585
26,-1.6460563
27,-0.95038855
28,3.187361
29,-2.4292789
30,-3.8702483
31,-1.1022278
32,-5.3758607
33,-2.162645
34,-7.1135507
35,-1.3408085
36,-0.23637357
37,0.7381177
38,-1.4135672
39,3.4160824
40,-0.23489815
41,-4.3546205
42,-2.2908554
43,-3.2402453
44,3.150765
45,-4.758428
46,-0.8804052
47,-1.8858329
48,-7.5456038
49,0.65742505
50,1.2377216
51,-5.168893
52,-0.6316149
53,-1.4038502
54,-3.6031363
55,0.4977121
56,0.52285403
57,-7.418113
58,-0.45020565
59,2.35255
60,1.8959773
61,0.044834368
62,-1.5755552
63,1.8469976
64,-0.69583654
65,-7.1373763
66,-2.2065325
67,-5.214537
68,-0.17247081
69,-5.044075
70,-2.597696
71,0.30208904
72,-3.029613
73,-1.5278181
74,-1.3638878
75,-2.5717297
76,-2.0001216
77,1.5464488
78,-7.297804
79,-0.6644816
80,-0.28878897
81,2.145969
82,2.379327
83,-6.3698535
84,-1.6226948
85,2.190509
86,-0.70932513
87,-4.0044847
88,-1.40575
89,-1.796866
90,-1.769126
91,-1.3604316
92,-7.8428473
93,-0.9109551
94,-1.3421365
95,0.5017594
96,3.5935662
97,-3.8403172
98,-2.6493442
99,-5.4853973
