feature,relevance
0,2.8504572
1,1.8523346
2,1.0931237
3,-0.9297287
4,0.7229843
5,-0.9043951
6,0.92883724
7,-1.158918
8,1.4918199
9,0.4121994
10,-1.0910752
11,-2.7409456
12,-1.6523323
13,1.104093
14,1.0235991
15,-0.7095208
16,2.5071661
17,-0.9029709
18,-0.12630336
19,-2.56153
20,1.8251883
21,2.7444158
22,-0.028152578
23,1.9975591
24,0.8376791
25,-1.8454783
26,-0.84989184
27,-0.4171043
28,2.2656515
29,-0.66950595
30,-1.6299522
31,0.07050578
32,1.4668036
33,-0.7234782
34,-1.9808319
35,-0.4566958
36,-0.5813327
37,0.98859394
38,-1.0022056
39,2.8385007
40,-0.15736113
41,2.267937
42,-1.2191213
43,-1.697478
44,2.352724
45,-2.6372907
46,0.36719847
47,-2.1224654
48,-2.660682
49,1.0994972
50,2.5613642
51,1.5894892
52,-0.56136286
53,-0.8127556
54,-1.3543322
55,0.4724099
56,1.2310549
57,-2.3904598
58,0.8064493
59,1.6388414
60,2.1150594
61,0.65797734
62,-1.0283723
63,0.9018816
64,0.5865948
65,-2.4367335
66,-2.3834755
67,-2.8263466
68,0.9979197
69,1.5795184
70,3.5845463
71,0.2244245
72,-1.1139715
73,-0.8504471
74,-0.87723196
75,-1.0581014
76,-0.47457924
77,0.577031
78,-2.086097
79,-0.21539949
80,0.1717704
81,1.8313992
82,2.8641665
83,-1.3185182
84,0.0042120256
85,1.4758959
86,1.2079074
87,2.4969041
88,-0.115225315
89,-0.8907976
90,-0.8631569
91,-1.0132911
92,-2.5311463
93,-1.0246273
94,-1.592703
95,1.9365165
96,2.8010838
97,-1.790782
98,-1.0285842
99,1.174469
