feature,relevance
0,-1.085664
1,-2.303196
2,-2.5445602
3,1.361774
4,-0.8956809
5,-1.7974452
6,-0.92362237
7,-3.7923052
8,-2.5922105
9,-3.774378
10,0.07101848
11,-1.6754154
12,1.121366
13,-0.08519811
14,-3.2854614
15,-0.5729751
16,-2.3871644
17,-1.1810066
18,-0.4316936
19,-2.274504
20,0.7711283
21,-0.4534078
22,-0.9460267
23,-3.6858213
24,-1.7954562
25,-2.453513
26,1.1319326
27,2.0020003
28,-0.73925626
29,-3.9072957
30,-3.568636
31,0.984265
32,-2.9263115
33,1.8963397
34,-3.7614188
35,0.88747174
36,-0.803901
37,-1.986885
38,-1.9784461
39,-2.1862638
40,0.6504372
41,-2.4754837
42,-0.69070303
43,-2.4211655
44,1.9116921
45,1.383868
46,-0.26030254
47,-1.8240923
48,-2.3355913
49,0.20350549
50,-1.7896273
51,-0.9271076
52,-2.205551
53,1.2698638
54,0.264932
55,-0.43994415
56,0.91250885
57,-1.7957138
58,-1.7409477
59,0.8424796
60,-0.7884644
61,0.12321575
62,-0.7726631
63,-0.9458262
64,-3.8266823
65,-1.1494839
66,-3.841319
67,-3.4040222
68,-2.7284534
69,1.9321237
70,0.58954805
71,-0.6861052
72,0.319119
73,1.8675004
74,-1.8679546
75,-3.6469696
76,-0.7885078
77,0.93995625
78,-0.8187055
79,0.38483572
80,1.4347821
81,0.90088546
82,-1.6457841
83,-0.0016495053
84,-0.29427657
85,-0.31353462
86,0.3348466
87,0.9981689
88,-3.5817196
89,-0.6413359
90,-2.5332417
91,-1.0184702
92,1.8918394
93,-0.5533284
94,-2.524095
95,-2.1851163
96,-1.7903727
97,0.6913656
98,-0.3087389
99,-0.38505968
