feature,relevance
0,0.351291
1,-0.82740974
2,-1.0531178
3,2.7415423
4,0.5563091
5,-0.34533235
6,0.51026446
7,-2.4039838
8,-1.1242
9,-2.3835583
10,1.4594512
11,-0.21254873
12,2.4697933
13,1.3470869
14,-1.8738596
15,0.85960805
16,-0.9014525
17,0.2834145
18,0.9946786
19,-0.7691814
20,2.1765316
21,0.9546897
22,0.52033955
23,-2.2632327
24,-0.31998315
25,-0.9616791
26,2.516379
27,3.320404
28,0.6839776
29,-2.5008252
30,-2.1300998
31,2.401167
32,-1.4634417
33,3.2522132
34,-2.3380105
35,2.2382863
36,0.6553906
37,-0.5318943
38,-0.52500254
39,-0.70048213
40,2.0342
41,-0.98131007
42,0.72428596
43,-0.9456839
44,3.2868454
45,2.7520428
46,1.1675878
47,-0.3489486
48,-0.8704056
49,1.6299419
50,-0.29185557
51,0.5039808
52,-0.7253178
53,2.6249816
54,1.6695162
55,0.98356885
56,2.2901847
57,-0.31401017
58,-0.25544503
59,2.230894
60,0.6335756
61,1.5531937
62,0.63522875
63,0.48040196
64,-2.4352055
65,0.2975528
66,-2.4419494
67,-1.9550567
68,-1.2777084
69,3.3029103
70,1.9820765
71,0.7555016
72,1.7140812
73,3.234225
74,-0.4148977
75,-2.2215893
76,0.6582742
77,2.3093576
78,0.6081856
79,1.7686427
80,2.818997
81,2.2567172
82,-0.19975632
83,1.4311248
84,1.1099488
85,1.113057
86,1.7515416
87,2.3780603
88,-2.1760647
89,0.78193516
90,-1.0201972
91,0.39741707
92,3.2732437
93,0.88347757
94,-1.0335149
95,-0.72431016
96,-0.34769896
97,2.0777612
98,1.0946025
99,1.0661958
