feature,relevance
0,-0.6092675
1,-1.970952
2,-2.215792
3,2.129295
4,-0.3751645
5,-1.4281756
6,-0.468858
7,-3.617478
8,-2.2788744
9,-3.6192596
10,0.6940686
11,-1.2599483
12,1.8411195
13,0.50409144
14,-3.0785108
15,-0.01672066
16,-2.0673864
17,-0.7147808
18,0.16070555
19,-1.9324743
20,1.4937123
21,0.111856505
22,-0.44217998
23,-3.4662619
24,-1.439666
25,-2.144501
26,1.8747385
27,2.81247
28,-0.22973877
29,-3.749368
30,-3.3263526
31,1.7200769
32,-2.6271088
33,2.6780758
34,-3.565689
35,1.5802863
36,-0.2984611
37,-1.6319494
38,-1.6062373
39,-1.8053802
40,1.3297846
41,-2.1305468
42,-0.17816806
43,-2.1095197
44,2.7114677
45,2.1419084
46,0.3370549
47,-1.4579484
48,-2.0119784
49,0.84589624
50,-1.3398864
51,-0.4370722
52,-1.8397673
53,2.0207045
54,0.92028713
55,0.13083506
56,1.6273558
57,-1.4335206
58,-1.3434331
59,1.5514646
60,-0.28249845
61,0.76417905
62,-0.26655594
63,-0.47956067
64,-3.6528192
65,-0.6749742
66,-3.674162
67,-3.1763887
68,-2.401408
69,2.7284665
70,1.2764323
71,-0.18000305
72,0.9526126
73,2.6354659
74,-1.4891368
75,-3.461345
76,-0.28193045
77,1.6648132
78,-0.31788632
79,1.036534
80,2.1923149
81,1.6058465
82,-1.2742126
83,0.623738
84,0.2714606
85,0.26904464
86,1.0115252
87,1.7126043
88,-3.3933835
89,-0.12045929
90,-2.214107
91,-0.5370067
92,2.7042716
93,-0.012635663
94,-2.2272422
95,-1.8484354
96,-1.4173393
97,1.3827223
98,0.25320536
99,0.17356756
