feature,relevance
0,-0.10051422
1,-0.4299677
2,-0.14911461
3,0.41180655
4,0.089994155
5,0.5481534
6,1.0486428
7,0.63586384
8,0.022784745
9,0.6017367
10,-0.6614352
11,0.61156833
12,-0.03980278
13,-0.6144078
14,-0.47504342
15,1.0628678
16,0.08984854
17,0.05007448
18,-0.23189424
19,-1.0375041
20,0.59336007
21,-0.83310217
22,-0.011822007
23,-1.5293206
24,-0.10263978
25,0.17693394
26,0.5648267
27,-0.62074816
28,0.60046875
29,0.4066776
30,-0.21488906
31,0.5270325
32,0.79379094
33,-0.86062694
34,0.96687645
35,-0.33213502
36,-0.040103044
37,1.1165766
38,0.5443748
39,0.70517117
40,1.038219
41,0.59621376
42,-0.0401631
43,-1.1208751
44,0.19209218
45,0.5501599
46,0.22904758
47,0.6659916
48,-0.36731064
49,0.37424102
50,0.28473768
51,-1.2152045
52,0.022650395
53,0.3092887
54,-0.51271814
55,1.4659865
56,-0.13426803
57,0.3436395
58,-1.1164412
59,0.09204284
60,-0.6502176
61,-0.6847096
62,0.40243986
63,1.0345203
64,0.6802922
65,0.5219255
66,0.3930053
67,-0.023684891
68,0.044189107
69,1.065437
70,1.7556043
71,0.67034435
72,0.20664251
73,-0.7328092
74,-1.0212198
75,-0.8087652
76,-0.39028805
77,0.76735574
78,-0.074001715
79,-1.3792747
80,0.264016
81,-0.1011537
82,0.75730973
83,-0.19254193
84,-0.38438356
85,0.9528359
86,0.48126033
87,1.128532
88,0.47004345
89,-0.63801366
90,0.7957321
91,0.53121364
92,-0.1316217
93,-0.9212016
94,0.2653426
95,0.28132558
96,0.3992492
97,0.32734492
98,1.2192309
99,0.3477082
