feature,relevance
0,2.650261
1,0.3041097
2,0.33975396
3,-2.4644525
4,1.1128004
5,-2.110127
6,-1.1864507
7,-6.3030133
8,-1.1323278
9,-0.20748779
10,-2.2528129
11,-4.6098523
12,-1.5499249
13,0.40287247
14,1.4963493
15,-2.2617512
16,0.06796355
17,-1.477792
18,-1.8363229
19,-7.4552
20,1.5878668
21,1.9461503
22,-1.8307745
23,0.47838902
24,-1.909951
25,-6.825075
26,-1.8596989
27,-1.0235076
28,2.6168568
29,-2.289934
30,-3.9984868
31,-1.3722022
32,-1.0849842
33,-2.2338967
34,-7.145866
35,-1.5765988
36,-0.68632543
37,0.48523962
38,-1.459791
39,3.0478678
40,-0.50676006
41,-0.24752754
42,-2.4335022
43,-2.6810813
44,2.589942
45,-4.800624
46,-1.1698976
47,-2.177079
48,-7.7606044
49,0.24754971
50,1.119442
51,-0.98792464
52,-0.7014943
53,-1.7608483
54,-3.391715
55,-0.1740604
56,0.27035043
57,-7.360528
58,-0.45716769
59,2.0600655
60,1.4715049
61,-0.35733986
62,-1.5503407
63,1.299972
64,-0.7829818
65,-7.3948455
66,-2.3596344
67,-4.5991135
68,-0.53491485
69,-0.9974668
70,1.2699554
71,0.44381833
72,-3.1290011
73,-1.9556466
74,-1.5607231
75,-2.6701255
76,-1.9429145
77,1.050585
78,-7.215896
79,-0.8035725
80,-0.59612846
81,1.6665958
82,1.980084
83,-6.483954
84,-1.4815693
85,1.8735222
86,-1.0361036
87,-0.039243057
88,-1.6101348
89,-2.0890064
90,-2.4027863
91,-1.739377
92,-7.520505
93,-1.5162547
94,-1.4781055
95,0.39259386
96,3.0658937
97,-3.7372909
98,-2.512587
99,-1.5492647
