feature,relevance
0,2.3620727
1,0.105157435
2,0.005585918
3,-2.6783535
4,4.813365
5,-2.3863251
6,-1.4910282
7,-6.134371
8,-1.5011123
9,-0.5724096
10,-2.5100274
11,-4.825511
12,-1.9551668
13,0.12685633
14,5.1748004
15,-2.6230876
16,-0.33936518
17,-1.8741623
18,-2.0019655
19,-7.151077
20,1.2969743
21,1.8893465
22,-2.2949276
23,0.16454239
24,-2.1434054
25,-6.515715
26,-2.3489268
27,-1.7715017
28,6.196635
29,-2.4640822
30,-3.9278202
31,-1.628779
32,-1.3124486
33,-2.5489423
34,-6.787559
35,-1.8546288
36,-0.92974627
37,-0.024304992
38,-1.8129704
39,6.885472
40,-0.997105
41,-0.68415034
42,-2.758537
43,-3.0257332
44,6.3048534
45,-4.807774
46,-1.4236208
47,-2.3883035
48,-7.153893
49,-0.028901583
50,0.7467886
51,-1.2957326
52,-1.1950927
53,-1.8481654
54,-3.6165335
55,-0.38535208
56,-0.2512764
57,-6.9062924
58,-1.0612959
59,5.747286
60,1.3932675
61,-0.7345644
62,-1.8641251
63,5.056419
64,-1.1437875
65,-7.253397
66,-2.7248125
67,-5.1117053
68,-0.8685046
69,-1.3135782
70,1.1022962
71,-0.23888485
72,-3.4022555
73,-2.2543445
74,-1.9752284
75,-2.8312912
76,-2.264903
77,4.5875697
78,-7.0485344
79,-1.2500623
80,-0.9595429
81,1.453617
82,1.6830537
83,-6.13741
84,-1.8996644
85,5.4370627
86,-1.0847217
87,-0.15671499
88,-1.9835078
89,-2.2944674
90,-2.3232493
91,-1.8749034
92,-7.2649283
93,-1.9278134
94,-2.1490343
95,-0.08383245
96,6.9882207
97,-4.0691943
98,-2.9892457
99,-1.7293543
