feature,relevance
0,1.0509788
1,0.14527969
2,-0.67788
3,-2.7424777
4,-1.189694
5,-2.7830822
6,-0.9471678
7,-3.1482983
8,-1.4981419
9,-1.422044
10,-2.9403255
11,-4.5538907
12,-3.4507744
13,-0.7763229
14,-0.84736776
15,-2.82879
16,-0.21092248
17,-2.759535
18,-2.1348665
19,-4.5605655
20,0.04764013
21,0.9810421
22,-1.8297141
23,0.1582845
24,-2.1370087
25,-3.7220273
26,-2.7713802
27,-2.6407611
28,0.42235345
29,-2.645614
30,-3.5834346
31,-1.6609313
32,-1.3119923
33,-2.8294094
34,-3.8500562
35,-2.3208869
36,-2.4894063
37,-0.75716835
38,-2.7263386
39,1.0113331
40,-1.9660505
41,-0.5903206
42,-3.034079
43,-3.5160592
44,0.47606862
45,-4.5356717
46,-1.5209149
47,-4.117742
48,-4.424325
49,-0.83886254
50,0.6854517
51,-1.2700735
52,-2.745029
53,-2.8280787
54,-3.3646193
55,-1.2386775
56,-0.5030386
57,-4.247011
58,-1.0589248
59,-0.13783956
60,0.44517958
61,-1.1090562
62,-2.7343724
63,-0.9157043
64,-1.2022128
65,-4.503543
66,-4.305433
67,-4.636698
68,-0.93500835
69,-1.2347683
70,1.0229968
71,-1.6397527
72,-2.959498
73,-2.7352679
74,-2.8678083
75,-3.1330602
76,-2.4384253
77,-1.3133641
78,-4.291573
79,-2.1205974
80,-1.8904887
81,0.043918177
82,0.88640827
83,-3.26359
84,-1.9979665
85,-0.34785563
86,-0.5716402
87,-0.11196351
88,-2.1935422
89,-2.79053
90,-2.802807
91,-2.8646266
92,-4.6592345
93,-2.7619965
94,-3.687785
95,-0.009396851
96,1.0252165
97,-3.8871098
98,-3.0428648
99,-1.65104
