feature,relevance
0,2.6666262
1,1.7349446
2,0.97113305
3,-0.72153395
4,1.2398409
5,-0.9108014
6,0.81608224
7,-1.1354603
8,0.4101019
9,0.3596899
10,-0.91919017
11,-2.336407
12,-1.4227643
13,0.99267346
14,1.4792573
15,-0.84281963
16,1.4951817
17,-0.7939322
18,-0.23198648
19,-2.2785106
20,1.6392093
21,2.582932
22,-0.052384704
23,1.8351314
24,-0.16534504
25,-1.6757032
26,-0.71568644
27,-0.43844014
28,2.4289222
29,-0.6530687
30,-1.60549
31,0.09504916
32,0.49452078
33,-0.81670666
34,-1.8640976
35,-0.40468812
36,-0.5814656
37,0.91620106
38,-0.7831261
39,2.8832395
40,-0.05175195
41,1.1938558
42,-1.0841191
43,-1.4398583
44,2.5811381
45,-2.303091
46,0.34341705
47,-1.979831
48,-2.3864517
49,1.0386528
50,2.3429012
51,0.50891525
52,-0.5529403
53,-0.8508488
54,-1.3120661
55,0.61954665
56,1.2627566
57,-2.2125714
58,0.79515713
59,1.9248581
60,1.8959115
61,0.72489434
62,-0.7932378
63,1.2698972
64,0.7246525
65,-2.3566916
66,-2.0575054
67,-2.3968463
68,0.8395173
69,0.5648228
70,2.606238
71,0.30941385
72,-0.98239523
73,-0.7935017
74,-0.82291824
75,-0.9800842
76,-0.54070514
77,1.0937293
78,-2.0054884
79,-0.231169
80,-0.10551879
81,1.7755251
82,2.6086104
83,-1.2888999
84,-0.06967166
85,1.6859548
86,1.0520663
87,1.466378
88,-0.19851218
89,-0.7569795
90,-0.8269552
91,-0.82709676
92,-2.3419893
93,-0.93992054
94,-1.4067175
95,1.6730356
96,2.8707337
97,-1.6596277
98,-1.0253112
99,0.07733649
