feature,relevance
0,2.572908
1,1.7482703
2,0.87787277
3,-1.3254795
4,0.43496573
5,-1.321996
6,0.6231128
7,-1.7750108
8,0.121877186
9,-0.03548983
10,-1.6743994
11,-3.0227842
12,-1.9150417
13,0.75007445
14,0.75971633
15,-1.4715393
16,1.382817
17,-1.2757204
18,-0.6061632
19,-3.1239142
20,1.5936123
21,2.644235
22,-0.3947496
23,1.7243581
24,-0.596053
25,-2.408559
26,-1.2359989
27,-1.057615
28,2.1320505
29,-1.2955699
30,-2.4584246
31,-0.08344629
32,0.20180583
33,-1.2367513
34,-2.4034162
35,-0.86852604
36,-0.9473604
37,0.6290683
38,-1.462433
39,2.6177876
40,-0.7644712
41,0.9220833
42,-1.3720442
43,-2.1795325
44,2.1415882
45,-3.163797
46,0.2203053
47,-2.7074063
48,-3.0886402
49,0.6905036
50,2.4372191
51,0.15951282
52,-1.0857639
53,-1.4826539
54,-1.8624315
55,0.297296
56,0.9021417
57,-2.8159285
58,0.5589513
59,1.3839747
60,2.0129092
61,0.534292
62,-1.3544284
63,0.5101481
64,0.4425944
65,-3.0963593
66,-2.7275715
67,-3.0607896
68,0.53391445
69,0.23823637
70,2.6336842
71,-0.0113626495
72,-1.5356431
73,-1.2973887
74,-1.2634187
75,-1.7718604
76,-1.0299134
77,0.20815906
78,-2.6979084
79,-0.6428423
80,-0.60853034
81,1.6032002
82,2.6471686
83,-1.8383235
84,-0.4219622
85,1.1416444
86,0.9226333
87,1.3876421
88,-0.7700932
89,-1.2495798
90,-1.4902146
91,-1.324203
92,-3.186923
93,-1.3771939
94,-1.9784933
95,1.6413345
96,2.6518693
97,-2.367799
98,-1.5097117
99,-0.22290811
