feature,relevance
0,-0.86546046
1,-2.1426773
2,-2.3627338
3,1.5030661
4,-0.7273249
5,-1.6590724
6,-0.7594919
7,-3.7504077
8,-2.461269
9,-3.6639585
10,0.21733272
11,-1.5404673
12,1.3083247
13,0.08457497
14,-3.2638953
15,-0.39952067
16,-2.2041912
17,-1.0537342
18,-0.33494285
19,-2.152328
20,0.9533499
21,-0.3372778
22,-0.8089002
23,-3.6451077
24,-1.716051
25,-2.2485824
26,1.2427702
27,2.0204382
28,-0.5500664
29,-3.7257984
30,-3.300424
31,1.1659327
32,-2.779168
33,2.063475
34,-3.7557912
35,1.0144838
36,-0.68231016
37,-1.8234348
38,-1.6873214
39,-1.9419092
40,0.8395457
41,-2.3220325
42,-0.6263504
43,-2.351772
44,2.0662847
45,1.5217513
46,-0.12968239
47,-1.6996133
48,-2.2019918
49,0.36997148
50,-1.6763593
51,-0.7959221
52,-2.0403147
53,1.3769687
54,0.37373495
55,-0.35014486
56,1.0940298
57,-1.6375062
58,-1.5881913
59,1.0415331
60,-0.6105614
61,0.24248715
62,-0.6505881
63,-0.8457683
64,-3.7334983
65,-0.95831513
66,-3.6813455
67,-3.279595
68,-2.4843514
69,2.0008132
70,0.8161527
71,-0.5590515
72,0.4117762
73,2.0039535
74,-1.6402254
75,-3.5499525
76,-0.6020164
77,1.1175538
78,-0.76033163
79,0.53803825
80,1.534342
81,0.98442614
82,-1.4186031
83,0.06360372
84,-0.11387411
85,-0.16177668
86,0.5447908
87,1.0991297
88,-3.3881204
89,-0.61196625
90,-2.297052
91,-0.8530598
92,2.0718467
93,-0.36587033
94,-2.3807588
95,-2.0392196
96,-1.6276424
97,0.8564479
98,-0.17452991
99,-0.1614441
