feature,relevance
0,1.8086556
1,-1.2904204
2,-1.4780515
3,2.4597967
4,0.20798497
5,-0.77224565
6,0.13840814
7,-2.8552601
8,-1.5028075
9,-2.79307
10,1.165208
11,-0.59630585
12,4.196965
13,0.968252
14,-2.3248153
15,0.5596212
16,-1.3526092
17,-0.124776445
18,0.5951434
19,-1.2589123
20,1.9273776
21,0.55596507
22,0.19925433
23,-2.7655618
24,-0.752809
25,0.25737768
26,2.1731386
27,3.0249019
28,0.35313162
29,-2.7720687
30,-2.3643494
31,2.1080964
32,-1.8534769
33,4.9746737
34,-2.8323014
35,2.007
36,0.22615728
37,-0.8945821
38,-0.7827189
39,-1.0071423
40,1.7687135
41,-1.4674717
42,0.3227174
43,0.2475653
44,3.0067868
45,2.4345658
46,0.7808397
47,-0.82770246
48,-1.321977
49,1.2941288
50,-0.73006743
51,0.17605446
52,-1.0760708
53,2.2688718
54,1.3146341
55,0.57166374
56,3.9965942
57,-0.7072986
58,-0.66817707
59,1.9776471
60,2.1599705
61,1.1444261
62,0.26327017
63,0.039818045
64,-2.796498
65,-0.051095802
66,-2.7140718
67,-2.4365568
68,-1.5694449
69,3.0464432
70,1.6911432
71,0.29694095
72,1.3437256
73,2.9381769
74,-0.81410336
75,-2.6218867
76,0.27197176
77,4.0462513
78,0.20478748
79,1.4722518
80,2.4991007
81,3.9161625
82,-0.5370816
83,0.9929457
84,0.7579727
85,0.80923474
86,1.4583691
87,1.9828248
88,-2.4701355
89,0.3932525
90,-1.3693635
91,0.053555842
92,4.97226
93,0.56293565
94,-1.4911212
95,-1.0535274
96,-0.7263404
97,1.7596892
98,0.7123989
99,0.73039556
