feature,relevance
0,-0.2008088
1,-1.5102882
2,-5.4613233
3,2.3031483
4,-0.22273807
5,-1.1223797
6,-0.17445482
7,-4.133436
8,-2.1215665
9,-3.8876982
10,0.95434713
11,-1.177424
12,2.1181567
13,0.74283874
14,-3.4339533
15,0.2720616
16,-1.5689402
17,-0.3997101
18,-3.2503412
19,-1.6860923
20,1.7425612
21,0.43525177
22,-0.14361812
23,-3.9329145
24,-1.3156182
25,-1.8069215
26,2.0185611
27,0.46437457
28,0.11829238
29,-3.993663
30,-3.3932726
31,1.9338976
32,-2.4457004
33,2.869939
34,-4.127324
35,1.7323226
36,-0.119758606
37,-1.2898382
38,-4.780039
39,-1.6673511
40,1.5853127
41,-1.6711047
42,-0.040479816
43,-1.8394479
44,2.8691838
45,2.2685995
46,0.5468602
47,-4.7795534
48,-1.7881737
49,1.1215246
50,-1.2084498
51,-0.24678713
52,-1.8629369
53,2.1749256
54,1.1208886
55,0.28085765
56,1.8458283
57,-1.0995727
58,-1.0842651
59,-1.3889177
60,0.0752353
61,0.960432
62,-3.635167
63,-0.2229277
64,-4.0298038
65,-0.39804798
66,-3.890961
67,-3.3682144
68,-2.3481863
69,2.8182242
70,1.550506
71,0.106175974
72,1.1414827
73,2.7777493
74,-4.808035
75,-3.8506558
76,0.07556054
77,1.9025594
78,-0.1355107
79,1.2997173
80,-0.48011425
81,1.8033136
82,-0.9061955
83,0.8338247
84,0.5599246
85,0.52520144
86,1.3160968
87,1.8603076
88,-3.6324513
89,0.024672618
90,-2.228246
91,-0.13235399
92,2.8398592
93,-3.2879453
94,-2.2286112
95,-1.633596
96,-1.2946295
97,1.6322908
98,0.51519775
99,0.4693187
