position,examination
0,-0.72981143
1,1.924271
2,-0.6338106
3,1.9669783
4,-0.8514311
5,-1.7382418
6,-0.8144256
7,-0.7438858
8,1.9919177
9,-0.55281377
10,-0.6918215
11,-1.0146775
12,1.3156582
13,-0.88803905
14,-0.7427683
15,2.0169199
16,-0.4782317
17,-0.76495343
18,2.060152
19,-1.230442
20,-0.69753355
21,-1.0593543
22,1.8278906
23,1.2949002
24,-0.33231586
25,-0.44015226
26,0.5257833
27,2.261745
28,2.1002045
29,3.054101
30,-0.7051272
31,-0.7382701
32,1.6789389
33,-0.39844504
34,-0.9392507
35,1.3893319
36,-0.9950713
37,1.0276053
38,2.2048364
39,-2.002089
40,-3.198582
41,1.9879085
42,-0.4182536
43,-0.80996305
44,2.6434329
45,-1.4691415
46,1.113555
47,-0.49870682
48,2.8054302
49,-0.72996914
50,-1.0672817
51,-0.8145529
52,1.2269917
53,-1.2487357
54,1.8992977
55,-0.55445224
56,-0.65314204
57,-1.12993
58,3.4728951
59,1.4352251
60,1.2307863
61,-0.57184845
62,-0.697476
63,4.0489316
64,-0.83640933
65,-0.7853088
66,-1.5741898
67,-0.5861712
68,-0.83313596
69,-0.85661757
70,0.48381352
71,0.46502993
72,-0.74928236
73,-2.444652
74,-0.87600386
75,-1.0711796
76,-0.3782595
77,-0.61156946
78,-2.843241
79,-0.5221198
80,-0.6936294
81,-0.73550135
82,-0.11915444
83,-0.46845448
84,1.1835458
85,-1.4753948
86,-0.58643097
87,-0.6970414
88,1.797168
89,2.331
90,-1.183397
91,2.1486633
92,1.3645191
93,-0.9523774
94,3.0504155
95,-2.8048792
96,-0.59416103
97,-0.43977734
98,-0.71026015
99,-0.42457497
100,-0.8078993
101,-1.1999894
102,-1.3838885
103,3.0852137
104,-0.37788066
105,-1.34192
106,1.9627622
107,-1.5406449
108,-1.0301349
109,-3.001408
110,1.5682799
111,2.6691787
112,1.8754169
113,-3.224165
114,0.5391309
115,-0.73160565
116,-1.1431779
117,-1.0876534
118,-0.73095185
119,-0.9858816
120,1.2616789
121,-0.4297234
122,-0.811765
123,-1.3464509
124,-0.4296865
125,-1.1180984
126,-0.52446806
127,-0.53608805
128,-1.1923018
129,-0.8221118
130,-1.1354533
131,-0.54758364
132,-0.56230056
133,1.9012686
134,0.03457035
135,-2.6479032
136,-2.5583143
137,-2.0621748
138,-2.860475
139,-1.2749817
140,-3.7353942
141,1.7281901
142,0.93851316
143,-0.47635868
144,2.480915
145,-0.21205139
146,1.6725742
147,1.9332184
148,-2.804903
149,-0.47972086
150,-0.5998409
151,-1.1451391
152,-0.7619374
153,0.03518436
154,-0.6441631
155,-1.8041921
156,2.386182
157,-1.4461842
158,0.5193034
159,1.055277
160,-0.30296952
161,1.3047171
162,2.1012094
163,-1.3801088
164,2.5829318
165,-0.67845994
166,-1.0053374
167,-1.8598691
168,-1.7300233
169,-2.9900935
170,-0.5696178
171,-0.8889714
172,-1.8106871
173,-0.8949763
174,-1.5977076
175,1.4697299
176,-0.8615748
177,1.9107232
178,-0.5822204
179,-0.5980178
180,-0.92756754
181,3.0711765
182,-1.3273643
183,-0.65615404
184,-1.0539466
185,-3.011995
186,1.7349472
187,-1.7544242
188,0.23577558
189,2.4773655
190,-1.0533539
191,-0.8836571
192,-2.776024
193,-2.5771093
194,-2.0157878
195,-0.725732
196,-0.2777529
197,1.9817727
198,-1.0179892
199,-1.1226926
200,-1.2334347
201,1.9526953
202,-0.53763086
203,-0.2973382
204,1.4702431
205,2.2947834
206,-2.4293215
207,-2.4976587
208,-0.43387085
209,1.78429
210,-1.2651973
211,-3.2776482
212,2.1516385
213,-0.60750467
214,2.6557293
215,2.5729628
216,2.0735807
217,-1.379067
218,-1.7030885
219,-0.025208805
220,-0.6481017
221,0.014181421
222,-2.482061
223,2.531368
224,1.2137994
225,2.5358047
226,-0.93144816
227,2.0398388
228,2.1252282
229,1.4980689
230,-0.6581049
231,-0.9086522
232,-1.4562279
233,-3.1703913
234,-0.87603134
235,-0.7657913
236,-0.6635275
237,2.1044886
238,-2.1851885
239,-2.46903
240,-1.9032854
241,-1.1480916
242,-4.102224
243,1.7004299
244,-1.0057544
245,1.6874118
246,-0.71547
247,-0.54438394
248,-0.3647882
249,-0.9245383
250,-1.1932396
251,-0.56169534
252,-0.7008894
253,-0.63908005
254,-1.022632
255,-3.161311
256,2.1142669
257,-0.63074917
258,3.9914904
259,2.955829
260,-0.585055
261,-2.77072
262,4.6002007
263,1.3181565
264,1.5822471
265,1.1689605
266,0.4195411
267,-0.44685364
268,-2.3472216
269,-0.5552942
270,-1.0227762
271,-0.3923776
272,-2.0793731
273,-1.9829555
274,-0.90321267
275,2.1151004
276,1.1701788
277,-1.264893
278,-0.4296696
279,0.0834425
280,-0.64231396
281,-0.8511211
282,-0.21698341
283,-0.040895645
284,2.6865497
285,-0.26022124
286,0.59065515
287,-0.50385803
288,-0.030451085
289,-1.1955007
290,2.0268962
291,-0.43195128
292,1.5584351
293,1.979776
294,-0.6369738
295,-0.3270059
296,3.472552
297,1.387181
298,0.22739099
299,2.344368
300,-0.9946906
301,0.04236245
302,2.5512168
303,-1.4764416
304,-1.277541
305,1.487302
306,-1.2194743
307,-1.0176026
308,2.2821531
309,2.633016
310,-1.2250489
311,1.8598024
312,3.2690678
313,-0.1757975
314,-1.2508489
315,1.1633266
316,0.71789503
317,1.919437
318,-2.2410488
319,-0.79528064
320,-1.6113727
321,1.832678
322,-0.76430035
323,1.8537802
324,-0.14738886
325,-0.81616116
326,-3.9482474
327,1.7881244
328,-0.89788854
329,1.9395179
330,-0.6876135
331,2.0163941
332,1.4762003
333,2.215889
334,-1.9055395
335,2.1156104
336,1.9331689
337,1.3708204
338,-0.8417685
339,-0.18227676
340,-1.1952437
341,4.5757327
342,-0.8431557
343,-0.89562297
344,1.4465849
345,-2.6460605
346,-0.4765977
347,2.916591
348,1.1499196
349,1.9406997
350,1.8875962
351,-0.7145752
352,-0.937385
353,-0.69080204
354,-0.6534915
355,-1.5712534
356,-0.6019947
357,-1.1492188
358,-0.5422373
359,-0.4071025
360,-1.3665763
361,-0.6866766
362,-0.7702892
363,-2.360336
364,1.9992698
365,0.9470868
366,2.5399559
367,-0.69730794
368,-0.9035543
369,-0.9026696
370,2.0424945
371,-1.4636946
372,2.5955317
373,-0.5297067
374,-0.4985556
375,1.7385603
376,-0.49223143
377,-0.82754666
378,-0.44250098
379,2.2299857
380,4.611927
381,-0.44700712
382,-0.9178468
383,-0.673641
384,2.1101031
385,-2.0644932
386,1.9598353
387,-1.2200019
388,-0.56080586
389,-1.5695311
390,2.8267212
391,-0.91643816
392,-0.5970186
393,-0.047408313
394,-0.63402987
395,2.7606711
396,0.20265992
397,-0.80922073
398,2.580308
399,2.1277177
400,-3.2597153
401,1.7875382
402,-0.8685707
403,-1.7932346
404,4.599375
405,-0.7603929
406,4.480665
407,0.62261796
408,-0.8445716
409,-0.31449714
410,-0.59888625
411,0.20165852
412,-1.070237
413,-1.5806091
414,-0.99424475
415,-3.144155
416,-1.421137
417,-0.9745999
418,-0.92422825
419,-0.8548718
420,-0.77649784
421,-0.7807013
422,-0.5277071
423,0.48753297
424,1.685195
425,1.689806
426,-0.6979905
427,2.0916018
428,-0.9536477
429,1.2087616
430,-0.74021184
431,-0.67258286
432,2.4496372
433,2.4941258
434,2.4214823
435,-0.94677526
436,-0.65968955
437,1.8839239
438,-0.7680416
439,1.6511065
440,-2.0060737
441,-1.5634907
442,-2.7326052
