feature,relevance
0,-1.8340605
1,-3.138999
2,-3.9252698
3,-5.612383
4,-4.273646
5,-5.7947145
6,-4.0424733
7,-6.13226
8,-4.491606
9,-4.466463
10,-5.9414744
11,-7.179811
12,-6.5190277
13,-3.7342253
14,-4.0200915
15,-5.772306
16,-3.3534675
17,-5.6814294
18,-5.214231
19,-6.803404
20,-3.1806598
21,-2.2090878
22,-4.81944
23,-2.9374247
24,-5.091981
25,-6.4558244
26,-5.5698075
27,-5.4787707
28,-2.695607
29,-5.479209
30,-7.2264185
31,-5.0024667
32,-4.611425
33,-5.9677777
34,-7.2861733
35,-5.566293
36,-5.1958523
37,-4.171052
38,-5.7644644
39,-2.0114114
40,-5.0827003
41,-3.7829185
42,-5.922322
43,-6.7923555
44,-2.551953
45,-7.024815
46,-4.47512
47,-6.802645
48,-7.427792
49,-4.026359
50,-2.3334744
51,-4.7019877
52,-5.2729955
53,-5.926314
54,-6.446779
55,-4.3802447
56,-3.6565838
57,-6.8973794
58,-3.9184465
59,-3.4355102
60,-2.7125597
61,-4.1813455
62,-6.035382
63,-4.046826
64,-4.3799443
65,-7.130988
66,-7.017453
67,-7.471794
68,-3.872102
69,-4.2307043
70,-2.0713942
71,-4.7764897
72,-5.9453554
73,-5.5690045
74,-5.982263
75,-6.3471627
76,-5.23798
77,-4.394809
78,-7.2029967
79,-5.31597
80,-4.9556327
81,-3.0784357
82,-1.7859333
83,-6.3309765
84,-5.0854
85,-3.4907048
86,-3.727569
87,-3.122721
88,-5.296205
89,-5.615854
90,-6.0514445
91,-5.6699686
92,-7.4332294
93,-5.6503587
94,-6.3545156
95,-3.1469522
96,-1.8887051
97,-6.976276
98,-5.7478976
99,-4.891316
