feature,relevance
0,-2.0108752
1,-3.452661
2,-4.246643
3,-5.472959
4,-4.678596
5,-6.193159
6,-4.043255
7,-6.315907
8,-4.717256
9,-4.8356924
10,-6.2009
11,-7.479921
12,-6.6486945
13,-4.391284
14,-4.350454
15,-6.045264
16,-3.7726057
17,-5.9557686
18,-5.56407
19,-7.21542
20,-3.6226182
21,-2.259942
22,-5.2422843
23,-3.0037422
24,-5.6033034
25,-6.813174
26,-5.8641396
27,-5.5547385
28,-2.9914918
29,-5.791149
30,-7.4364185
31,-4.9684987
32,-5.125297
33,-5.9541774
34,-7.518329
35,-5.9423156
36,-5.445066
37,-4.717496
38,-6.1281104
39,-1.8982532
40,-5.6283183
41,-4.014644
42,-6.234804
43,-7.193049
44,-2.565826
45,-7.3454537
46,-4.931202
47,-7.1867213
48,-7.7721324
49,-4.3501596
50,-2.4277968
51,-4.7590523
52,-5.684996
53,-6.328135
54,-6.6459107
55,-4.485728
56,-3.769725
57,-7.238713
58,-4.5100965
59,-3.377857
60,-3.203014
61,-4.223211
62,-6.510513
63,-4.47489
64,-4.449737
65,-7.4089274
66,-7.274934
67,-7.662281
68,-4.260758
69,-4.4156704
70,-1.8083389
71,-5.12226
72,-6.33067
73,-5.754186
74,-6.1229024
75,-6.514928
76,-5.3738904
77,-4.518472
78,-7.395991
79,-5.256208
80,-5.1723747
81,-3.281924
82,-1.9495248
83,-6.507592
84,-5.578772
85,-3.4602818
86,-4.077469
87,-3.7255096
88,-5.387482
89,-5.9297743
90,-6.543314
91,-6.1980424
92,-7.699551
93,-5.9701
94,-6.7623086
95,-3.3824222
96,-2.3185391
97,-7.2400374
98,-6.0602384
99,-5.343029
